Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,2,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,3,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,4,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,5,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,6,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,7,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,8,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,9,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,10,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,11,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,12,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,13,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,14,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,15,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,16,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,17,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,18,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,19,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,20,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,21,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,22,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,23,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,24,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,25,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,26,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,27,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,28,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,29,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,30,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,31,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,32,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,33,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,34,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,35,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,36,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,37,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,38,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,39,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,40,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,41,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,42,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,43,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,44,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,45,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,46,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,47,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,48,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,49,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,50,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,51,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,52,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,53,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,54,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,55,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,56,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,57,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,58,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,59,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,60,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,61,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,62,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,63,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,64,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,65,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,66,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,67,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,68,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,69,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,70,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,71,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,72,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,73,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,74,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,75,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,76,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,77,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,78,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,79,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,80,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,81,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,82,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,83,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,84,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,85,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,86,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,87,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,88,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,89,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,90,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,91,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,92,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,93,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,94,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,95,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,96,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,97,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,98,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,99,122071,122071,122071,122071,122071,122071,122071
Partitions scanned,,100,122071,122071,122071,122071,122071,122071,122071
