Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,0,0,0,0,0,0,0
Partitions scanned,,2,5861,5861,5861,5861,5861,5861,5861
Partitions scanned,,3,0,0,0,0,0,0,0
Partitions scanned,,4,0,0,0,0,0,0,0
Partitions scanned,,5,0,0,0,0,0,0,0
Partitions scanned,,6,0,0,0,0,0,0,0
Partitions scanned,,7,0,0,0,0,0,0,0
Partitions scanned,,8,5861,5861,5861,5861,5861,5861,5861
Partitions scanned,,9,0,0,0,0,0,0,0
Partitions scanned,,10,0,0,0,0,0,0,0
Partitions scanned,,11,12207,12207,12207,1,12207,12207,1
Partitions scanned,,12,12207,12207,12207,1,12207,12207,1
Partitions scanned,,13,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,14,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,15,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,16,0,0,0,0,0,0,0
Partitions scanned,,17,0,0,0,0,0,0,0
Partitions scanned,,18,0,0,0,0,0,0,0
Partitions scanned,,19,0,0,0,0,0,0,0
Partitions scanned,,20,2749,2137,447,2749,882,43,2556
Partitions scanned,,21,0,0,0,0,0,0,0
Partitions scanned,,22,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,23,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,24,13633,13633,13633,13633,13633,13633,13633
Partitions scanned,,25,24716,24716,24716,23452,24716,24716,16788
Partitions scanned,,26,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,27,12550,12550,12550,11284,12550,12550,4598
Partitions scanned,,28,12207,12207,12207,12150,12207,12207,11501
Partitions scanned,,29,12207,12207,12207,12200,12207,12207,11646
Partitions scanned,,30,0,0,0,0,0,0,0
Partitions scanned,,31,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,32,12207,12207,12207,10968,12207,12207,4455
Partitions scanned,,33,0,0,0,0,0,0,0
Partitions scanned,,34,0,0,0,0,0,0,0
Partitions scanned,,35,0,0,0,0,0,0,0
Partitions scanned,,36,0,0,0,0,0,0,0
Partitions scanned,,37,368,368,368,368,368,368,368
Partitions scanned,,38,368,368,368,368,368,368,368
Partitions scanned,,39,368,368,368,368,368,368,368
Partitions scanned,,40,184,184,184,184,184,184,184
Partitions scanned,,41,276,276,276,276,276,276,276
Partitions scanned,,42,368,368,368,368,368,368,368
Partitions scanned,,43,368,368,368,368,368,368,368
