Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,122071,114381,78677
Partitions scanned,,2,122071,114261,78366
Partitions scanned,,3,122071,114475,78501
Partitions scanned,,4,122071,114303,78598
Partitions scanned,,5,122071,114353,78812
Partitions scanned,,6,122071,114286,78691
Partitions scanned,,7,122071,114309,78557
Partitions scanned,,8,122071,114408,78711
Partitions scanned,,9,122071,114220,78468
Partitions scanned,,10,122071,114317,78711
Partitions scanned,,11,122071,114368,79000
Partitions scanned,,12,122071,114329,78532
Partitions scanned,,13,122071,114519,78906
Partitions scanned,,14,122071,114427,78827
Partitions scanned,,15,122071,114322,78584
Partitions scanned,,16,122071,114363,78804
Partitions scanned,,17,122071,114315,78732
Partitions scanned,,18,122071,114332,78474
Partitions scanned,,19,122071,114370,78688
Partitions scanned,,20,122071,114289,78651
Partitions scanned,,21,122071,114273,78419
Partitions scanned,,22,122071,114376,79090
Partitions scanned,,23,122071,114398,78470
Partitions scanned,,24,122071,114417,78764
Partitions scanned,,25,122071,114426,78778
Partitions scanned,,26,122071,114359,78754
Partitions scanned,,27,122071,114470,78751
Partitions scanned,,28,122071,114420,78500
Partitions scanned,,29,122071,114423,78568
Partitions scanned,,30,122071,114276,78667
Partitions scanned,,31,122071,114320,78353
Partitions scanned,,32,122071,114385,78748
Partitions scanned,,33,122071,114349,78716
Partitions scanned,,34,122071,114444,78712
Partitions scanned,,35,122071,114377,78663
Partitions scanned,,36,122071,114329,78596
Partitions scanned,,37,122071,114338,78784
Partitions scanned,,38,122071,114282,78578
Partitions scanned,,39,122071,114342,78605
Partitions scanned,,40,122071,114288,78726
Partitions scanned,,41,122071,114419,78767
Partitions scanned,,42,122071,114303,78771
Partitions scanned,,43,122071,114370,78901
Partitions scanned,,44,122071,114375,78963
Partitions scanned,,45,122071,114494,78653
Partitions scanned,,46,122071,114287,78812
Partitions scanned,,47,122071,114297,78587
Partitions scanned,,48,122071,114429,78704
Partitions scanned,,49,122071,114396,78454
Partitions scanned,,50,122071,114435,78363
Partitions scanned,,51,122071,114479,78457
