Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,122071,114107,75794
Partitions scanned,,2,122071,113981,75654
Partitions scanned,,3,122071,114189,75770
Partitions scanned,,4,122071,114012,75737
Partitions scanned,,5,122071,114056,76021
Partitions scanned,,6,122071,113981,75871
Partitions scanned,,7,122071,114018,75737
Partitions scanned,,8,122071,114127,75956
Partitions scanned,,9,122071,113950,75729
Partitions scanned,,10,122071,114068,75937
Partitions scanned,,11,122071,114065,76190
Partitions scanned,,12,122071,114023,75700
Partitions scanned,,13,122071,114230,76091
Partitions scanned,,14,122071,114149,75992
Partitions scanned,,15,122071,114061,75747
Partitions scanned,,16,122071,114089,76093
Partitions scanned,,17,122071,114031,75856
Partitions scanned,,18,122071,114034,75690
Partitions scanned,,19,122071,114105,75859
Partitions scanned,,20,122071,114009,75940
Partitions scanned,,21,122071,114014,75730
Partitions scanned,,22,122071,114127,76315
Partitions scanned,,23,122071,114123,75636
Partitions scanned,,24,122071,114161,76007
Partitions scanned,,25,122071,114144,75886
Partitions scanned,,26,122071,114117,76037
Partitions scanned,,27,122071,114215,75964
Partitions scanned,,28,122071,114154,75703
Partitions scanned,,29,122071,114162,75764
Partitions scanned,,30,122071,114018,75837
Partitions scanned,,31,122071,114034,75612
Partitions scanned,,32,122071,114117,75950
Partitions scanned,,33,122071,114044,75827
Partitions scanned,,34,122071,114163,75906
Partitions scanned,,35,122071,114096,75807
Partitions scanned,,36,122071,114053,75838
Partitions scanned,,37,122071,114083,76137
Partitions scanned,,38,122071,114047,75759
Partitions scanned,,39,122071,114045,75799
Partitions scanned,,40,122071,113981,75920
Partitions scanned,,41,122071,114121,75975
Partitions scanned,,42,122071,114005,76126
Partitions scanned,,43,122071,114116,76059
Partitions scanned,,44,122071,114090,76213
Partitions scanned,,45,122071,114211,75846
Partitions scanned,,46,122071,114022,76066
Partitions scanned,,47,122071,114032,75850
Partitions scanned,,48,122071,114144,75928
Partitions scanned,,49,122071,114125,75663
Partitions scanned,,50,122071,114166,75593
Partitions scanned,,51,122071,114219,75728
Partitions scanned,,52,122071,114140,75941
Partitions scanned,,53,122071,114145,75941
Partitions scanned,,54,122071,114056,75875
Partitions scanned,,55,122071,114012,75877
