Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,89691,171,171
Partitions scanned,,2,47259,171,171
Partitions scanned,,3,8743,171,171
Partitions scanned,,4,22056,171,171
Partitions scanned,,5,50025,171,171
Partitions scanned,,6,67844,170,170
Partitions scanned,,7,80867,171,171
Partitions scanned,,8,66031,170,170
Partitions scanned,,9,49827,171,171
Partitions scanned,,10,80388,170,170
Partitions scanned,,11,56129,171,171
Partitions scanned,,12,58080,171,171
Partitions scanned,,13,76826,171,171
Partitions scanned,,14,86941,170,170
Partitions scanned,,15,60050,171,171
Partitions scanned,,16,89223,171,171
Partitions scanned,,17,99382,171,171
Partitions scanned,,18,85483,170,170
Partitions scanned,,19,39350,171,171
Partitions scanned,,20,95841,170,170
Partitions scanned,,21,47240,170,170
Partitions scanned,,22,88981,171,171
Partitions scanned,,23,79205,170,170
Partitions scanned,,24,20038,170,170
Partitions scanned,,25,10882,170,170
Partitions scanned,,26,67020,170,170
Partitions scanned,,27,76815,170,170
Partitions scanned,,28,27759,170,170
Partitions scanned,,29,49118,171,171
Partitions scanned,,30,11389,170,170
Partitions scanned,,31,58502,170,170
Partitions scanned,,32,41285,171,171
Partitions scanned,,33,53582,171,171
Partitions scanned,,34,19684,170,170
Partitions scanned,,35,86071,171,171
Partitions scanned,,36,53005,170,170
Partitions scanned,,37,20657,171,171
Partitions scanned,,38,1334,171,171
Partitions scanned,,39,16796,170,170
Partitions scanned,,40,85436,171,171
Partitions scanned,,41,78410,170,170
Partitions scanned,,42,86312,171,171
Partitions scanned,,43,66459,170,170
Partitions scanned,,44,22970,170,170
Partitions scanned,,45,8108,170,170
Partitions scanned,,46,10254,171,171
Partitions scanned,,47,13310,171,171
Partitions scanned,,48,97182,170,170
Partitions scanned,,49,73952,171,171
Partitions scanned,,50,14641,170,170
Partitions scanned,,51,87786,171,171
Partitions scanned,,52,4329,171,171
Partitions scanned,,53,75469,171,171
Partitions scanned,,54,95874,171,171
Partitions scanned,,55,28239,171,171
Partitions scanned,,56,89733,170,170
Partitions scanned,,57,95576,171,171
Partitions scanned,,58,23287,171,171
Partitions scanned,,59,92688,170,170
Partitions scanned,,60,71940,170,170
Partitions scanned,,61,20534,171,171
Partitions scanned,,62,75810,170,170
Partitions scanned,,63,39856,170,170
Partitions scanned,,64,63382,171,171
Partitions scanned,,65,90388,171,171
Partitions scanned,,66,59290,170,170
Partitions scanned,,67,99573,170,170
Partitions scanned,,68,86757,171,171
Partitions scanned,,69,90598,170,170
Partitions scanned,,70,10832,171,171
Partitions scanned,,71,82810,171,171
Partitions scanned,,72,31013,171,171
Partitions scanned,,73,41724,171,171
Partitions scanned,,74,41627,170,170
Partitions scanned,,75,63260,170,170
Partitions scanned,,76,67857,170,170
Partitions scanned,,77,93626,171,171
Partitions scanned,,78,29045,170,170
Partitions scanned,,79,1196,171,171
Partitions scanned,,80,41486,171,171
Partitions scanned,,81,28184,170,170
Partitions scanned,,82,20727,171,171
Partitions scanned,,83,67563,171,171
Partitions scanned,,84,54022,170,170
Partitions scanned,,85,50272,170,170
Partitions scanned,,86,28757,171,171
Partitions scanned,,87,69430,171,171
Partitions scanned,,88,84429,170,170
Partitions scanned,,89,50211,171,171
Partitions scanned,,90,8364,171,171
Partitions scanned,,91,88164,171,171
Partitions scanned,,92,49874,171,171
Partitions scanned,,93,50337,171,171
Partitions scanned,,94,67180,171,171
Partitions scanned,,95,52948,171,171
Partitions scanned,,96,81589,170,170
Partitions scanned,,97,58576,171,171
Partitions scanned,,98,67178,170,170
Partitions scanned,,99,57664,171,171
Partitions scanned,,100,51406,171,171
Partitions scanned,,101,5505,170,170
Partitions scanned,,102,13661,171,171
Partitions scanned,,103,48558,170,170
Partitions scanned,,104,96625,170,170
Partitions scanned,,105,59368,171,171
Partitions scanned,,106,99000,171,171
Partitions scanned,,107,96080,171,171
Partitions scanned,,108,41869,170,170
Partitions scanned,,109,47899,171,171
Partitions scanned,,110,91210,170,170
Partitions scanned,,111,52122,170,170
Partitions scanned,,112,81420,171,171
Partitions scanned,,113,48572,170,170
Partitions scanned,,114,73964,170,170
Partitions scanned,,115,47725,171,171
Partitions scanned,,116,8888,170,170
Partitions scanned,,117,50339,171,171
Partitions scanned,,118,74387,171,171
Partitions scanned,,119,31147,171,171
Partitions scanned,,120,83677,170,170
Partitions scanned,,121,47133,170,170
Partitions scanned,,122,94131,171,171
Partitions scanned,,123,12686,171,171
Partitions scanned,,124,56294,170,170
Partitions scanned,,125,42159,171,171
Partitions scanned,,126,24282,170,170
Partitions scanned,,127,35154,170,170
Partitions scanned,,128,85966,171,171
Partitions scanned,,129,80445,170,170
Partitions scanned,,130,75490,171,171
Partitions scanned,,131,57214,170,170
Partitions scanned,,132,38403,170,170
Partitions scanned,,133,4153,171,171
Partitions scanned,,134,31773,170,170
Partitions scanned,,135,30583,170,170
Partitions scanned,,136,38683,170,170
Partitions scanned,,137,73974,170,170
Partitions scanned,,138,2247,170,170
Partitions scanned,,139,53967,171,171
Partitions scanned,,140,19666,170,170
Partitions scanned,,141,45551,170,170
Partitions scanned,,142,96429,171,171
Partitions scanned,,143,21552,171,171
Partitions scanned,,144,87238,171,171
Partitions scanned,,145,4818,170,170
Partitions scanned,,146,28670,171,171
Partitions scanned,,147,1965,171,171
Partitions scanned,,148,60121,171,171
Partitions scanned,,149,68969,171,171
Partitions scanned,,150,72651,171,171
Partitions scanned,,151,98122,171,171
Partitions scanned,,152,49598,170,170
Partitions scanned,,153,75893,170,170
Partitions scanned,,154,14432,170,170
Partitions scanned,,155,6375,170,170
Partitions scanned,,156,25351,170,170
Partitions scanned,,157,20489,171,171
Partitions scanned,,158,39087,170,170
Partitions scanned,,159,52932,171,171
Partitions scanned,,160,42875,171,171
Partitions scanned,,161,77718,170,170
Partitions scanned,,162,35675,171,171
Partitions scanned,,163,22463,171,171
Partitions scanned,,164,29342,170,170
Partitions scanned,,165,28711,170,170
Partitions scanned,,166,1502,170,170
Partitions scanned,,167,57374,170,170
Partitions scanned,,168,8368,170,170
Partitions scanned,,169,73117,171,171
Partitions scanned,,170,70404,170,170
Partitions scanned,,171,27875,170,170
Partitions scanned,,172,1750,170,170
Partitions scanned,,173,21760,170,170
Partitions scanned,,174,81600,170,170
Partitions scanned,,175,48809,170,170
Partitions scanned,,176,40949,170,170
Partitions scanned,,177,35471,171,171
Partitions scanned,,178,9799,171,171
Partitions scanned,,179,28114,170,170
Partitions scanned,,180,1620,171,171
Partitions scanned,,181,39551,170,170
Partitions scanned,,182,88221,171,171
Partitions scanned,,183,45707,171,171
Partitions scanned,,184,30794,170,170
Partitions scanned,,185,40525,171,171
Partitions scanned,,186,89033,170,170
Partitions scanned,,187,30815,170,170
Partitions scanned,,188,75909,170,170
Partitions scanned,,189,54161,171,171
Partitions scanned,,190,74584,170,170
Partitions scanned,,191,44719,171,171
Partitions scanned,,192,14549,170,170
Partitions scanned,,193,41768,171,171
Partitions scanned,,194,3088,171,171
Partitions scanned,,195,47187,170,170
Partitions scanned,,196,37808,171,171
Partitions scanned,,197,49070,170,170
Partitions scanned,,198,38937,171,171
Partitions scanned,,199,5801,171,171
Partitions scanned,,200,40121,171,171
Partitions scanned,,201,65017,170,170
Partitions scanned,,202,65444,171,171
Partitions scanned,,203,65863,171,171
Partitions scanned,,204,466,171,171
Partitions scanned,,205,75375,170,170
Partitions scanned,,206,59637,171,171
Partitions scanned,,207,10107,171,171
Partitions scanned,,208,42933,171,171
Partitions scanned,,209,15311,170,170
Partitions scanned,,210,12019,171,171
Partitions scanned,,211,73303,171,171
Partitions scanned,,212,50608,170,170
Partitions scanned,,213,67640,170,170
Partitions scanned,,214,61349,170,170
Partitions scanned,,215,73314,171,171
Partitions scanned,,216,64814,170,170
Partitions scanned,,217,78175,170,170
Partitions scanned,,218,55264,170,170
Partitions scanned,,219,75239,170,170
Partitions scanned,,220,71622,171,171
Partitions scanned,,221,99645,171,171
Partitions scanned,,222,23319,171,171
Partitions scanned,,223,5849,170,170
Partitions scanned,,224,3175,171,171
Partitions scanned,,225,49620,170,170
Partitions scanned,,226,37109,170,170
Partitions scanned,,227,57473,171,171
Partitions scanned,,228,58640,170,170
Partitions scanned,,229,23682,171,171
Partitions scanned,,230,13079,170,170
Partitions scanned,,231,80386,170,170
Partitions scanned,,232,4293,170,170
Partitions scanned,,233,20098,170,170
Partitions scanned,,234,6178,170,170
Partitions scanned,,235,10128,171,171
Partitions scanned,,236,10956,171,171
Partitions scanned,,237,91128,171,171
Partitions scanned,,238,82973,170,170
Partitions scanned,,239,67859,171,171
Partitions scanned,,240,40293,170,170
Partitions scanned,,241,52305,171,171
Partitions scanned,,242,36712,171,171
Partitions scanned,,243,69421,170,170
Partitions scanned,,244,67034,171,171
Partitions scanned,,245,31198,170,170
Partitions scanned,,246,26165,171,171
Partitions scanned,,247,32915,171,171
Partitions scanned,,248,43770,171,171
Partitions scanned,,249,85385,171,171
