Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.18091,0.09257,0.11456,0.1278
Time,s,2,0.12581,0.09146,0.11462,0.12196
Time,s,3,0.10399,0.09222,0.11317,0.11735
Time,s,4,0.10271,0.08948,0.11107,0.12109
Time,s,5,0.10917,0.0896,0.1081,0.10543
Time,s,6,0.10556,0.08616,0.08683,0.09253
Time,s,7,0.13167,0.09375,0.08596,0.09233
Time,s,8,0.11751,0.09249,0.09215,0.09497
Time,s,9,0.10953,0.07977,0.07918,0.09978
Time,s,10,0.12318,0.07244,0.0735,0.10246
Time,s,11,0.11281,0.07855,0.07323,0.10326
Time,s,12,0.113,0.06706,0.06628,0.10906
Time,s,13,0.12216,0.06462,0.06669,0.10925
Time,s,14,0.12329,0.06536,0.07112,0.11274
Time,s,15,0.09712,0.06528,0.0844,0.1071
Time,s,16,0.1173,0.06131,0.0738,0.10799
Time,s,17,0.11704,0.06216,0.07315,0.10354
Time,s,18,0.10669,0.07295,0.08362,0.09465
Time,s,19,0.08923,0.06686,0.08034,0.10328
Time,s,20,0.11039,0.06475,0.06933,0.09382
Time,s,21,0.09297,0.05954,0.07235,0.09599
Time,s,22,0.10835,0.05712,0.06755,0.09181
Time,s,23,0.10369,0.08077,0.07191,0.09445
Time,s,24,0.08157,0.08433,0.06493,0.09238
Time,s,25,0.06426,0.07502,0.05855,0.07006
Time,s,26,0.10971,0.08344,0.06314,0.09529
Time,s,27,0.12333,0.08711,0.0654,0.09424
Time,s,28,0.10037,0.08175,0.06335,0.08943
Time,s,29,0.10686,0.08407,0.06011,0.08691
Time,s,30,0.08997,0.0833,0.06642,0.07776
Time,s,31,0.11219,0.08369,0.09574,0.09782
Time,s,32,0.1057,0.08523,0.09602,0.10312
Time,s,33,0.11719,0.08245,0.09654,0.1086
Time,s,34,0.09373,0.08635,0.09735,0.11182
Time,s,35,0.11025,0.08237,0.09579,0.10792
Time,s,36,0.09519,0.08577,0.09924,0.11293
Time,s,37,0.07986,0.08288,0.09975,0.1046
Time,s,38,0.05273,0.06692,0.09847,0.08952
Time,s,39,0.08165,0.06165,0.09492,0.07311
Time,s,40,0.10522,0.08084,0.08813,0.08411
Time,s,41,0.1034,0.08354,0.08013,0.09691
Time,s,42,0.10746,0.08005,0.08498,0.10288
Time,s,43,0.10039,0.08134,0.07945,0.09585
Time,s,44,0.08081,0.08317,0.0674,0.08442
Time,s,45,0.06054,0.07515,0.06578,0.06755
Time,s,46,0.05955,0.07488,0.06524,0.07141
Time,s,47,0.06288,0.06231,0.06187,0.07524
Time,s,48,0.11188,0.06013,0.06193,0.10291
Time,s,49,0.10781,0.05973,0.07498,0.09564
Time,s,50,0.08038,0.05284,0.06932,0.0877
Time,s,51,0.13745,0.06905,0.07107,0.08596
Time,s,52,0.08799,0.07926,0.06448,0.08582
Time,s,53,0.12011,0.07847,0.0641,0.08362
Time,s,54,0.13067,0.07898,0.06988,0.09664
Time,s,55,0.09959,0.0843,0.06958,0.10527
Time,s,56,0.12693,0.08237,0.0635,0.10582
Time,s,57,0.12118,0.08492,0.07264,0.10974
Time,s,58,0.08517,0.08687,0.09808,0.10752
Time,s,59,0.10853,0.08373,0.09645,0.11072
Time,s,60,0.10327,0.08528,0.09814,0.10799
Time,s,61,0.08289,0.08444,0.09875,0.09054
Time,s,62,0.10328,0.07002,0.10376,0.08645
Time,s,63,0.09066,0.05878,0.10817,0.09143
Time,s,64,0.1037,0.0558,0.1065,0.08908
Time,s,65,0.11417,0.05306,0.0968,0.10692
Time,s,66,0.1034,0.05463,0.09506,0.09687
Time,s,67,0.11687,0.05961,0.09135,0.09216
Time,s,68,0.10777,0.0549,0.0846,0.09504
Time,s,69,0.11545,0.05176,0.09325,0.09522
Time,s,70,0.07519,0.05093,0.07605,0.10053
Time,s,71,0.11354,0.05893,0.07454,0.0902
Time,s,72,0.101,0.05641,0.07647,0.09322
Time,s,73,0.09593,0.04955,0.06795,0.08514
Time,s,74,0.09616,0.04715,0.06333,0.08609
Time,s,75,0.10909,0.04754,0.06623,0.08839
Time,s,76,0.12047,0.04731,0.07025,0.09351
Time,s,77,0.13345,0.0504,0.06841,0.09964
Time,s,78,0.10194,0.05376,0.07006,0.1097
Time,s,79,0.08883,0.04703,0.05547,0.10633
Time,s,80,0.10501,0.04715,0.06091,0.11012
Time,s,81,0.09598,0.05403,0.05777,0.11164
Time,s,82,0.08726,0.05784,0.05517,0.11331
Time,s,83,0.10932,0.05445,0.06554,0.09374
Time,s,84,0.09481,0.05978,0.07249,0.08991
Time,s,85,0.09486,0.05191,0.09551,0.08939
Time,s,86,0.08397,0.06604,0.09623,0.08371
Time,s,87,0.10302,0.08264,0.09589,0.08802
Time,s,88,0.13648,0.08195,0.09673,0.09937
Time,s,89,0.1151,0.0819,0.10052,0.09707
Time,s,90,0.11955,0.08492,0.10051,0.0818
Time,s,91,0.12479,0.08255,0.09117,0.08416
Time,s,92,0.10215,0.08369,0.07538,0.09732
Time,s,93,0.10902,0.08251,0.06882,0.09364
Time,s,94,0.11113,0.09117,0.07065,0.08991
Time,s,95,0.11837,0.08532,0.06888,0.09215
Time,s,96,0.12735,0.08495,0.06688,0.09112
Time,s,97,0.12046,0.08078,0.08224,0.09409
Time,s,98,0.11571,0.06358,0.07611,0.09279
Time,s,99,0.10882,0.057,0.07029,0.10547
Time,s,100,0.1096,0.05403,0.07266,0.10596
Time,s,101,0.08796,0.05043,0.06799,0.109
Time,s,102,0.09909,0.04751,0.06244,0.10858
Time,s,103,0.11158,0.04733,0.061,0.10985
Time,s,104,0.11455,0.04817,0.0662,0.0971
Time,s,105,0.09752,0.05041,0.07453,0.09417
Time,s,106,0.11217,0.05387,0.06858,0.08972
Time,s,107,0.11099,0.06557,0.07751,0.09496
Time,s,108,0.09173,0.05572,0.07707,0.09566
Time,s,109,0.09468,0.05113,0.06704,0.09032
Time,s,110,0.1209,0.05041,0.06601,0.10086
Time,s,111,0.09808,0.05376,0.07123,0.10879
Time,s,112,0.1114,0.05213,0.07645,0.10839
Time,s,113,0.12063,0.05232,0.10447,0.10625
Time,s,114,0.11922,0.05025,0.09767,0.10101
Time,s,115,0.10703,0.05009,0.09854,0.10962
Time,s,116,0.08975,0.05705,0.09508,0.11301
Time,s,117,0.10542,0.07657,0.09727,0.11075
Time,s,118,0.11973,0.05952,0.09838,0.10407
Time,s,119,0.09333,0.06519,0.09714,0.08901
Time,s,120,0.10397,0.06885,0.08259,0.08505
Time,s,121,0.09163,0.08609,0.07438,0.10247
Time,s,122,0.10696,0.08508,0.06862,0.09104
Time,s,123,0.07843,0.08534,0.06857,0.09008
Time,s,124,0.09757,0.10101,0.06519,0.08457
Time,s,125,0.0885,0.10042,0.07624,0.09145
Time,s,126,0.08252,0.10015,0.06558,0.08158
Time,s,127,0.09108,0.10148,0.06083,0.08542
Time,s,128,0.11195,0.1014,0.07554,0.08931
Time,s,129,0.12219,0.09998,0.08009,0.09536
Time,s,130,0.1012,0.0889,0.0751,0.11573
Time,s,131,0.10958,0.06247,0.06953,0.12185
Time,s,132,0.08781,0.05717,0.06621,0.12508
Time,s,133,0.0596,0.05206,0.06417,0.10815
Time,s,134,0.09539,0.04979,0.06927,0.10298
Time,s,135,0.10322,0.04898,0.062,0.10521
Time,s,136,0.10103,0.04784,0.05971,0.10194
Time,s,137,0.11261,0.04949,0.06552,0.10759
Time,s,138,0.08507,0.0493,0.0613,0.10449
Time,s,139,0.093,0.0625,0.05966,0.10264
Time,s,140,0.07608,0.05851,0.05874,0.10514
Time,s,141,0.08798,0.05182,0.08526,0.10524
Time,s,142,0.10767,0.05198,0.09855,0.1043
Time,s,143,0.08082,0.05303,0.10129,0.10066
Time,s,144,0.10425,0.04898,0.09787,0.08894
Time,s,145,0.06968,0.055,0.10048,0.08673
Time,s,146,0.0848,0.05251,0.10157,0.0762
Time,s,147,0.07107,0.0476,0.10091,0.06685
Time,s,148,0.09321,0.05734,0.09486,0.08795
Time,s,149,0.09757,0.06154,0.07938,0.10111
Time,s,150,0.10047,0.05705,0.07741,0.09289
Time,s,151,0.11135,0.05614,0.07483,0.09345
Time,s,152,0.09085,0.05338,0.07215,0.09678
Time,s,153,0.1063,0.06886,0.08023,0.09373
Time,s,154,0.07739,0.08323,0.07946,0.09003
Time,s,155,0.05722,0.07985,0.06451,0.08202
Time,s,156,0.07722,0.07729,0.06846,0.07944
Time,s,157,0.07409,0.0776,0.0674,0.07636
Time,s,158,0.08499,0.08162,0.06295,0.08509
Time,s,159,0.09831,0.07433,0.0638,0.08899
Time,s,160,0.08758,0.07046,0.06704,0.09038
Time,s,161,0.10122,0.07391,0.06707,0.09294
Time,s,162,0.08545,0.07686,0.07086,0.09367
Time,s,163,0.07586,0.08063,0.06151,0.0783
Time,s,164,0.07984,0.08235,0.06102,0.0827
Time,s,165,0.09067,0.08,0.05985,0.08405
Time,s,166,0.0559,0.06339,0.05775,0.06449
Time,s,167,0.09232,0.05747,0.0602,0.08788
Time,s,168,0.0657,0.05076,0.05713,0.10161
Time,s,169,0.1018,0.04956,0.06444,0.09022
Time,s,170,0.09957,0.0562,0.09496,0.09394
Time,s,171,0.08513,0.05518,0.10125,0.08678
Time,s,172,0.06161,0.04831,0.09741,0.06418
Time,s,173,0.07289,0.04796,0.09777,0.07579
Time,s,174,0.10189,0.06101,0.09955,0.08807
Time,s,175,0.09027,0.05789,0.10017,0.09667
Time,s,176,0.08732,0.05234,0.09761,0.08896
Time,s,177,0.08309,0.04874,0.07633,0.08632
Time,s,178,0.0652,0.04697,0.06164,0.06938
Time,s,179,0.08367,0.0454,0.06006,0.07594
Time,s,180,0.05419,0.04502,0.05822,0.06319
Time,s,181,0.08486,0.0458,0.06619,0.09042
Time,s,182,0.10756,0.0492,0.0821,0.09366
Time,s,183,0.10095,0.05122,0.08662,0.09622
Time,s,184,0.10724,0.05801,0.07069,0.08379
Time,s,185,0.1006,0.05863,0.07031,0.08605
Time,s,186,0.12332,0.05505,0.07402,0.09231
Time,s,187,0.0968,0.05089,0.07421,0.10403
Time,s,188,0.1006,0.05089,0.06611,0.09104
Time,s,189,0.09338,0.0786,0.07051,0.09376
Time,s,190,0.10118,0.08416,0.06834,0.09165
Time,s,191,0.09054,0.07898,0.07127,0.09193
Time,s,192,0.06957,0.07871,0.06443,0.07508
Time,s,193,0.08696,0.08521,0.06004,0.09042
Time,s,194,0.05785,0.08439,0.05596,0.07678
Time,s,195,0.0917,0.08025,0.05958,0.08382
Time,s,196,0.08975,0.08454,0.06359,0.0869
Time,s,197,0.09136,0.09042,0.06193,0.08881
Time,s,198,0.08654,0.07275,0.06161,0.09115
Time,s,199,0.05959,0.0563,0.07434,0.0726
Time,s,200,0.08514,0.05257,0.10757,0.08459
Time,s,201,0.10438,0.05151,0.10019,0.08989
Time,s,202,0.11173,0.05064,0.09816,0.09297
Time,s,203,0.09801,0.05025,0.10066,0.09315
Time,s,204,0.06152,0.05097,0.09192,0.07588
Time,s,205,0.1008,0.04805,0.07444,0.08569
Time,s,206,0.10606,0.04807,0.07446,0.10857
Time,s,207,0.09055,0.04643,0.06307,0.08399
Time,s,208,0.10049,0.04623,0.06126,0.08526
Time,s,209,0.07214,0.04456,0.05876,0.07665
Time,s,210,0.06221,0.04355,0.0585,0.06722
Time,s,211,0.09886,0.05573,0.06438,0.08722
Time,s,212,0.09203,0.05992,0.06731,0.09634
Time,s,213,0.09811,0.05262,0.07212,0.09419
Time,s,214,0.09744,0.05027,0.08198,0.09469
Time,s,215,0.10088,0.04926,0.07776,0.09277
Time,s,216,0.09711,0.04948,0.07242,0.0929
Time,s,217,0.10383,0.04888,0.06987,0.09371
Time,s,218,0.09502,0.0493,0.07145,0.10257
Time,s,219,0.11718,0.06468,0.06937,0.09632
Time,s,220,0.10017,0.06787,0.07319,0.0973
Time,s,221,0.11036,0.06273,0.07287,0.09557
Time,s,222,0.08091,0.05737,0.0832,0.09821
Time,s,223,0.05827,0.05249,0.06061,0.07045
Time,s,224,0.0505,0.04776,0.05436,0.06819
Time,s,225,0.09716,0.07043,0.05903,0.0941
Time,s,226,0.08617,0.08453,0.06353,0.08966
Time,s,227,0.09377,0.08759,0.06394,0.08993
Time,s,228,0.09531,0.08341,0.06496,0.09176
Time,s,229,0.0803,0.08485,0.08898,0.08234
Time,s,230,0.0662,0.08368,0.10013,0.07237
Time,s,231,0.10701,0.08293,0.09781,0.0953
Time,s,232,0.06841,0.08444,0.07795,0.08613
Time,s,233,0.07217,0.08165,0.06314,0.07775
Time,s,234,0.05818,0.06646,0.05702,0.08452
Time,s,235,0.05924,0.05495,0.05523,0.06813
Time,s,236,0.06141,0.04789,0.05327,0.06838
Time,s,237,0.1079,0.05032,0.06312,0.08848
Time,s,238,0.11065,0.05287,0.07697,0.09755
Time,s,239,0.10683,0.05068,0.07134,0.09543
Time,s,240,0.08869,0.05209,0.06606,0.09133
Time,s,241,0.09528,0.05174,0.06306,0.08906
Time,s,242,0.08796,0.04886,0.06682,0.08688
Time,s,243,0.10427,0.04722,0.06663,0.09333
Time,s,244,0.10178,0.04784,0.07936,0.10453
Time,s,245,0.08452,0.04766,0.08732,0.09277
Time,s,246,0.07921,0.04557,0.07261,0.09461
Time,s,247,0.08488,0.05058,0.0624,0.08426
Time,s,248,0.09707,0.05801,0.06346,0.08964
Time,s,249,0.11062,0.05116,0.06585,0.09155
Time,s,250,0.09961,0.05075,0.07143,0.09848
Time,s,251,0.10071,0.0491,0.06882,0.09411
Time,s,252,0.10596,0.05094,0.06965,0.09384
Time,s,253,0.07504,0.05041,0.06494,0.08684
Time,s,254,0.09462,0.0472,0.06074,0.0755
Time,s,255,0.1129,0.0685,0.06187,0.08992
Time,s,256,0.12592,0.05964,0.06466,0.09749
Time,s,257,0.10344,0.05362,0.0675,0.09482
Time,s,258,0.07498,0.04661,0.06252,0.07534
Time,s,259,0.10438,0.05062,0.06344,0.08549
Time,s,260,0.10184,0.05269,0.07321,0.09561
Time,s,261,0.07734,0.04851,0.09969,0.08891
Time,s,262,0.09567,0.05985,0.0974,0.09637
Time,s,263,0.07566,0.06782,0.08438,0.0832
Time,s,264,0.11127,0.07883,0.06919,0.08516
Time,s,265,0.1013,0.08425,0.07374,0.09645
Time,s,266,0.09556,0.08474,0.06853,0.09141
