Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,89524,4,4
Partitions scanned,,2,47092,4,4
Partitions scanned,,3,8576,4,4
Partitions scanned,,4,21889,4,4
Partitions scanned,,5,49858,4,4
Partitions scanned,,6,67678,4,4
Partitions scanned,,7,80700,4,4
Partitions scanned,,8,65865,4,4
Partitions scanned,,9,49660,4,4
Partitions scanned,,10,80222,4,4
Partitions scanned,,11,55962,4,4
Partitions scanned,,12,57913,4,4
Partitions scanned,,13,76659,4,4
Partitions scanned,,14,86774,3,3
Partitions scanned,,15,59883,4,4
Partitions scanned,,16,89056,4,4
Partitions scanned,,17,99215,4,4
Partitions scanned,,18,85317,4,4
Partitions scanned,,19,39183,4,4
Partitions scanned,,20,95675,4,4
Partitions scanned,,21,47074,4,4
Partitions scanned,,22,88814,4,4
Partitions scanned,,23,79038,3,3
Partitions scanned,,24,19872,4,4
Partitions scanned,,25,10715,3,3
Partitions scanned,,26,66854,4,4
Partitions scanned,,27,76649,4,4
Partitions scanned,,28,27592,3,3
Partitions scanned,,29,48951,4,4
Partitions scanned,,30,11223,4,4
Partitions scanned,,31,58335,3,3
Partitions scanned,,32,41118,4,4
Partitions scanned,,33,53415,4,4
Partitions scanned,,34,19518,4,4
Partitions scanned,,35,85904,4,4
Partitions scanned,,36,52839,4,4
Partitions scanned,,37,20490,4,4
Partitions scanned,,38,1167,4,4
Partitions scanned,,39,16629,3,3
Partitions scanned,,40,85269,4,4
Partitions scanned,,41,78244,4,4
Partitions scanned,,42,86145,4,4
Partitions scanned,,43,66293,4,4
Partitions scanned,,44,22803,3,3
Partitions scanned,,45,7941,3,3
Partitions scanned,,46,10087,4,4
Partitions scanned,,47,13143,4,4
Partitions scanned,,48,97016,4,4
Partitions scanned,,49,73785,4,4
Partitions scanned,,50,14474,3,3
Partitions scanned,,51,87619,4,4
Partitions scanned,,52,4162,4,4
Partitions scanned,,53,75302,4,4
Partitions scanned,,54,95707,4,4
Partitions scanned,,55,28072,4,4
Partitions scanned,,56,89566,3,3
Partitions scanned,,57,95409,4,4
Partitions scanned,,58,23120,4,4
Partitions scanned,,59,92521,3,3
Partitions scanned,,60,71773,3,3
Partitions scanned,,61,20367,4,4
Partitions scanned,,62,75644,4,4
Partitions scanned,,63,39690,4,4
Partitions scanned,,64,63215,4,4
Partitions scanned,,65,90221,4,4
Partitions scanned,,66,59124,4,4
Partitions scanned,,67,99406,3,3
Partitions scanned,,68,86590,4,4
Partitions scanned,,69,90432,4,4
Partitions scanned,,70,10665,4,4
Partitions scanned,,71,82643,4,4
Partitions scanned,,72,30846,4,4
Partitions scanned,,73,41557,4,4
Partitions scanned,,74,41461,4,4
Partitions scanned,,75,63094,4,4
Partitions scanned,,76,67690,3,3
Partitions scanned,,77,93459,4,4
Partitions scanned,,78,28879,4,4
Partitions scanned,,79,1029,4,4
Partitions scanned,,80,41319,4,4
Partitions scanned,,81,28018,4,4
Partitions scanned,,82,20560,4,4
Partitions scanned,,83,67396,4,4
Partitions scanned,,84,53856,4,4
Partitions scanned,,85,50106,4,4
Partitions scanned,,86,28590,4,4
Partitions scanned,,87,69263,4,4
Partitions scanned,,88,84263,4,4
Partitions scanned,,89,50044,4,4
Partitions scanned,,90,8197,4,4
Partitions scanned,,91,87997,4,4
Partitions scanned,,92,49707,4,4
Partitions scanned,,93,50170,4,4
Partitions scanned,,94,67013,4,4
Partitions scanned,,95,52781,4,4
Partitions scanned,,96,81423,4,4
Partitions scanned,,97,58409,4,4
Partitions scanned,,98,67011,3,3
Partitions scanned,,99,57497,4,4
Partitions scanned,,100,51239,4,4
Partitions scanned,,101,5339,4,4
Partitions scanned,,102,13494,4,4
Partitions scanned,,103,48392,4,4
Partitions scanned,,104,96459,4,4
Partitions scanned,,105,59201,4,4
Partitions scanned,,106,98833,4,4
Partitions scanned,,107,95913,4,4
Partitions scanned,,108,41703,4,4
Partitions scanned,,109,47732,4,4
Partitions scanned,,110,91044,4,4
Partitions scanned,,111,51956,4,4
Partitions scanned,,112,81253,4,4
Partitions scanned,,113,48405,3,3
Partitions scanned,,114,73797,3,3
Partitions scanned,,115,47558,4,4
Partitions scanned,,116,8722,4,4
Partitions scanned,,117,50172,4,4
Partitions scanned,,118,74220,4,4
Partitions scanned,,119,30980,4,4
Partitions scanned,,120,83511,4,4
Partitions scanned,,121,46966,3,3
Partitions scanned,,122,93964,4,4
Partitions scanned,,123,12519,4,4
Partitions scanned,,124,56128,4,4
Partitions scanned,,125,41992,4,4
Partitions scanned,,126,24116,4,4
Partitions scanned,,127,34988,4,4
Partitions scanned,,128,85799,4,4
Partitions scanned,,129,80279,4,4
Partitions scanned,,130,75323,4,4
Partitions scanned,,131,57047,3,3
Partitions scanned,,132,38236,3,3
Partitions scanned,,133,3986,4,4
Partitions scanned,,134,31607,4,4
Partitions scanned,,135,30417,4,4
Partitions scanned,,136,38517,4,4
Partitions scanned,,137,73807,3,3
Partitions scanned,,138,2081,4,4
Partitions scanned,,139,53800,4,4
Partitions scanned,,140,19500,4,4
Partitions scanned,,141,45384,3,3
Partitions scanned,,142,96262,4,4
Partitions scanned,,143,21385,4,4
Partitions scanned,,144,87071,4,4
Partitions scanned,,145,4651,3,3
Partitions scanned,,146,28503,4,4
Partitions scanned,,147,1798,4,4
Partitions scanned,,148,59954,4,4
Partitions scanned,,149,68802,4,4
Partitions scanned,,150,72484,4,4
Partitions scanned,,151,97955,4,4
Partitions scanned,,152,49431,3,3
Partitions scanned,,153,75727,4,4
Partitions scanned,,154,14266,4,4
Partitions scanned,,155,6209,4,4
Partitions scanned,,156,25185,4,4
Partitions scanned,,157,20322,4,4
Partitions scanned,,158,38921,4,4
Partitions scanned,,159,52765,4,4
Partitions scanned,,160,42708,4,4
Partitions scanned,,161,77552,4,4
Partitions scanned,,162,35508,4,4
Partitions scanned,,163,22296,4,4
