Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.18137,0.08041,0.11206,0.1058
Time,s,2,0.12876,0.06461,0.10333,0.10306
Time,s,3,0.09727,0.0693,0.10765,0.10268
Time,s,4,0.09245,0.07195,0.10583,0.10934
Time,s,5,0.10208,0.07078,0.11859,0.11706
Time,s,6,0.10771,0.07975,0.10742,0.10676
Time,s,7,0.1047,0.08888,0.09026,0.10518
Time,s,8,0.09595,0.0831,0.07925,0.10883
Time,s,9,0.10782,0.07978,0.07004,0.13047
Time,s,10,0.12002,0.07696,0.06664,0.13421
Time,s,11,0.10878,0.09057,0.06722,0.13077
Time,s,12,0.11448,0.07663,0.06401,0.13968
Time,s,13,0.1171,0.07266,0.06436,0.11439
Time,s,14,0.12269,0.0713,0.06696,0.1057
Time,s,15,0.11075,0.07285,0.06525,0.10538
Time,s,16,0.1274,0.0699,0.06218,0.10513
Time,s,17,0.13878,0.07391,0.08719,0.09879
Time,s,18,0.11241,0.06338,0.09243,0.09441
Time,s,19,0.08555,0.05325,0.0994,0.0926
Time,s,20,0.10814,0.06205,0.09901,0.08907
Time,s,21,0.09182,0.06508,0.09429,0.09447
Time,s,22,0.10558,0.08334,0.0961,0.08994
Time,s,23,0.10024,0.08548,0.09774,0.09369
Time,s,24,0.07657,0.08407,0.09668,0.09897
Time,s,25,0.06199,0.08367,0.09472,0.07059
Time,s,26,0.09539,0.08491,0.0958,0.08338
Time,s,27,0.10181,0.08227,0.08516,0.09168
Time,s,28,0.08104,0.08398,0.06643,0.0868
Time,s,29,0.09986,0.08999,0.06424,0.08508
Time,s,30,0.07538,0.08538,0.05716,0.08277
Time,s,31,0.09567,0.08365,0.06498,0.09532
Time,s,32,0.0872,0.08475,0.08182,0.08829
Time,s,33,0.09505,0.08427,0.0733,0.09338
Time,s,34,0.08799,0.08461,0.06836,0.07891
Time,s,35,0.10308,0.07346,0.06341,0.09079
Time,s,36,0.09113,0.05859,0.06508,0.11046
Time,s,37,0.07503,0.04869,0.05668,0.10991
Time,s,38,0.04887,0.04154,0.04809,0.11081
Time,s,39,0.06368,0.03997,0.04812,0.1093
Time,s,40,0.1021,0.04311,0.05923,0.10795
Time,s,41,0.10089,0.05646,0.07215,0.09847
Time,s,42,0.11598,0.05587,0.07868,0.09455
Time,s,43,0.11221,0.04914,0.07169,0.09415
Time,s,44,0.09199,0.04437,0.06172,0.08781
Time,s,45,0.08361,0.04025,0.05489,0.06575
Time,s,46,0.08848,0.03872,0.08201,0.0627
Time,s,47,0.08404,0.03852,0.09165,0.06931
Time,s,48,0.12867,0.04747,0.097,0.09896
Time,s,49,0.11815,0.04629,0.09798,0.09619
Time,s,50,0.09027,0.04168,0.09483,0.08023
Time,s,51,0.12575,0.0413,0.0967,0.0822
Time,s,52,0.06972,0.04199,0.09612,0.08069
Time,s,53,0.10766,0.04092,0.09838,0.08343
Time,s,54,0.10831,0.04546,0.09439,0.09214
Time,s,55,0.08062,0.04381,0.07718,0.09597
Time,s,56,0.10841,0.04139,0.06631,0.08814
Time,s,57,0.10916,0.04881,0.07278,0.09431
Time,s,58,0.0782,0.09341,0.06694,0.09009
Time,s,59,0.10523,0.08396,0.06286,0.10038
Time,s,60,0.09983,0.07613,0.06904,0.10971
Time,s,61,0.07653,0.07302,0.07386,0.10967
Time,s,62,0.09966,0.08066,0.08336,0.10298
Time,s,63,0.08564,0.08014,0.08167,0.10474
Time,s,64,0.1108,0.07559,0.06446,0.10706
Time,s,65,0.12366,0.07486,0.06475,0.10149
Time,s,66,0.10899,0.07726,0.06793,0.09426
Time,s,67,0.1448,0.07382,0.06336,0.09805
Time,s,68,0.12256,0.07419,0.07241,0.09527
Time,s,69,0.12607,0.07573,0.06812,0.09324
Time,s,70,0.08835,0.07353,0.06663,0.08729
Time,s,71,0.10802,0.07158,0.07149,0.09312
Time,s,72,0.08881,0.06284,0.06373,0.09405
Time,s,73,0.09547,0.05347,0.05764,0.08971
Time,s,74,0.10698,0.04632,0.06766,0.08986
Time,s,75,0.10434,0.04371,0.09632,0.09039
Time,s,76,0.1033,0.04209,0.09863,0.09412
Time,s,77,0.12883,0.04322,0.09866,0.09548
Time,s,78,0.09764,0.04465,0.09543,0.09259
Time,s,79,0.08413,0.04404,0.09322,0.06233
Time,s,80,0.10614,0.05189,0.09497,0.08152
Time,s,81,0.09834,0.04755,0.09555,0.08078
Time,s,82,0.09327,0.04399,0.09303,0.09853
Time,s,83,0.12247,0.05822,0.08592,0.11895
Time,s,84,0.11339,0.05274,0.07622,0.1113
Time,s,85,0.11312,0.05139,0.06525,0.11076
Time,s,86,0.10037,0.04834,0.05977,0.11094
Time,s,87,0.12311,0.04675,0.06123,0.09901
Time,s,88,0.1192,0.04503,0.06881,0.0965
Time,s,89,0.10103,0.04386,0.06641,0.0936
Time,s,90,0.08131,0.04067,0.0772,0.07146
Time,s,91,0.11874,0.04257,0.07723,0.08546
Time,s,92,0.10082,0.04375,0.07061,0.09491
Time,s,93,0.10196,0.04107,0.06098,0.08995
Time,s,94,0.11314,0.042,0.06203,0.09502
Time,s,95,0.10381,0.04397,0.06174,0.09985
Time,s,96,0.11254,0.06138,0.07506,0.09302
Time,s,97,0.10157,0.05705,0.07826,0.09373
Time,s,98,0.1042,0.05286,0.06599,0.1075
Time,s,99,0.09384,0.04921,0.06589,0.09636
Time,s,100,0.09089,0.04551,0.06262,0.09952
Time,s,101,0.06139,0.04209,0.05437,0.0719
Time,s,102,0.06295,0.04151,0.05103,0.06593
Time,s,103,0.08893,0.05555,0.05705,0.08385
Time,s,104,0.10815,0.05336,0.09113,0.09142
Time,s,105,0.09982,0.0501,0.1003,0.10161
Time,s,106,0.12722,0.04553,0.0976,0.11342
Time,s,107,0.12724,0.04588,0.10234,0.11068
Time,s,108,0.10188,0.04611,0.09806,0.11039
Time,s,109,0.10419,0.04386,0.09726,0.10288
Time,s,110,0.12548,0.04686,0.09792,0.09357
Time,s,111,0.09706,0.04512,0.09624,0.09488
Time,s,112,0.10292,0.0445,0.08333,0.09117
Time,s,113,0.09162,0.04362,0.07164,0.09282
Time,s,114,0.10762,0.0433,0.06668,0.08949
Time,s,115,0.09231,0.04383,0.06636,0.09472
Time,s,116,0.06974,0.04087,0.05704,0.07687
Time,s,117,0.08886,0.04052,0.05738,0.0854
Time,s,118,0.10495,0.04141,0.07351,0.10367
Time,s,119,0.08517,0.05505,0.0761,0.09373
Time,s,120,0.1065,0.06767,0.08383,0.09608
Time,s,121,0.08918,0.07956,0.06956,0.09611
Time,s,122,0.10781,0.06898,0.06382,0.09167
Time,s,123,0.07268,0.07056,0.06536,0.08847
Time,s,124,0.09189,0.06966,0.085,0.08475
Time,s,125,0.08756,0.07667,0.10597,0.08749
Time,s,126,0.07544,0.07397,0.10429,0.07713
Time,s,127,0.09011,0.07356,0.08905,0.08442
