Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,89521,1,1
Partitions scanned,,2,47089,1,1
Partitions scanned,,3,8573,1,1
Partitions scanned,,4,21887,2,2
Partitions scanned,,5,49855,1,1
Partitions scanned,,6,67675,1,1
Partitions scanned,,7,80697,1,1
Partitions scanned,,8,65862,1,1
Partitions scanned,,9,49658,2,2
Partitions scanned,,10,80219,1,1
Partitions scanned,,11,55960,2,2
Partitions scanned,,12,57910,1,1
Partitions scanned,,13,76656,1,1
Partitions scanned,,14,86772,1,1
Partitions scanned,,15,59880,1,1
Partitions scanned,,16,89053,1,1
Partitions scanned,,17,99213,2,2
Partitions scanned,,18,85314,1,1
Partitions scanned,,19,39180,1,1
Partitions scanned,,20,95672,1,1
Partitions scanned,,21,47071,1,1
Partitions scanned,,22,88811,1,1
Partitions scanned,,23,79036,1,1
Partitions scanned,,24,19869,1,1
Partitions scanned,,25,10713,1,1
Partitions scanned,,26,66851,1,1
Partitions scanned,,27,76646,1,1
Partitions scanned,,28,27590,1,1
Partitions scanned,,29,48948,1,1
Partitions scanned,,30,11220,1,1
Partitions scanned,,31,58333,1,1
Partitions scanned,,32,41115,1,1
Partitions scanned,,33,53412,1,1
Partitions scanned,,34,19515,1,1
Partitions scanned,,35,85901,1,1
Partitions scanned,,36,52836,1,1
Partitions scanned,,37,20487,1,1
Partitions scanned,,38,1164,1,1
Partitions scanned,,39,16627,1,1
Partitions scanned,,40,85266,1,1
Partitions scanned,,41,78241,1,1
Partitions scanned,,42,86142,1,1
Partitions scanned,,43,66290,1,1
Partitions scanned,,44,22801,1,1
Partitions scanned,,45,7939,1,1
Partitions scanned,,46,10084,1,1
Partitions scanned,,47,13141,2,2
Partitions scanned,,48,97013,1,1
Partitions scanned,,49,73782,1,1
Partitions scanned,,50,14472,1,1
Partitions scanned,,51,87616,1,1
Partitions scanned,,52,4160,2,2
Partitions scanned,,53,75299,1,1
Partitions scanned,,54,95704,1,1
Partitions scanned,,55,28069,1,1
Partitions scanned,,56,89564,1,1
Partitions scanned,,57,95406,1,1
Partitions scanned,,58,23117,1,1
Partitions scanned,,59,92519,1,1
Partitions scanned,,60,71771,1,1
Partitions scanned,,61,20364,1,1
Partitions scanned,,62,75641,1,1
Partitions scanned,,63,39687,1,1
Partitions scanned,,64,63212,1,1
Partitions scanned,,65,90218,1,1
Partitions scanned,,66,59121,1,1
Partitions scanned,,67,99404,1,1
Partitions scanned,,68,86587,1,1
Partitions scanned,,69,90429,1,1
Partitions scanned,,70,10662,1,1
Partitions scanned,,71,82640,1,1
Partitions scanned,,72,30843,1,1
Partitions scanned,,73,41554,1,1
Partitions scanned,,74,41458,1,1
Partitions scanned,,75,63091,1,1
Partitions scanned,,76,67688,1,1
Partitions scanned,,77,93456,1,1
Partitions scanned,,78,28876,1,1
Partitions scanned,,79,1026,1,1
Partitions scanned,,80,41316,1,1
Partitions scanned,,81,28015,1,1
Partitions scanned,,82,20557,1,1
Partitions scanned,,83,67393,1,1
Partitions scanned,,84,53853,1,1
Partitions scanned,,85,50103,1,1
Partitions scanned,,86,28587,1,1
Partitions scanned,,87,69260,1,1
Partitions scanned,,88,84260,1,1
Partitions scanned,,89,50041,1,1
Partitions scanned,,90,8194,1,1
Partitions scanned,,91,87994,1,1
Partitions scanned,,92,49704,1,1
Partitions scanned,,93,50167,1,1
Partitions scanned,,94,67010,1,1
Partitions scanned,,95,52778,1,1
Partitions scanned,,96,81420,1,1
Partitions scanned,,97,58406,1,1
Partitions scanned,,98,67009,1,1
Partitions scanned,,99,57494,1,1
Partitions scanned,,100,51236,1,1
Partitions scanned,,101,5336,1,1
Partitions scanned,,102,13491,1,1
Partitions scanned,,103,48389,1,1
Partitions scanned,,104,96456,1,1
Partitions scanned,,105,59198,1,1
Partitions scanned,,106,98830,1,1
Partitions scanned,,107,95910,1,1
Partitions scanned,,108,41700,1,1
Partitions scanned,,109,47729,1,1
Partitions scanned,,110,91041,1,1
Partitions scanned,,111,51953,1,1
Partitions scanned,,112,81250,1,1
Partitions scanned,,113,48403,1,1
Partitions scanned,,114,73795,1,1
Partitions scanned,,115,47555,1,1
Partitions scanned,,116,8719,1,1
Partitions scanned,,117,50169,1,1
Partitions scanned,,118,74217,1,1
Partitions scanned,,119,30978,2,2
Partitions scanned,,120,83508,1,1
Partitions scanned,,121,46964,1,1
Partitions scanned,,122,93961,1,1
Partitions scanned,,123,12516,1,1
Partitions scanned,,124,56125,1,1
Partitions scanned,,125,41989,1,1
Partitions scanned,,126,24113,1,1
Partitions scanned,,127,34985,1,1
Partitions scanned,,128,85796,1,1
Partitions scanned,,129,80276,1,1
Partitions scanned,,130,75320,1,1
Partitions scanned,,131,57045,1,1
Partitions scanned,,132,38234,1,1
Partitions scanned,,133,3984,2,2
Partitions scanned,,134,31604,1,1
Partitions scanned,,135,30414,1,1
Partitions scanned,,136,38514,1,1
Partitions scanned,,137,73805,1,1
Partitions scanned,,138,2078,1,1
Partitions scanned,,139,53797,1,1
Partitions scanned,,140,19497,1,1
Partitions scanned,,141,45382,1,1
Partitions scanned,,142,96259,1,1
Partitions scanned,,143,21382,1,1
Partitions scanned,,144,87068,1,1
Partitions scanned,,145,4649,1,1
Partitions scanned,,146,28500,1,1
Partitions scanned,,147,1795,1,1
Partitions scanned,,148,59951,1,1
Partitions scanned,,149,68799,1,1
Partitions scanned,,150,72481,1,1
Partitions scanned,,151,97952,1,1
Partitions scanned,,152,49429,1,1
Partitions scanned,,153,75724,1,1
Partitions scanned,,154,14263,1,1
Partitions scanned,,155,6206,1,1
Partitions scanned,,156,25182,1,1
Partitions scanned,,157,20319,1,1
Partitions scanned,,158,38918,1,1
Partitions scanned,,159,52763,2,2
Partitions scanned,,160,42705,1,1
Partitions scanned,,161,77549,1,1
Partitions scanned,,162,35505,1,1
Partitions scanned,,163,22293,1,1
Partitions scanned,,164,29173,1,1
Partitions scanned,,165,28542,1,1
Partitions scanned,,166,1333,1,1
Partitions scanned,,167,57205,1,1
Partitions scanned,,168,8199,1,1
Partitions scanned,,169,72947,1,1
Partitions scanned,,170,70235,1,1
Partitions scanned,,171,27706,1,1
Partitions scanned,,172,1581,1,1
Partitions scanned,,173,21591,1,1
Partitions scanned,,174,81431,1,1
Partitions scanned,,175,48640,1,1
Partitions scanned,,176,40780,1,1
Partitions scanned,,177,35301,1,1
Partitions scanned,,178,9629,1,1
Partitions scanned,,179,27945,1,1
Partitions scanned,,180,1450,1,1
Partitions scanned,,181,39382,1,1
Partitions scanned,,182,88051,1,1
Partitions scanned,,183,45537,1,1
Partitions scanned,,184,30625,1,1
Partitions scanned,,185,40355,1,1
Partitions scanned,,186,88864,1,1
Partitions scanned,,187,30646,1,1
