Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.20229,0.08035,0.10008,0.09852
Time,s,2,0.09733,0.06207,0.09346,0.0985
Time,s,3,0.07427,0.05661,0.07803,0.08443
Time,s,4,0.08082,0.05383,0.07793,0.09166
Time,s,5,0.09628,0.05074,0.08187,0.09309
Time,s,6,0.10734,0.0485,0.0857,0.0934
Time,s,7,0.11659,0.04794,0.08403,0.09561
Time,s,8,0.11293,0.05222,0.09095,0.1014
Time,s,9,0.09921,0.04759,0.08806,0.10057
Time,s,10,0.10823,0.04987,0.09273,0.09819
Time,s,11,0.0928,0.05553,0.09506,0.09635
Time,s,12,0.09135,0.04777,0.09201,0.09476
Time,s,13,0.11937,0.0474,0.09364,0.09493
Time,s,14,0.10938,0.04635,0.08813,0.09578
Time,s,15,0.09411,0.04653,0.07984,0.09663
Time,s,16,0.10717,0.05653,0.07156,0.09612
Time,s,17,0.10897,0.06144,0.07047,0.10156
Time,s,18,0.11278,0.05205,0.0705,0.0959
Time,s,19,0.08225,0.04883,0.06761,0.09862
Time,s,20,0.10611,0.04646,0.06549,0.09704
Time,s,21,0.08529,0.04648,0.0664,0.10125
Time,s,22,0.10511,0.04698,0.06133,0.09437
Time,s,23,0.09952,0.05302,0.06607,0.10085
Time,s,24,0.07986,0.0463,0.05852,0.09601
Time,s,25,0.06322,0.04182,0.05,0.07195
Time,s,26,0.09301,0.04202,0.05542,0.08944
Time,s,27,0.09832,0.04237,0.06446,0.09431
Time,s,28,0.07802,0.04202,0.05979,0.09363
Time,s,29,0.08721,0.04106,0.05609,0.09248
Time,s,30,0.08482,0.03985,0.05099,0.07909
Time,s,31,0.10375,0.04087,0.06755,0.08911
Time,s,32,0.09619,0.04096,0.06642,0.09968
Time,s,33,0.10301,0.04061,0.05766,0.09884
Time,s,34,0.08568,0.03964,0.05341,0.09537
Time,s,35,0.12159,0.0448,0.05903,0.09586
Time,s,36,0.09787,0.05109,0.06474,0.09797
Time,s,37,0.07137,0.05538,0.05731,0.08727
Time,s,38,0.05055,0.05082,0.04988,0.06147
Time,s,39,0.06456,0.04327,0.05593,0.07108
Time,s,40,0.1017,0.0516,0.07952,0.08848
Time,s,41,0.10754,0.06121,0.08807,0.09808
Time,s,42,0.11332,0.05083,0.09225,0.10817
Time,s,43,0.09453,0.04802,0.09046,0.09772
Time,s,44,0.07373,0.04624,0.08792,0.0996
Time,s,45,0.05656,0.04616,0.0866,0.08682
Time,s,46,0.0553,0.04793,0.0851,0.07326
Time,s,47,0.06015,0.04298,0.0653,0.07425
Time,s,48,0.10516,0.04239,0.06061,0.08951
Time,s,49,0.11097,0.04528,0.06771,0.09833
Time,s,50,0.06889,0.04199,0.05741,0.08805
Time,s,51,0.10226,0.04154,0.05758,0.0893
Time,s,52,0.06449,0.04172,0.05692,0.08914
Time,s,53,0.09675,0.04654,0.05549,0.09682
Time,s,54,0.11498,0.07739,0.06091,0.09681
Time,s,55,0.08881,0.08035,0.06117,0.0974
Time,s,56,0.12167,0.07683,0.05719,0.09424
Time,s,57,0.12688,0.07757,0.06361,0.10158
Time,s,58,0.08646,0.07462,0.05994,0.09829
Time,s,59,0.12406,0.07282,0.05891,0.09099
Time,s,60,0.10586,0.08144,0.06752,0.09663
Time,s,61,0.07293,0.07705,0.05806,0.09129
Time,s,62,0.09789,0.07512,0.06109,0.08939
Time,s,63,0.08273,0.07171,0.06079,0.09659
Time,s,64,0.09385,0.06655,0.07764,0.09326
Time,s,65,0.11947,0.05639,0.06941,0.09467
Time,s,66,0.09677,0.05129,0.06205,0.09803
Time,s,67,0.10672,0.04772,0.06115,0.09545
Time,s,68,0.10179,0.04694,0.06806,0.1035
Time,s,69,0.10519,0.04558,0.06735,0.09833
Time,s,70,0.06908,0.04399,0.06796,0.09871
Time,s,71,0.10815,0.04332,0.06336,0.09404
Time,s,72,0.08028,0.04217,0.06243,0.09576
Time,s,73,0.08901,0.04014,0.07896,0.09287
Time,s,74,0.08426,0.04308,0.08651,0.09398
Time,s,75,0.09251,0.06419,0.08772,0.09349
Time,s,76,0.10261,0.06063,0.09079,0.09609
Time,s,77,0.12589,0.05305,0.08531,0.09575
Time,s,78,0.09272,0.04737,0.06997,0.09841
Time,s,79,0.07138,0.04136,0.06299,0.06105
Time,s,80,0.09689,0.04992,0.05946,0.09738
Time,s,81,0.09038,0.05606,0.05712,0.09216
Time,s,82,0.08945,0.04493,0.06037,0.08063
Time,s,83,0.10452,0.0424,0.05836,0.09074
Time,s,84,0.09098,0.04169,0.05907,0.09586
Time,s,85,0.09041,0.0406,0.0602,0.09435
Time,s,86,0.07913,0.03978,0.06409,0.08697
Time,s,87,0.09626,0.04058,0.07118,0.09038
Time,s,88,0.11499,0.04314,0.09157,0.1021
Time,s,89,0.08865,0.04494,0.08624,0.09981
Time,s,90,0.062,0.04102,0.08125,0.07601
Time,s,91,0.10335,0.04248,0.08965,0.08747
Time,s,92,0.08899,0.04355,0.08326,0.10427
Time,s,93,0.08961,0.04059,0.08137,0.09777
Time,s,94,0.10185,0.06217,0.08795,0.09507
Time,s,95,0.09178,0.07327,0.09066,0.09615
Time,s,96,0.10105,0.07398,0.08852,0.09459
Time,s,97,0.09337,0.07552,0.0944,0.09673
Time,s,98,0.09653,0.07275,0.09835,0.0952
Time,s,99,0.09398,0.07671,0.09465,0.09643
Time,s,100,0.10469,0.07782,0.09173,0.09685
Time,s,101,0.08361,0.0791,0.07755,0.07468
Time,s,102,0.08413,0.06874,0.05848,0.06792
Time,s,103,0.10267,0.05601,0.05519,0.08854
Time,s,104,0.12907,0.05245,0.06136,0.103
Time,s,105,0.10878,0.05363,0.06701,0.09805
Time,s,106,0.11018,0.05111,0.06831,0.10242
Time,s,107,0.10734,0.05002,0.0744,0.09891
Time,s,108,0.08628,0.04728,0.08421,0.09791
Time,s,109,0.0893,0.04433,0.06113,0.09415
Time,s,110,0.13586,0.04369,0.06064,0.09329
Time,s,111,0.1012,0.04464,0.0657,0.0972
Time,s,112,0.12034,0.04316,0.06158,0.09326
Time,s,113,0.10081,0.04362,0.06317,0.09768
Time,s,114,0.11512,0.04248,0.05933,0.09507
Time,s,115,0.10313,0.04277,0.06211,0.10363
Time,s,116,0.0762,0.05062,0.05366,0.08862
Time,s,117,0.09494,0.05362,0.07386,0.09071
Time,s,118,0.09872,0.05182,0.08398,0.0949
Time,s,119,0.08144,0.04972,0.0713,0.09453
Time,s,120,0.10369,0.04661,0.06228,0.09238
Time,s,121,0.08895,0.04546,0.06492,0.09573
Time,s,122,0.10716,0.04457,0.06059,0.09139
Time,s,123,0.07142,0.05288,0.06307,0.09792
Time,s,124,0.08928,0.0521,0.06723,0.10126
Time,s,125,0.08585,0.04746,0.06237,0.0929
Time,s,126,0.07521,0.04263,0.06702,0.08386
Time,s,127,0.08255,0.04037,0.09371,0.09895
Time,s,128,0.11083,0.04171,0.0953,0.09248
Time,s,129,0.10231,0.04505,0.09113,0.09462
Time,s,130,0.09998,0.04499,0.07727,0.094
Time,s,131,0.09376,0.04483,0.08869,0.09366
Time,s,132,0.09482,0.04255,0.09175,0.09193
Time,s,133,0.07186,0.04082,0.0867,0.06846
Time,s,134,0.09447,0.03967,0.08387,0.0803
Time,s,135,0.09772,0.03917,0.0886,0.08509
Time,s,136,0.0944,0.05167,0.07858,0.08805
Time,s,137,0.11427,0.07914,0.07404,0.09176
Time,s,138,0.07633,0.0785,0.06333,0.0779
Time,s,139,0.10485,0.07753,0.0604,0.08986
Time,s,140,0.0777,0.08048,0.05314,0.08968
Time,s,141,0.08668,0.0762,0.05285,0.09093
Time,s,142,0.10707,0.07658,0.05875,0.10437
Time,s,143,0.07676,0.08118,0.06149,0.09219
Time,s,144,0.10249,0.07826,0.05822,0.08812
Time,s,145,0.06838,0.06026,0.05499,0.08643
Time,s,146,0.07726,0.04815,0.05066,0.0825
Time,s,147,0.05237,0.03961,0.04544,0.06306
Time,s,148,0.09091,0.04009,0.05505,0.08431
Time,s,149,0.10022,0.04247,0.05857,0.09203
Time,s,150,0.10106,0.04346,0.06165,0.09257
Time,s,151,0.11741,0.04268,0.06056,0.0982
Time,s,152,0.10146,0.04548,0.0672,0.09734
Time,s,153,0.10871,0.04238,0.06024,0.09318
Time,s,154,0.06908,0.04176,0.06001,0.08764
Time,s,155,0.05349,0.03871,0.05312,0.06354
Time,s,156,0.0732,0.03855,0.06778,0.08001
Time,s,157,0.07768,0.04116,0.05425,0.07629
Time,s,158,0.09777,0.04822,0.05165,0.08714
Time,s,159,0.11565,0.05135,0.05339,0.09124
Time,s,160,0.11967,0.05031,0.06421,0.09932
Time,s,161,0.14405,0.04621,0.06298,0.09096
Time,s,162,0.11591,0.04332,0.06043,0.09389
Time,s,163,0.10126,0.04007,0.05177,0.08518
Time,s,164,0.08759,0.04192,0.05034,0.09518
Time,s,165,0.08704,0.04243,0.06434,0.08499
Time,s,166,0.06389,0.04063,0.08181,0.06248
Time,s,167,0.08961,0.05724,0.09045,0.08447
Time,s,168,0.06221,0.04995,0.08672,0.07385
Time,s,169,0.0959,0.04544,0.08736,0.0846
Time,s,170,0.10095,0.04438,0.07609,0.09261
Time,s,171,0.07924,0.04422,0.06563,0.08928
Time,s,172,0.05003,0.04258,0.06032,0.06105
Time,s,173,0.06637,0.0483,0.05544,0.07455
Time,s,174,0.09758,0.04474,0.05792,0.0874
Time,s,175,0.0863,0.04564,0.06085,0.09469
Time,s,176,0.08966,0.04361,0.05537,0.0934
Time,s,177,0.07986,0.04336,0.0552,0.09671
Time,s,178,0.0585,0.04148,0.05068,0.07505
Time,s,179,0.07459,0.05096,0.05247,0.08805
Time,s,180,0.05081,0.07946,0.04884,0.06426
Time,s,181,0.09063,0.07242,0.05205,0.08293
Time,s,182,0.12053,0.07325,0.07224,0.09112
Time,s,183,0.09893,0.07616,0.06522,0.0944
Time,s,184,0.09144,0.07354,0.05569,0.08608
Time,s,185,0.09614,0.07385,0.05367,0.08862
Time,s,186,0.12239,0.07934,0.05935,0.09158
Time,s,187,0.0914,0.07803,0.06474,0.09324
Time,s,188,0.12332,0.05929,0.06626,0.08921
Time,s,189,0.1091,0.05189,0.06139,0.0999
Time,s,190,0.11826,0.04639,0.06579,0.09322
Time,s,191,0.09802,0.04457,0.075,0.09444
Time,s,192,0.08223,0.04172,0.06094,0.07854
Time,s,193,0.09678,0.04265,0.06698,0.08647
Time,s,194,0.06302,0.04057,0.053,0.06736
Time,s,195,0.08457,0.04049,0.05208,0.08445
Time,s,196,0.08228,0.04373,0.05202,0.08908
Time,s,197,0.08707,0.04353,0.05423,0.09579
Time,s,198,0.08239,0.04165,0.05655,0.09662
Time,s,199,0.0565,0.03948,0.04968,0.06895
Time,s,200,0.09058,0.04196,0.068,0.08342
Time,s,201,0.09417,0.05566,0.09042,0.0961
Time,s,202,0.09304,0.05555,0.09301,0.09502
Time,s,203,0.10827,0.05392,0.09304,0.09367
Time,s,204,0.07273,0.05257,0.0802,0.07628
Time,s,205,0.12459,0.04429,0.07188,0.08516
Time,s,206,0.10241,0.0432,0.07123,0.09392
Time,s,207,0.08215,0.04138,0.07231,0.0788
Time,s,208,0.0917,0.04393,0.06107,0.0854
Time,s,209,0.07528,0.04109,0.05485,0.07846
Time,s,210,0.08101,0.05007,0.04926,0.06884
Time,s,211,0.11758,0.05414,0.05672,0.08723
Time,s,212,0.10358,0.04594,0.0608,0.09462
Time,s,213,0.11165,0.04396,0.06117,0.095
Time,s,214,0.1142,0.0428,0.0623,0.09681
Time,s,215,0.11722,0.04623,0.06054,0.09866
Time,s,216,0.1102,0.04492,0.06178,0.10006
Time,s,217,0.12178,0.04455,0.06147,0.09315
Time,s,218,0.10497,0.0494,0.06189,0.09487
Time,s,219,0.10462,0.04534,0.06247,0.10536
Time,s,220,0.10386,0.04498,0.06339,0.11706
Time,s,221,0.1274,0.0532,0.06304,0.11297
Time,s,222,0.0832,0.07223,0.06655,0.12254
Time,s,223,0.07635,0.06745,0.05065,0.12857
Time,s,224,0.0673,0.06746,0.04558,0.12571
Time,s,225,0.09626,0.07084,0.09167,0.12217
Time,s,226,0.09835,0.07202,0.06711,0.12107
Time,s,227,0.10191,0.07291,0.0585,0.11827
Time,s,228,0.09082,0.07429,0.05943,0.12006
Time,s,229,0.07279,0.07817,0.05782,0.12278
Time,s,230,0.06089,0.07357,0.05073,0.11212
Time,s,231,0.09662,0.05921,0.05712,0.09086
Time,s,232,0.06287,0.04937,0.05597,0.08458
Time,s,233,0.06506,0.04247,0.05073,0.08748
Time,s,234,0.06185,0.04341,0.06379,0.07438
Time,s,235,0.05972,0.04779,0.08603,0.06818
Time,s,236,0.05578,0.04139,0.08585,0.0656
Time,s,237,0.10094,0.04355,0.09091,0.08812
Time,s,238,0.09979,0.04461,0.08603,0.09431
Time,s,239,0.09544,0.04431,0.06982,0.09566
Time,s,240,0.0922,0.04629,0.06263,0.09456
Time,s,241,0.09985,0.0625,0.074,0.09118
Time,s,242,0.09619,0.07045,0.06426,0.10482
Time,s,243,0.1093,0.08222,0.06111,0.10764
Time,s,244,0.10912,0.07611,0.0649,0.10911
Time,s,245,0.0895,0.06939,0.05941,0.10924
Time,s,246,0.08951,0.06336,0.05486,0.108
Time,s,247,0.08118,0.06594,0.05475,0.112
Time,s,248,0.08374,0.07439,0.05725,0.10635
Time,s,249,0.10052,0.07209,0.0604,0.09739
Time,s,250,0.0922,0.06746,0.06643,0.09442
Time,s,251,0.10188,0.06812,0.06513,0.09312
Time,s,252,0.1088,0.06391,0.06332,0.09329
Time,s,253,0.06585,0.04916,0.05775,0.08589
Time,s,254,0.07138,0.04278,0.05319,0.08105
Time,s,255,0.08519,0.04086,0.07385,0.09286
Time,s,256,0.09692,0.04102,0.06579,0.09751
Time,s,257,0.08252,0.04204,0.07024,0.09527
Time,s,258,0.0662,0.05028,0.06819,0.0753
Time,s,259,0.10414,0.0695,0.08061,0.09106
Time,s,260,0.10249,0.07238,0.07087,0.09369
Time,s,261,0.07044,0.07017,0.05802,0.09718
Time,s,262,0.0881,0.07748,0.05596,0.08631
Time,s,263,0.07022,0.077,0.05385,0.08361
Time,s,264,0.12662,0.07009,0.05907,0.09949
Time,s,265,0.11089,0.07712,0.06799,0.10471
Time,s,266,0.09328,0.08048,0.06009,0.10553
Time,s,267,0.1045,0.07931,0.07007,0.1101
Time,s,268,0.11126,0.07488,0.09253,0.10535
Time,s,269,0.11853,0.06947,0.09497,0.09956
Time,s,270,0.07659,0.06863,0.09271,0.08672
Time,s,271,0.09583,0.06965,0.08102,0.08739
Time,s,272,0.08014,0.05673,0.06653,0.09438
Time,s,273,0.08885,0.04807,0.06018,0.08989
Time,s,274,0.09122,0.04516,0.07666,0.09169
Time,s,275,0.08537,0.04259,0.06641,0.09161
Time,s,276,0.10559,0.05182,0.06152,0.08906
Time,s,277,0.10373,0.05792,0.06416,0.09298
Time,s,278,0.08414,0.04978,0.06052,0.0986
Time,s,279,0.10126,0.04783,0.06143,0.09575
Time,s,280,0.0953,0.0453,0.06613,0.09411
Time,s,281,0.09243,0.04282,0.06192,0.09996
Time,s,282,0.08944,0.04115,0.06283,0.09396
Time,s,283,0.07287,0.04003,0.06668,0.08999
Time,s,284,0.07957,0.04024,0.0562,0.09158
Time,s,285,0.08606,0.04019,0.05604,0.08924
Time,s,286,0.09707,0.06129,0.05815,0.09908
Time,s,287,0.0842,0.05206,0.05528,0.10889
Time,s,288,0.11029,0.04675,0.06487,0.10702
Time,s,289,0.10517,0.0443,0.07032,0.10998
Time,s,290,0.08238,0.04124,0.05842,0.10987
Time,s,291,0.07635,0.03933,0.05722,0.09968
Time,s,292,0.08263,0.04158,0.05686,0.08128
Time,s,293,0.09249,0.04763,0.05206,0.08722
Time,s,294,0.08405,0.04134,0.05174,0.0864
Time,s,295,0.09938,0.04886,0.05428,0.08899
Time,s,296,0.10785,0.04779,0.05933,0.09296
Time,s,297,0.09913,0.04775,0.06811,0.09562
Time,s,298,0.11305,0.05906,0.06447,0.10103
Time,s,299,0.10246,0.07944,0.06636,0.09303
Time,s,300,0.09076,0.07974,0.07242,0.09536
Time,s,301,0.08446,0.07462,0.08834,0.09882
Time,s,302,0.06304,0.07454,0.08544,0.07773
Time,s,303,0.08839,0.07382,0.08897,0.0872
Time,s,304,0.11023,0.07616,0.08395,0.09148
Time,s,305,0.0657,0.07699,0.06501,0.08973
Time,s,306,0.05811,0.08043,0.05182,0.07364
Time,s,307,0.09147,0.0764,0.06712,0.08525
Time,s,308,0.11352,0.07595,0.08282,0.09281
Time,s,309,0.09686,0.07792,0.07112,0.1031
Time,s,310,0.0858,0.06195,0.05945,0.1089
Time,s,311,0.12013,0.05406,0.05895,0.10461
Time,s,312,0.10825,0.04987,0.0648,0.1107
Time,s,313,0.11637,0.04721,0.06204,0.10922
Time,s,314,0.0887,0.0446,0.05931,0.10668
Time,s,315,0.10051,0.0488,0.05711,0.10806
Time,s,316,0.08969,0.05197,0.05695,0.10282
Time,s,317,0.10095,0.05029,0.05908,0.1014
Time,s,318,0.07513,0.04685,0.05889,0.10316
Time,s,319,0.07857,0.04436,0.05217,0.10111
Time,s,320,0.05861,0.04386,0.06587,0.10147
Time,s,321,0.08264,0.05106,0.0663,0.10095
Time,s,322,0.11073,0.04367,0.05791,0.10025
Time,s,323,0.10598,0.04401,0.06349,0.0963
Time,s,324,0.10455,0.04559,0.07557,0.09506
Time,s,325,0.07611,0.04785,0.07239,0.09331
Time,s,326,0.09792,0.05916,0.0601,0.09307
Time,s,327,0.0815,0.05205,0.06008,0.09623
Time,s,328,0.0803,0.04537,0.05242,0.08291
Time,s,329,0.0852,0.04295,0.05257,0.09113
Time,s,330,0.05489,0.03943,0.04717,0.08722
Time,s,331,0.05211,0.03775,0.04457,0.11124
Time,s,332,0.1071,0.04226,0.05803,0.1127
Time,s,333,0.0612,0.043,0.05781,0.11284
Time,s,334,0.10096,0.04129,0.08357,0.10335
Time,s,335,0.08487,0.04322,0.09376,0.10042
Time,s,336,0.10045,0.04088,0.09144,0.09709
Time,s,337,0.10246,0.05044,0.09183,0.09837
Time,s,338,0.10678,0.07878,0.07907,0.09733
Time,s,339,0.08469,0.08188,0.06991,0.0986
Time,s,340,0.08386,0.08221,0.06874,0.09397
Time,s,341,0.09543,0.07999,0.06729,0.09422
Time,s,342,0.07759,0.07519,0.05923,0.09329
Time,s,343,0.08696,0.07372,0.05545,0.09293
Time,s,344,0.07635,0.07492,0.05369,0.09022
Time,s,345,0.09635,0.08145,0.05823,0.10012
Time,s,346,0.09544,0.08212,0.06111,0.09715
Time,s,347,0.06143,0.07883,0.05244,0.09394
Time,s,348,0.10393,0.08072,0.05734,0.09644
Time,s,349,0.08712,0.07187,0.06291,0.09909
Time,s,350,0.0989,0.05539,0.05639,0.09363
Time,s,351,0.0961,0.05077,0.06085,0.09594
Time,s,352,0.11086,0.04862,0.06799,0.10028
Time,s,353,0.0743,0.05521,0.06795,0.11305
Time,s,354,0.08375,0.05224,0.0562,0.10837
Time,s,355,0.08492,0.05053,0.05463,0.10369
Time,s,356,0.05837,0.04623,0.05022,0.09132
Time,s,357,0.08566,0.04245,0.05539,0.09873
Time,s,358,0.06427,0.03972,0.05401,0.08572
Time,s,359,0.12118,0.04047,0.07813,0.09119
Time,s,360,0.12632,0.04405,0.0759,0.09836
Time,s,361,0.09682,0.04381,0.06693,0.09822
Time,s,362,0.10112,0.04147,0.05865,0.0962
Time,s,363,0.1265,0.04192,0.06114,0.09506
Time,s,364,0.11629,0.04627,0.06888,0.09554
Time,s,365,0.09092,0.04992,0.06572,0.10593
Time,s,366,0.09436,0.05887,0.06818,0.09573
Time,s,367,0.08686,0.04873,0.08821,0.09693
Time,s,368,0.08757,0.04488,0.09071,0.09992
Time,s,369,0.10657,0.04356,0.09027,0.09453
Time,s,370,0.1061,0.04561,0.07955,0.09711
Time,s,371,0.07658,0.0444,0.06418,0.10445
Time,s,372,0.09027,0.04203,0.0612,0.09572
Time,s,373,0.10181,0.04283,0.06725,0.0951
Time,s,374,0.08694,0.04385,0.07545,0.09843
Time,s,375,0.08468,0.0423,0.06007,0.09479
Time,s,376,0.10852,0.0575,0.06171,0.09329
Time,s,377,0.07297,0.08316,0.06176,0.09635
Time,s,378,0.10259,0.07963,0.05799,0.09044
Time,s,379,0.09892,0.07814,0.06432,0.10309
Time,s,380,0.07854,0.07317,0.05871,0.09686
Time,s,381,0.10715,0.07964,0.06107,0.09339
Time,s,382,0.07932,0.07885,0.07037,0.10432
Time,s,383,0.10115,0.07745,0.06885,0.09684
Time,s,384,0.07021,0.08238,0.06517,0.09636
Time,s,385,0.08635,0.0797,0.05478,0.08918
Time,s,386,0.10462,0.07189,0.05856,0.09383
Time,s,387,0.11269,0.06949,0.06458,0.09674
Time,s,388,0.10165,0.07329,0.06542,0.09694
Time,s,389,0.09216,0.06117,0.06448,0.09832
Time,s,390,0.10545,0.05469,0.06781,0.09947
Time,s,391,0.09226,0.05943,0.07844,0.10194
Time,s,392,0.09379,0.0575,0.06445,0.0958
Time,s,393,0.09585,0.05179,0.06253,0.09662
Time,s,394,0.0864,0.04683,0.06121,0.09632
Time,s,395,0.06669,0.04319,0.05392,0.08431
Time,s,396,0.10368,0.04309,0.05926,0.09065
Time,s,397,0.06794,0.04291,0.06015,0.09232
Time,s,398,0.07326,0.03959,0.05403,0.08414
Time,s,399,0.08964,0.03967,0.07171,0.09329
Time,s,400,0.10193,0.04126,0.09248,0.10011
Time,s,401,0.0675,0.04071,0.08933,0.08644
Time,s,402,0.11593,0.04124,0.0754,0.0947
Time,s,403,0.07876,0.04512,0.06442,0.09979
Time,s,404,0.0687,0.04835,0.0539,0.08294
Time,s,405,0.0814,0.05302,0.05359,0.09277
Time,s,406,0.08018,0.04458,0.0585,0.09175
Time,s,407,0.07539,0.04189,0.06745,0.08601
Time,s,408,0.0482,0.03831,0.06262,0.06085
Time,s,409,0.09355,0.04133,0.05693,0.08518
Time,s,410,0.05957,0.04108,0.05053,0.07742
Time,s,411,0.08998,0.04463,0.05133,0.08145
Time,s,412,0.10347,0.05281,0.05692,0.09437
Time,s,413,0.09795,0.04732,0.06143,0.09571
Time,s,414,0.08908,0.0446,0.06022,0.09894
Time,s,415,0.05662,0.04643,0.05064,0.08286
Time,s,416,0.05833,0.072,0.048,0.07499
Time,s,417,0.08095,0.07758,0.06488,0.08811
Time,s,418,0.06266,0.07345,0.05068,0.08164
Time,s,419,0.04818,0.06814,0.04296,0.07155
Time,s,420,0.04756,0.06742,0.04174,0.06303
Time,s,421,0.10698,0.0695,0.06064,0.08868
Time,s,422,0.09556,0.07434,0.07252,0.09669
Time,s,423,0.09774,0.07459,0.09173,0.09573
Time,s,424,0.10605,0.07728,0.0931,0.09439
Time,s,425,0.10764,0.07966,0.0978,0.09592
Time,s,426,0.10173,0.07244,0.08965,0.09633
Time,s,427,0.10652,0.06721,0.08849,0.0994
Time,s,428,0.10108,0.0583,0.09265,0.10006
Time,s,429,0.1042,0.05115,0.09447,0.09638
Time,s,430,0.09012,0.04641,0.09847,0.09757
Time,s,431,0.07673,0.0594,0.10424,0.09218
Time,s,432,0.1,0.05432,0.09517,0.09304
Time,s,433,0.10489,0.05087,0.09531,0.08982
Time,s,434,0.07982,0.04553,0.08098,0.09613
Time,s,435,0.07501,0.04055,0.05911,0.08689
Time,s,436,0.10395,0.04117,0.0612,0.09272
Time,s,437,0.10442,0.04417,0.07942,0.10234
Time,s,438,0.09018,0.04361,0.07036,0.09623
Time,s,439,0.08952,0.0458,0.06134,0.1034
Time,s,440,0.10518,0.05218,0.06335,0.09604
Time,s,441,0.09397,0.046,0.06334,0.09629
Time,s,442,0.10116,0.04316,0.06153,0.09622
Time,s,443,0.08505,0.04318,0.06234,0.09639
Time,s,444,0.07796,0.04506,0.05572,0.09033
