Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,171,171,171,171
Partitions scanned,,2,171,171,171,171
Partitions scanned,,3,170,170,170,170
Partitions scanned,,4,170,170,170,170
Partitions scanned,,5,170,170,170,170
Partitions scanned,,6,171,171,171,171
Partitions scanned,,7,170,170,170,170
Partitions scanned,,8,170,170,170,170
Partitions scanned,,9,171,171,171,171
Partitions scanned,,10,171,171,171,171
Partitions scanned,,11,171,171,171,171
Partitions scanned,,12,170,170,170,170
Partitions scanned,,13,171,171,171,171
Partitions scanned,,14,170,170,170,170
Partitions scanned,,15,171,171,171,171
Partitions scanned,,16,171,171,171,171
Partitions scanned,,17,170,170,170,170
Partitions scanned,,18,170,170,170,170
Partitions scanned,,19,171,171,171,171
Partitions scanned,,20,171,171,171,171
Partitions scanned,,21,171,171,171,171
Partitions scanned,,22,171,171,171,171
Partitions scanned,,23,171,171,171,171
Partitions scanned,,24,171,171,171,171
Partitions scanned,,25,171,171,171,171
Partitions scanned,,26,170,170,170,170
Partitions scanned,,27,171,171,171,171
Partitions scanned,,28,171,171,171,171
Partitions scanned,,29,171,171,171,171
Partitions scanned,,30,171,171,171,171
Partitions scanned,,31,170,170,170,170
Partitions scanned,,32,171,171,171,171
Partitions scanned,,33,170,170,170,170
Partitions scanned,,34,170,170,170,170
Partitions scanned,,35,170,170,170,170
Partitions scanned,,36,170,170,170,170
Partitions scanned,,37,171,171,171,171
Partitions scanned,,38,171,171,171,171
Partitions scanned,,39,170,170,170,170
Partitions scanned,,40,171,171,171,171
Partitions scanned,,41,171,171,171,171
Partitions scanned,,42,171,171,171,171
Partitions scanned,,43,171,171,171,171
Partitions scanned,,44,171,171,171,171
Partitions scanned,,45,170,170,170,170
Partitions scanned,,46,171,171,171,171
Partitions scanned,,47,170,170,170,170
Partitions scanned,,48,171,171,171,171
Partitions scanned,,49,170,170,170,170
Partitions scanned,,50,171,171,171,171
Partitions scanned,,51,171,171,171,171
Partitions scanned,,52,170,170,170,170
Partitions scanned,,53,170,170,170,170
Partitions scanned,,54,171,171,171,171
Partitions scanned,,55,171,171,171,171
Partitions scanned,,56,171,171,171,171
Partitions scanned,,57,171,171,171,171
Partitions scanned,,58,171,171,171,171
Partitions scanned,,59,171,171,171,171
Partitions scanned,,60,171,171,171,171
Partitions scanned,,61,170,170,170,170
Partitions scanned,,62,170,170,170,170
Partitions scanned,,63,171,171,171,171
Partitions scanned,,64,171,171,171,171
Partitions scanned,,65,170,170,170,170
Partitions scanned,,66,170,170,170,170
Partitions scanned,,67,171,171,171,171
Partitions scanned,,68,171,171,171,171
Partitions scanned,,69,171,171,171,171
Partitions scanned,,70,170,170,170,170
Partitions scanned,,71,171,171,171,171
Partitions scanned,,72,171,171,171,171
Partitions scanned,,73,171,171,171,171
Partitions scanned,,74,170,170,170,170
Partitions scanned,,75,170,170,170,170
Partitions scanned,,76,171,171,171,171
Partitions scanned,,77,171,171,171,171
Partitions scanned,,78,171,171,171,171
Partitions scanned,,79,170,170,170,170
Partitions scanned,,80,171,171,171,171
Partitions scanned,,81,170,170,170,170
Partitions scanned,,82,171,171,171,171
Partitions scanned,,83,171,171,171,171
Partitions scanned,,84,171,171,171,171
Partitions scanned,,85,170,170,170,170
Partitions scanned,,86,170,170,170,170
Partitions scanned,,87,170,170,170,170
Partitions scanned,,88,171,171,171,171
Partitions scanned,,89,170,170,170,170
Partitions scanned,,90,171,171,171,171
Partitions scanned,,91,171,171,171,171
Partitions scanned,,92,171,171,171,171
Partitions scanned,,93,171,171,171,171
Partitions scanned,,94,171,171,171,171
Partitions scanned,,95,171,171,171,171
Partitions scanned,,96,170,170,170,170
Partitions scanned,,97,171,171,171,171
Partitions scanned,,98,171,171,171,171
Partitions scanned,,99,171,171,171,171
Partitions scanned,,100,171,171,171,171
Partitions scanned,,101,171,171,171,171
Partitions scanned,,102,170,170,170,170
Partitions scanned,,103,170,170,170,170
Partitions scanned,,104,170,170,170,170
Partitions scanned,,105,171,171,171,171
Partitions scanned,,106,171,171,171,171
Partitions scanned,,107,171,171,171,171
Partitions scanned,,108,171,171,171,171
Partitions scanned,,109,170,170,170,170
Partitions scanned,,110,171,171,171,171
