Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,171,171,171
Partitions scanned,,2,170,170,170
Partitions scanned,,3,170,170,170
Partitions scanned,,4,170,170,170
Partitions scanned,,5,171,171,171
Partitions scanned,,6,170,170,170
Partitions scanned,,7,170,170,170
Partitions scanned,,8,170,170,170
Partitions scanned,,9,171,171,171
Partitions scanned,,10,170,170,170
Partitions scanned,,11,170,170,170
Partitions scanned,,12,171,171,171
Partitions scanned,,13,171,171,171
Partitions scanned,,14,171,171,171
Partitions scanned,,15,171,171,171
Partitions scanned,,16,171,171,171
Partitions scanned,,17,171,171,171
Partitions scanned,,18,171,171,171
Partitions scanned,,19,171,171,171
Partitions scanned,,20,171,171,171
Partitions scanned,,21,170,170,170
Partitions scanned,,22,171,171,171
Partitions scanned,,23,171,171,171
Partitions scanned,,24,171,171,171
Partitions scanned,,25,171,171,171
Partitions scanned,,26,170,170,170
Partitions scanned,,27,171,171,171
Partitions scanned,,28,171,171,171
Partitions scanned,,29,171,171,171
Partitions scanned,,30,170,170,170
Partitions scanned,,31,171,171,171
Partitions scanned,,32,170,170,170
Partitions scanned,,33,171,171,171
Partitions scanned,,34,171,171,171
Partitions scanned,,35,170,170,170
Partitions scanned,,36,171,171,171
Partitions scanned,,37,170,170,170
Partitions scanned,,38,171,171,171
Partitions scanned,,39,171,171,171
Partitions scanned,,40,170,170,170
Partitions scanned,,41,171,171,171
Partitions scanned,,42,170,170,170
Partitions scanned,,43,170,170,170
Partitions scanned,,44,170,170,170
Partitions scanned,,45,170,170,170
Partitions scanned,,46,171,171,171
Partitions scanned,,47,171,171,171
Partitions scanned,,48,171,171,171
Partitions scanned,,49,171,171,171
Partitions scanned,,50,170,170,170
Partitions scanned,,51,171,171,171
Partitions scanned,,52,171,171,171
Partitions scanned,,53,170,170,170
Partitions scanned,,54,171,171,171
Partitions scanned,,55,170,170,170
Partitions scanned,,56,170,170,170
Partitions scanned,,57,170,170,170
Partitions scanned,,58,171,171,171
Partitions scanned,,59,171,171,171
Partitions scanned,,60,171,171,171
Partitions scanned,,61,171,171,171
Partitions scanned,,62,170,170,170
Partitions scanned,,63,171,171,171
Partitions scanned,,64,170,170,170
Partitions scanned,,65,171,171,171
Partitions scanned,,66,170,170,170
Partitions scanned,,67,171,171,171
Partitions scanned,,68,170,170,170
Partitions scanned,,69,170,170,170
Partitions scanned,,70,170,170,170
Partitions scanned,,71,170,170,170
Partitions scanned,,72,171,171,171
Partitions scanned,,73,170,170,170
Partitions scanned,,74,170,170,170
