Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.11423,0.08436,0.11272,0.12482
Time,s,2,0.10106,0.07099,0.11892,0.10244
Time,s,3,0.10037,0.06549,0.11502,0.08035
Time,s,4,0.10312,0.05911,0.11943,0.07912
Time,s,5,0.09981,0.05494,0.08089,0.067
Time,s,6,0.089,0.05202,0.069,0.0604
Time,s,7,0.07297,0.05159,0.06374,0.05912
Time,s,8,0.05449,0.04978,0.05654,0.05562
Time,s,9,0.05055,0.04837,0.05278,0.0523
Time,s,10,0.04749,0.04707,0.05224,0.07465
Time,s,11,0.0456,0.04608,0.0527,0.07081
Time,s,12,0.04455,0.04501,0.04926,0.05501
Time,s,13,0.04346,0.04372,0.06421,0.04951
Time,s,14,0.04149,0.04332,0.05609,0.04837
Time,s,15,0.0437,0.04394,0.04974,0.0511
Time,s,16,0.04739,0.04218,0.04865,0.04941
Time,s,17,0.04977,0.04291,0.06509,0.04921
Time,s,18,0.04273,0.04365,0.09168,0.08233
Time,s,19,0.05789,0.05371,0.09167,0.09236
Time,s,20,0.04931,0.06438,0.09098,0.09552
Time,s,21,0.05423,0.0551,0.09542,0.1009
Time,s,22,0.07356,0.04741,0.09867,0.10871
Time,s,23,0.08849,0.04706,0.09929,0.10775
Time,s,24,0.08548,0.05066,0.1005,0.11153
Time,s,25,0.08458,0.05191,0.10333,0.10256
Time,s,26,0.08079,0.04376,0.0935,0.07439
Time,s,27,0.08071,0.04307,0.07494,0.05932
Time,s,28,0.08425,0.04292,0.06785,0.05871
Time,s,29,0.08119,0.04163,0.06807,0.05364
Time,s,30,0.07972,0.04668,0.05912,0.05321
Time,s,31,0.08293,0.06282,0.05282,0.04884
Time,s,32,0.07245,0.07246,0.05139,0.04848
Time,s,33,0.0532,0.05613,0.0491,0.04789
Time,s,34,0.04867,0.04759,0.05366,0.05195
Time,s,35,0.04427,0.04305,0.05052,0.0469
Time,s,36,0.04403,0.04278,0.04853,0.04782
Time,s,37,0.04245,0.04257,0.04961,0.0511
Time,s,38,0.04252,0.04324,0.0499,0.05157
Time,s,39,0.05454,0.0423,0.04842,0.04773
Time,s,40,0.05334,0.04071,0.04554,0.04701
Time,s,41,0.04611,0.04425,0.04538,0.0485
Time,s,42,0.04678,0.04682,0.04584,0.04703
Time,s,43,0.05147,0.0619,0.047,0.07512
Time,s,44,0.04398,0.05198,0.04971,0.07294
Time,s,45,0.04177,0.04749,0.05151,0.05818
Time,s,46,0.04077,0.0453,0.05045,0.05029
Time,s,47,0.04201,0.04257,0.06417,0.04958
Time,s,48,0.03995,0.04175,0.06166,0.04902
Time,s,49,0.04112,0.07607,0.05959,0.05011
Time,s,50,0.04157,0.08991,0.06118,0.0523
Time,s,51,0.03882,0.08737,0.07057,0.08317
Time,s,52,0.04226,0.09109,0.09308,0.10266
Time,s,53,0.03957,0.0893,0.08974,0.09932
Time,s,54,0.04072,0.0872,0.09642,0.11087
Time,s,55,0.04132,0.06689,0.09934,0.10061
Time,s,56,0.04118,0.05231,0.10384,0.09813
Time,s,57,0.04264,0.04955,0.09857,0.10563
Time,s,58,0.05552,0.04794,0.0906,0.07875
Time,s,59,0.0486,0.04422,0.06895,0.05728
Time,s,60,0.04759,0.05539,0.06271,0.05185
Time,s,61,0.04956,0.06198,0.06843,0.05251
Time,s,62,0.06974,0.04872,0.05709,0.0521
Time,s,63,0.08375,0.04555,0.05302,0.0501
Time,s,64,0.08053,0.04356,0.05036,0.04864
Time,s,65,0.07663,0.042,0.04726,0.04859
Time,s,66,0.07488,0.04299,0.04941,0.04906
Time,s,67,0.07581,0.04186,0.04614,0.04657
Time,s,68,0.07917,0.04222,0.04621,0.04896
Time,s,69,0.08091,0.04407,0.04646,0.05545
Time,s,70,0.0789,0.04432,0.05228,0.05367
Time,s,71,0.05692,0.0535,0.04943,0.04827
Time,s,72,0.05261,0.06175,0.04953,0.04857
Time,s,73,0.04939,0.05178,0.04731,0.04736
Time,s,74,0.05366,0.04628,0.04769,0.04781
Time,s,75,0.04474,0.04267,0.04626,0.0486
Time,s,76,0.04315,0.04239,0.04554,0.04803
Time,s,77,0.0416,0.04166,0.04563,0.05812
Time,s,78,0.04564,0.04555,0.04848,0.07563
Time,s,79,0.04291,0.04411,0.05033,0.06739
Time,s,80,0.04062,0.04215,0.04819,0.05904
Time,s,81,0.05526,0.04267,0.05035,0.05691
Time,s,82,0.04955,0.04193,0.05168,0.05186
Time,s,83,0.04258,0.04054,0.06245,0.05048
Time,s,84,0.04173,0.0599,0.05385,0.04848
Time,s,85,0.04097,0.05507,0.0643,0.07167
Time,s,86,0.04169,0.04853,0.07245,0.0999
Time,s,87,0.03972,0.04554,0.08063,0.10455
Time,s,88,0.03979,0.04673,0.08728,0.10318
Time,s,89,0.04038,0.05668,0.09196,0.10303
Time,s,90,0.04171,0.0765,0.09967,0.10611
Time,s,91,0.03881,0.07343,0.0992,0.08008
Time,s,92,0.04,0.06865,0.10137,0.07186
Time,s,93,0.04077,0.07462,0.09623,0.06006
Time,s,94,0.0394,0.07782,0.07039,0.05345
Time,s,95,0.03988,0.07839,0.05975,0.05005
Time,s,96,0.03923,0.07552,0.05352,0.04836
Time,s,97,0.04022,0.05994,0.06595,0.05011
Time,s,98,0.04159,0.05073,0.06002,0.05204
Time,s,99,0.04012,0.04434,0.05272,0.04956
Time,s,100,0.04867,0.04321,0.04999,0.05254
Time,s,101,0.05207,0.04476,0.05158,0.05408
Time,s,102,0.05007,0.04409,0.05039,0.05021
Time,s,103,0.04719,0.05954,0.04795,0.04796
Time,s,104,0.05694,0.05261,0.0469,0.04845
Time,s,105,0.07259,0.04679,0.04842,0.05655
Time,s,106,0.0798,0.04345,0.04688,0.05792
Time,s,107,0.0776,0.04263,0.05007,0.0505
Time,s,108,0.08207,0.04332,0.05047,0.05027
Time,s,109,0.08189,0.04292,0.04782,0.04855
Time,s,110,0.07549,0.0416,0.04982,0.04631
Time,s,111,0.07952,0.04314,0.06498,0.05775
Time,s,112,0.07147,0.04239,0.05399,0.08231
Time,s,113,0.05461,0.0529,0.04919,0.06418
Time,s,114,0.04563,0.05497,0.0462,0.05186
Time,s,115,0.04289,0.04884,0.04711,0.05106
Time,s,116,0.04235,0.04807,0.04814,0.04945
Time,s,117,0.04296,0.04533,0.04784,0.0474
Time,s,118,0.04362,0.04378,0.05482,0.05061
Time,s,119,0.04289,0.04814,0.06442,0.05644
Time,s,120,0.04019,0.05,0.05823,0.0694
Time,s,121,0.04264,0.0437,0.05691,0.10253
Time,s,122,0.04122,0.04123,0.05246,0.10459
Time,s,123,0.04377,0.04369,0.08759,0.10717
Time,s,124,0.04169,0.0417,0.09312,0.10225
Time,s,125,0.04557,0.04187,0.10214,0.10283
Time,s,126,0.05472,0.04407,0.09872,0.08169
Time,s,127,0.04714,0.06018,0.09769,0.07148
Time,s,128,0.0415,0.05275,0.09621,0.05666
Time,s,129,0.04303,0.04907,0.08332,0.05539
Time,s,130,0.04448,0.04472,0.06297,0.06261
Time,s,131,0.04138,0.04289,0.05513,0.0558
Time,s,132,0.04053,0.05311,0.05713,0.05505
Time,s,133,0.04127,0.07418,0.06753,0.05429
Time,s,134,0.04014,0.07363,0.05684,0.04985
Time,s,135,0.04039,0.0702,0.05498,0.04886
Time,s,136,0.04,0.0724,0.05718,0.04912
Time,s,137,0.03974,0.07463,0.0515,0.04989
Time,s,138,0.04162,0.07772,0.05322,0.05098
Time,s,139,0.03973,0.06964,0.0479,0.04867
Time,s,140,0.04109,0.05806,0.04654,0.05178
Time,s,141,0.04185,0.04945,0.04601,0.04832
Time,s,142,0.04066,0.04176,0.04532,0.04683
Time,s,143,0.05697,0.04207,0.0569,0.05001
Time,s,144,0.06252,0.04094,0.04672,0.06824
Time,s,145,0.0484,0.04406,0.04899,0.06689
Time,s,146,0.04265,0.05732,0.04714,0.06286
Time,s,147,0.0469,0.05352,0.04776,0.06531
Time,s,148,0.06864,0.04556,0.04496,0.05218
Time,s,149,0.07768,0.04286,0.04609,0.04971
Time,s,150,0.08512,0.04547,0.04823,0.05131
Time,s,151,0.0808,0.04969,0.04574,0.04981
Time,s,152,0.08047,0.04703,0.04703,0.04964
Time,s,153,0.0783,0.04307,0.04831,0.05048
Time,s,154,0.08103,0.04388,0.06805,0.05659
Time,s,155,0.07834,0.06424,0.07396,0.0934
Time,s,156,0.06027,0.05069,0.06217,0.0999
Time,s,157,0.05043,0.04803,0.05463,0.10655
Time,s,158,0.04326,0.04451,0.07818,0.11215
Time,s,159,0.04025,0.04606,0.09074,0.10716
Time,s,160,0.04001,0.07378,0.09181,0.11802
Time,s,161,0.04002,0.07926,0.09651,0.11019
Time,s,162,0.04551,0.06727,0.09851,0.1235
Time,s,163,0.04224,0.07201,0.1044,0.10247
Time,s,164,0.04092,0.07116,0.09541,0.09887
Time,s,165,0.04188,0.06983,0.07934,0.09397
Time,s,166,0.04885,0.07785,0.07168,0.0885
Time,s,167,0.04963,0.07468,0.07508,0.08982
Time,s,168,0.05503,0.07375,0.07878,0.09234
Time,s,169,0.06072,0.06542,0.06307,0.09247
Time,s,170,0.05588,0.09164,0.05596,0.09136
Time,s,171,0.0492,0.09963,0.08021,0.08643
Time,s,172,0.05009,0.09511,0.09058,0.08243
Time,s,173,0.05251,0.07939,0.07673,0.06371
Time,s,174,0.04239,0.07472,0.07138,0.0543
Time,s,175,0.0414,0.07167,0.07206,0.05416
Time,s,176,0.04036,0.07912,0.07316,0.06032
Time,s,177,0.04006,0.06288,0.07987,0.05261
Time,s,178,0.04361,0.05223,0.08489,0.05237
Time,s,179,0.04082,0.04983,0.075,0.05329
Time,s,180,0.0435,0.05674,0.0582,0.05174
Time,s,181,0.04063,0.05647,0.05012,0.04872
Time,s,182,0.0387,0.05162,0.0559,0.04785
Time,s,183,0.0405,0.04705,0.07229,0.04953
Time,s,184,0.06236,0.04406,0.06404,0.05465
Time,s,185,0.04762,0.0434,0.05959,0.05127
Time,s,186,0.04402,0.04161,0.08056,0.05053
Time,s,187,0.04264,0.04285,0.09595,0.05027
Time,s,188,0.03996,0.04057,0.09482,0.05016
Time,s,189,0.04135,0.05083,0.0985,0.0778
Time,s,190,0.06829,0.0541,0.09894,0.05791
Time,s,191,0.07253,0.05218,0.09664,0.06195
Time,s,192,0.06977,0.05132,0.07522,0.06925
Time,s,193,0.06122,0.04599,0.05872,0.05489
Time,s,194,0.0585,0.04459,0.05509,0.05216
Time,s,195,0.05584,0.04297,0.04937,0.04946
Time,s,196,0.05837,0.04321,0.0513,0.04858
Time,s,197,0.07482,0.04122,0.06395,0.0492
Time,s,198,0.08365,0.04153,0.06098,0.05158
Time,s,199,0.08987,0.04265,0.05285,0.05503
Time,s,200,0.08877,0.04066,0.05002,0.05119
Time,s,201,0.08587,0.04053,0.04935,0.04831
Time,s,202,0.08551,0.04091,0.04859,0.0476
Time,s,203,0.07842,0.04438,0.04647,0.04772
Time,s,204,0.05698,0.09724,0.04979,0.05054
Time,s,205,0.04614,0.09103,0.04518,0.05446
Time,s,206,0.04277,0.07816,0.04548,0.05963
Time,s,207,0.04488,0.07572,0.04711,0.062
Time,s,208,0.05282,0.07753,0.04835,0.05049
Time,s,209,0.04769,0.07303,0.05015,0.05187
Time,s,210,0.04302,0.07221,0.04833,0.05151
Time,s,211,0.03937,0.06597,0.04877,0.04739
Time,s,212,0.03979,0.07986,0.05851,0.08005
Time,s,213,0.04019,0.07842,0.05317,0.06713
Time,s,214,0.04271,0.07106,0.04746,0.0527
Time,s,215,0.03993,0.06841,0.04596,0.05043
Time,s,216,0.03967,0.06513,0.04549,0.04874
Time,s,217,0.03868,0.06096,0.04492,0.0476
Time,s,218,0.0388,0.06135,0.05549,0.05001
Time,s,219,0.03859,0.06525,0.06947,0.04925
Time,s,220,0.03864,0.074,0.06109,0.05304
Time,s,221,0.03943,0.06011,0.05312,0.04925
Time,s,222,0.04051,0.05405,0.05969,0.05021
Time,s,223,0.03947,0.04993,0.09113,0.04983
Time,s,224,0.05919,0.06802,0.08921,0.04931
Time,s,225,0.04717,0.07102,0.0914,0.04887
Time,s,226,0.04087,0.09139,0.09768,0.05061
Time,s,227,0.03952,0.08189,0.08898,0.05221
Time,s,228,0.03975,0.07211,0.06681,0.0511
Time,s,229,0.03957,0.07799,0.05633,0.05278
Time,s,230,0.04927,0.08597,0.05115,0.05229
Time,s,231,0.0716,0.08271,0.04654,0.0481
Time,s,232,0.08728,0.0798,0.05024,0.05107
Time,s,233,0.08193,0.08055,0.04774,0.06225
Time,s,234,0.08236,0.08386,0.05026,0.06605
Time,s,235,0.08998,0.08374,0.06551,0.0536
Time,s,236,0.08107,0.0814,0.06264,0.05097
Time,s,237,0.07715,0.0796,0.05091,0.05226
Time,s,238,0.06672,0.0769,0.05407,0.05809
Time,s,239,0.05269,0.07594,0.05579,0.05244
Time,s,240,0.04687,0.07409,0.04969,0.05203
Time,s,241,0.04316,0.0729,0.04682,0.05134
Time,s,242,0.04258,0.07035,0.04681,0.05126
Time,s,243,0.04014,0.07681,0.04795,0.04865
Time,s,244,0.04203,0.08292,0.04819,0.05065
Time,s,245,0.07624,0.0871,0.04756,0.05006
Time,s,246,0.08523,0.08229,0.04971,0.0485
Time,s,247,0.07747,0.07336,0.04807,0.05241
Time,s,248,0.07324,0.06081,0.04816,0.05308
Time,s,249,0.07349,0.06066,0.04635,0.04856
Time,s,250,0.06558,0.05649,0.04724,0.04801
Time,s,251,0.06026,0.05207,0.04567,0.04746
Time,s,252,0.06202,0.04853,0.0449,0.04717
Time,s,253,0.06808,0.05333,0.04883,0.05101
Time,s,254,0.06415,0.05366,0.04664,0.06035
Time,s,255,0.0556,0.05917,0.04972,0.06389
Time,s,256,0.06671,0.0544,0.06233,0.05089
Time,s,257,0.07649,0.05165,0.06328,0.04916
Time,s,258,0.0971,0.04597,0.05456,0.04954
Time,s,259,0.07285,0.04279,0.04826,0.04715
Time,s,260,0.07314,0.04368,0.05518,0.04832
Time,s,261,0.06732,0.0439,0.09371,0.05031
Time,s,262,0.06699,0.04403,0.08004,0.0497
Time,s,263,0.07291,0.04504,0.06161,0.08319
Time,s,264,0.08076,0.04412,0.05133,0.10704
Time,s,265,0.07905,0.04319,0.0479,0.10083
Time,s,266,0.07518,0.04244,0.05127,0.07239
Time,s,267,0.08029,0.04093,0.04865,0.06513
Time,s,268,0.0605,0.04013,0.04905,0.05537
Time,s,269,0.04716,0.04078,0.0516,0.05083
Time,s,270,0.04341,0.0446,0.0625,0.05188
Time,s,271,0.03966,0.04367,0.05017,0.04836
Time,s,272,0.04064,0.0598,0.04889,0.06148
Time,s,273,0.04124,0.05532,0.0481,0.06679
Time,s,274,0.04045,0.04911,0.0473,0.05205
Time,s,275,0.04177,0.04654,0.05094,0.0504
Time,s,276,0.04797,0.05172,0.06366,0.04819
Time,s,277,0.07314,0.08085,0.05333,0.04866
Time,s,278,0.06341,0.08164,0.04881,0.0491
Time,s,279,0.05524,0.07655,0.04608,0.04672
Time,s,280,0.0518,0.08211,0.04636,0.04809
Time,s,281,0.05067,0.08682,0.04759,0.0569
Time,s,282,0.06203,0.08847,0.04709,0.05262
Time,s,283,0.06825,0.09387,0.04702,0.05317
Time,s,284,0.05926,0.08967,0.04543,0.04906
Time,s,285,0.05765,0.08702,0.04637,0.04742
Time,s,286,0.05498,0.07898,0.04598,0.04753
Time,s,287,0.06013,0.07911,0.0471,0.05067
Time,s,288,0.04757,0.07442,0.04741,0.04949
Time,s,289,0.04319,0.07208,0.04658,0.04966
Time,s,290,0.04089,0.06943,0.04753,0.05022
Time,s,291,0.03973,0.08001,0.04763,0.04863
Time,s,292,0.03906,0.0847,0.049,0.04835
Time,s,293,0.03892,0.09093,0.04682,0.04853
Time,s,294,0.03978,0.08901,0.04883,0.07326
Time,s,295,0.04512,0.09018,0.04967,0.05565
Time,s,296,0.04021,0.08644,0.04687,0.04943
Time,s,297,0.03937,0.09062,0.04591,0.04857
Time,s,298,0.03957,0.08658,0.06233,0.05256
Time,s,299,0.039,0.07639,0.05733,0.05964
Time,s,300,0.06192,0.06178,0.0505,0.05333
Time,s,301,0.0776,0.05979,0.04903,0.04977
Time,s,302,0.05469,0.05537,0.05443,0.05726
