Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,4,4,4
Partitions scanned,,2,3,3,3
Partitions scanned,,3,4,4,4
Partitions scanned,,4,4,4,4
Partitions scanned,,5,4,4,4
Partitions scanned,,6,3,3,3
Partitions scanned,,7,3,3,3
Partitions scanned,,8,4,4,4
Partitions scanned,,9,4,4,4
Partitions scanned,,10,4,4,4
Partitions scanned,,11,3,3,3
Partitions scanned,,12,4,4,4
Partitions scanned,,13,4,4,4
Partitions scanned,,14,4,4,4
Partitions scanned,,15,4,4,4
Partitions scanned,,16,4,4,4
Partitions scanned,,17,4,4,4
Partitions scanned,,18,4,4,4
Partitions scanned,,19,4,4,4
Partitions scanned,,20,4,4,4
Partitions scanned,,21,4,4,4
Partitions scanned,,22,4,4,4
Partitions scanned,,23,4,4,4
Partitions scanned,,24,4,4,4
Partitions scanned,,25,4,4,4
Partitions scanned,,26,3,3,3
Partitions scanned,,27,4,4,4
Partitions scanned,,28,4,4,4
Partitions scanned,,29,4,4,4
Partitions scanned,,30,3,3,3
Partitions scanned,,31,4,4,4
Partitions scanned,,32,4,4,4
Partitions scanned,,33,4,4,4
Partitions scanned,,34,4,4,4
Partitions scanned,,35,3,3,3
Partitions scanned,,36,4,4,4
Partitions scanned,,37,3,3,3
Partitions scanned,,38,4,4,4
Partitions scanned,,39,4,4,4
Partitions scanned,,40,4,4,4
Partitions scanned,,41,4,4,4
Partitions scanned,,42,4,4,4
Partitions scanned,,43,4,4,4
Partitions scanned,,44,4,4,4
Partitions scanned,,45,3,3,3
Partitions scanned,,46,4,4,4
Partitions scanned,,47,4,4,4
Partitions scanned,,48,4,4,4
Partitions scanned,,49,4,4,4
Partitions scanned,,50,4,4,4
Partitions scanned,,51,4,4,4
Partitions scanned,,52,4,4,4
Partitions scanned,,53,4,4,4
Partitions scanned,,54,4,4,4
Partitions scanned,,55,4,4,4
Partitions scanned,,56,4,4,4
Partitions scanned,,57,3,3,3
Partitions scanned,,58,4,4,4
Partitions scanned,,59,4,4,4
Partitions scanned,,60,4,4,4
Partitions scanned,,61,3,3,3
Partitions scanned,,62,4,4,4
Partitions scanned,,63,4,4,4
Partitions scanned,,64,3,3,3
Partitions scanned,,65,4,4,4
Partitions scanned,,66,4,4,4
Partitions scanned,,67,4,4,4
Partitions scanned,,68,3,3,3
Partitions scanned,,69,4,4,4
Partitions scanned,,70,3,3,3
Partitions scanned,,71,4,4,4
Partitions scanned,,72,4,4,4
Partitions scanned,,73,3,3,3
Partitions scanned,,74,3,3,3
Partitions scanned,,75,4,4,4
Partitions scanned,,76,4,4,4
Partitions scanned,,77,4,4,4
Partitions scanned,,78,4,4,4
Partitions scanned,,79,4,4,4
Partitions scanned,,80,4,4,4
Partitions scanned,,81,4,4,4
Partitions scanned,,82,4,4,4
Partitions scanned,,83,4,4,4
Partitions scanned,,84,4,4,4
Partitions scanned,,85,4,4,4
Partitions scanned,,86,4,4,4
Partitions scanned,,87,4,4,4
Partitions scanned,,88,4,4,4
Partitions scanned,,89,4,4,4
Partitions scanned,,90,4,4,4
Partitions scanned,,91,4,4,4
Partitions scanned,,92,4,4,4
Partitions scanned,,93,4,4,4
Partitions scanned,,94,4,4,4
Partitions scanned,,95,4,4,4
Partitions scanned,,96,4,4,4
Partitions scanned,,97,4,4,4
Partitions scanned,,98,4,4,4
Partitions scanned,,99,4,4,4
Partitions scanned,,100,4,4,4
Partitions scanned,,101,4,4,4
Partitions scanned,,102,4,4,4
Partitions scanned,,103,4,4,4
Partitions scanned,,104,4,4,4
Partitions scanned,,105,4,4,4
Partitions scanned,,106,4,4,4
Partitions scanned,,107,4,4,4
Partitions scanned,,108,4,4,4
Partitions scanned,,109,4,4,4
Partitions scanned,,110,3,3,3
Partitions scanned,,111,4,4,4
Partitions scanned,,112,4,4,4
Partitions scanned,,113,3,3,3
Partitions scanned,,114,3,3,3
Partitions scanned,,115,3,3,3
Partitions scanned,,116,4,4,4
Partitions scanned,,117,4,4,4
Partitions scanned,,118,4,4,4
Partitions scanned,,119,4,4,4
Partitions scanned,,120,3,3,3
Partitions scanned,,121,4,4,4
Partitions scanned,,122,4,4,4
Partitions scanned,,123,4,4,4
Partitions scanned,,124,4,4,4
Partitions scanned,,125,4,4,4
Partitions scanned,,126,4,4,4
Partitions scanned,,127,3,3,3
Partitions scanned,,128,4,4,4
Partitions scanned,,129,4,4,4
Partitions scanned,,130,4,4,4
Partitions scanned,,131,4,4,4
Partitions scanned,,132,4,4,4
Partitions scanned,,133,4,4,4
Partitions scanned,,134,4,4,4
Partitions scanned,,135,4,4,4
Partitions scanned,,136,4,4,4
Partitions scanned,,137,3,3,3
Partitions scanned,,138,4,4,4
Partitions scanned,,139,4,4,4
Partitions scanned,,140,4,4,4
Partitions scanned,,141,4,4,4
Partitions scanned,,142,4,4,4
Partitions scanned,,143,4,4,4
Partitions scanned,,144,4,4,4
Partitions scanned,,145,4,4,4
Partitions scanned,,146,4,4,4
Partitions scanned,,147,4,4,4
Partitions scanned,,148,3,3,3
Partitions scanned,,149,4,4,4
Partitions scanned,,150,4,4,4
Partitions scanned,,151,4,4,4
Partitions scanned,,152,4,4,4
Partitions scanned,,153,4,4,4
Partitions scanned,,154,4,4,4
Partitions scanned,,155,4,4,4
Partitions scanned,,156,4,4,4
Partitions scanned,,157,3,3,3
Partitions scanned,,158,4,4,4
Partitions scanned,,159,4,4,4
Partitions scanned,,160,4,4,4
Partitions scanned,,161,4,4,4
Partitions scanned,,162,4,4,4
