Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.10074,0.08509,0.12496,0.12311
Time,s,2,0.09967,0.05769,0.11322,0.12325
Time,s,3,0.10363,0.05053,0.11391,0.11328
Time,s,4,0.09972,0.04809,0.10897,0.10924
Time,s,5,0.0998,0.04351,0.08384,0.07829
Time,s,6,0.08994,0.0414,0.06359,0.07502
Time,s,7,0.08513,0.04151,0.06978,0.06578
Time,s,8,0.08274,0.04162,0.06516,0.05634
Time,s,9,0.05742,0.03978,0.05391,0.05063
Time,s,10,0.04405,0.03797,0.04921,0.04582
Time,s,11,0.04318,0.03708,0.04601,0.0604
Time,s,12,0.05007,0.03768,0.04435,0.05468
Time,s,13,0.04343,0.03755,0.04368,0.0465
Time,s,14,0.03929,0.05268,0.04551,0.04718
Time,s,15,0.03808,0.04665,0.04971,0.04646
Time,s,16,0.03645,0.04087,0.06702,0.04534
Time,s,17,0.04147,0.03805,0.05806,0.04278
Time,s,18,0.04459,0.03697,0.05061,0.04172
Time,s,19,0.04444,0.03803,0.05466,0.04138
Time,s,20,0.039,0.04226,0.05759,0.04486
Time,s,21,0.03627,0.04365,0.04815,0.04759
Time,s,22,0.03636,0.04127,0.04256,0.04697
Time,s,23,0.03571,0.03733,0.04057,0.0548
Time,s,24,0.03582,0.0382,0.03967,0.07062
Time,s,25,0.03618,0.03853,0.04177,0.09618
Time,s,26,0.03712,0.03904,0.04109,0.10036
Time,s,27,0.03855,0.03725,0.04043,0.10496
Time,s,28,0.0367,0.03609,0.0464,0.1015
Time,s,29,0.0368,0.0359,0.06462,0.09939
Time,s,30,0.03636,0.03632,0.05046,0.0995
Time,s,31,0.03794,0.03726,0.04349,0.0842
Time,s,32,0.03652,0.03857,0.0422,0.05868
Time,s,33,0.07314,0.03785,0.06589,0.04815
Time,s,34,0.1095,0.03612,0.08723,0.04372
Time,s,35,0.11185,0.04031,0.09123,0.04282
Time,s,36,0.10061,0.05332,0.09471,0.0426
Time,s,37,0.09384,0.04755,0.09778,0.04376
Time,s,38,0.0993,0.03974,0.09608,0.0462
Time,s,39,0.10735,0.03758,0.09711,0.04482
Time,s,40,0.11208,0.03669,0.08829,0.04244
Time,s,41,0.10993,0.04527,0.06651,0.04271
Time,s,42,0.08781,0.04763,0.0624,0.04261
Time,s,43,0.07575,0.04062,0.06769,0.06045
Time,s,44,0.07089,0.04055,0.0602,0.05979
Time,s,45,0.05564,0.06048,0.05136,0.0479
Time,s,46,0.03888,0.06823,0.04601,0.0466
Time,s,47,0.03818,0.06857,0.04434,0.04694
Time,s,48,0.04219,0.06759,0.04225,0.05393
Time,s,49,0.04982,0.0663,0.04152,0.07323
Time,s,50,0.04289,0.0687,0.04182,0.05104
Time,s,51,0.03825,0.06753,0.04122,0.04522
Time,s,52,0.03721,0.06335,0.04603,0.04371
Time,s,53,0.03663,0.05038,0.04241,0.04452
Time,s,54,0.0483,0.04145,0.04201,0.04645
Time,s,55,0.0459,0.04019,0.04203,0.04312
Time,s,56,0.04434,0.0407,0.05017,0.04215
Time,s,57,0.03894,0.04165,0.05525,0.04297
Time,s,58,0.03723,0.03906,0.0585,0.04285
Time,s,59,0.03896,0.03706,0.05098,0.04306
Time,s,60,0.0416,0.03584,0.04537,0.04531
Time,s,61,0.04109,0.03563,0.04313,0.05603
Time,s,62,0.03671,0.03659,0.04235,0.09421
Time,s,63,0.03845,0.04126,0.04451,0.09743
Time,s,64,0.04202,0.04885,0.04373,0.10492
Time,s,65,0.03874,0.04209,0.04359,0.10446
Time,s,66,0.03705,0.03877,0.05253,0.1033
Time,s,67,0.03609,0.03741,0.05975,0.10383
Time,s,68,0.03589,0.03607,0.04817,0.08936
Time,s,69,0.03594,0.03783,0.04464,0.06364
Time,s,70,0.06177,0.03875,0.04836,0.05242
Time,s,71,0.07107,0.03727,0.08199,0.04557
Time,s,72,0.06696,0.03667,0.084,0.04398
Time,s,73,0.07245,0.03705,0.08686,0.04544
Time,s,74,0.07999,0.03675,0.09692,0.04787
Time,s,75,0.0784,0.03657,0.09484,0.04901
Time,s,76,0.07738,0.03797,0.09534,0.05552
Time,s,77,0.07563,0.03825,0.0939,0.0478
Time,s,78,0.07394,0.03836,0.07821,0.04721
Time,s,79,0.0715,0.0377,0.05793,0.06084
Time,s,80,0.0681,0.03654,0.04627,0.05877
Time,s,81,0.05212,0.03604,0.04686,0.05126
Time,s,82,0.0429,0.03645,0.06292,0.04839
Time,s,83,0.03792,0.03613,0.0505,0.0469
Time,s,84,0.03654,0.05154,0.04462,0.04477
Time,s,85,0.03637,0.04882,0.04336,0.04398
Time,s,86,0.03585,0.04373,0.0441,0.06693
Time,s,87,0.03597,0.03912,0.04214,0.05419
Time,s,88,0.03616,0.03738,0.04036,0.0469
Time,s,89,0.03968,0.0366,0.04041,0.0443
Time,s,90,0.03974,0.03836,0.04081,0.04349
Time,s,91,0.03834,0.03659,0.0425,0.04308
Time,s,92,0.04082,0.04851,0.04405,0.04748
Time,s,93,0.04459,0.04738,0.04142,0.04323
Time,s,94,0.04873,0.05012,0.04206,0.04272
Time,s,95,0.04459,0.06398,0.05628,0.04262
Time,s,96,0.04012,0.06849,0.05248,0.043
Time,s,97,0.03744,0.07405,0.04999,0.04355
Time,s,98,0.03682,0.07091,0.04915,0.04455
Time,s,99,0.0488,0.06629,0.04454,0.0657
Time,s,100,0.04315,0.06383,0.04253,0.09543
Time,s,101,0.04412,0.06763,0.0408,0.10513
Time,s,102,0.03896,0.06039,0.0402,0.10598
