Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.08082,0.0806,0.09323,0.08755
Time,s,2,0.05537,0.05869,0.06448,0.07029
Time,s,3,0.04804,0.05096,0.07083,0.06182
Time,s,4,0.04434,0.04611,0.05832,0.05842
Time,s,5,0.05083,0.04337,0.0502,0.06006
Time,s,6,0.05217,0.04086,0.04552,0.05113
Time,s,7,0.04474,0.03923,0.04508,0.04848
Time,s,8,0.03886,0.03862,0.04538,0.05469
Time,s,9,0.03862,0.03922,0.04675,0.04562
Time,s,10,0.03714,0.04133,0.04422,0.0456
Time,s,11,0.03608,0.03997,0.04117,0.04677
Time,s,12,0.03755,0.03858,0.04289,0.04584
Time,s,13,0.03715,0.03721,0.04189,0.04625
Time,s,14,0.05159,0.03715,0.0411,0.04692
Time,s,15,0.04488,0.04326,0.04388,0.07292
Time,s,16,0.0392,0.04482,0.05168,0.07072
Time,s,17,0.03791,0.04865,0.04653,0.07035
Time,s,18,0.03637,0.07631,0.04139,0.05455
Time,s,19,0.03835,0.08163,0.03995,0.04825
Time,s,20,0.06149,0.07825,0.03938,0.04575
Time,s,21,0.06295,0.07583,0.04043,0.04581
Time,s,22,0.06241,0.06582,0.04141,0.04719
Time,s,23,0.06122,0.06732,0.03965,0.04615
Time,s,24,0.0575,0.07059,0.03953,0.0437
Time,s,25,0.06237,0.07045,0.04004,0.04358
Time,s,26,0.05905,0.06445,0.06014,0.04573
Time,s,27,0.05108,0.05225,0.04908,0.04409
Time,s,28,0.04886,0.0449,0.04355,0.04343
Time,s,29,0.04302,0.03842,0.03947,0.04318
Time,s,30,0.03759,0.03749,0.03935,0.07234
Time,s,31,0.03673,0.0378,0.03884,0.08697
Time,s,32,0.03546,0.05548,0.04253,0.05743
Time,s,33,0.03663,0.04532,0.04095,0.04728
Time,s,34,0.03602,0.04195,0.05098,0.0465
Time,s,35,0.03538,0.03954,0.05437,0.05038
Time,s,36,0.0354,0.0372,0.04363,0.05539
Time,s,37,0.03637,0.0364,0.04119,0.09439
Time,s,38,0.05049,0.03632,0.04316,0.06244
Time,s,39,0.04329,0.03665,0.073,0.05101
Time,s,40,0.0385,0.04041,0.08594,0.04638
Time,s,41,0.03722,0.06815,0.08306,0.04422
Time,s,42,0.03606,0.06414,0.08033,0.04377
Time,s,43,0.03557,0.04692,0.07807,0.04656
Time,s,44,0.03574,0.04047,0.06021,0.04409
Time,s,45,0.03548,0.03732,0.0575,0.04352
Time,s,46,0.03517,0.03676,0.05562,0.04384
Time,s,47,0.03546,0.04008,0.0521,0.04446
Time,s,48,0.03525,0.03961,0.04734,0.04281
Time,s,49,0.03523,0.04247,0.04122,0.04286
Time,s,50,0.03533,0.04241,0.03963,0.04344
Time,s,51,0.03551,0.03821,0.04057,0.04299
Time,s,52,0.03698,0.03755,0.04079,0.05067
Time,s,53,0.0406,0.03646,0.04086,0.0432
Time,s,54,0.04779,0.03604,0.04169,0.04274
Time,s,55,0.04813,0.04491,0.03989,0.04298
Time,s,56,0.04016,0.04783,0.03876,0.04369
Time,s,57,0.03704,0.04181,0.04138,0.04822
Time,s,58,0.03535,0.04062,0.04458,0.04815
Time,s,59,0.03496,0.03814,0.04043,0.05286
Time,s,60,0.03743,0.03696,0.03929,0.06693
Time,s,61,0.03606,0.03849,0.03895,0.05227
Time,s,62,0.03541,0.03872,0.03874,0.04615
Time,s,63,0.03594,0.03829,0.03832,0.04479
Time,s,64,0.03506,0.04898,0.03896,0.0434
Time,s,65,0.03556,0.04879,0.04208,0.04298
Time,s,66,0.03566,0.06139,0.03691,0.04512
Time,s,67,0.04337,0.06924,0.04018,0.04477
Time,s,68,0.04726,0.0795,0.03979,0.0441
Time,s,69,0.03913,0.07604,0.03937,0.04789
Time,s,70,0.03848,0.06343,0.04449,0.05657
Time,s,71,0.04105,0.06105,0.0569,0.04749
Time,s,72,0.04993,0.06555,0.04754,0.04427
Time,s,73,0.06514,0.06408,0.04286,0.04346
Time,s,74,0.05974,0.05437,0.04052,0.04392
Time,s,75,0.06246,0.04519,0.03929,0.04364
Time,s,76,0.06592,0.04106,0.03911,0.04312
Time,s,77,0.06655,0.04041,0.04024,0.04272
Time,s,78,0.06303,0.03917,0.04621,0.04298
Time,s,79,0.04947,0.03723,0.05053,0.04753
Time,s,80,0.0408,0.03623,0.04468,0.04732
Time,s,81,0.03839,0.03692,0.04213,0.04549
Time,s,82,0.03645,0.03721,0.04115,0.05734
Time,s,83,0.03541,0.0362,0.04411,0.06856
Time,s,84,0.03534,0.03792,0.07286,0.05349
Time,s,85,0.03705,0.04966,0.08987,0.04697
Time,s,86,0.03591,0.04048,0.07803,0.04413
Time,s,87,0.03552,0.03762,0.06944,0.04386
Time,s,88,0.03585,0.06664,0.07906,0.04385
Time,s,89,0.03593,0.06238,0.076,0.04357
Time,s,90,0.0364,0.04639,0.0789,0.04592
Time,s,91,0.04108,0.04247,0.07772,0.04713
Time,s,92,0.04879,0.04033,0.06358,0.04428
Time,s,93,0.04095,0.03637,0.05175,0.04509
Time,s,94,0.03653,0.0372,0.04241,0.04418
Time,s,95,0.0364,0.03824,0.04266,0.0439
Time,s,96,0.03592,0.04132,0.041,0.04371
Time,s,97,0.03496,0.03762,0.04306,0.0434
Time,s,98,0.03496,0.04022,0.04541,0.0431
Time,s,99,0.03423,0.03865,0.04106,0.04282
Time,s,100,0.03515,0.03641,0.04,0.04743
Time,s,101,0.03698,0.03717,0.04151,0.04502
Time,s,102,0.03532,0.03801,0.0422,0.04351
Time,s,103,0.03406,0.03935,0.04033,0.04509
Time,s,104,0.0425,0.03705,0.0392,0.05187
Time,s,105,0.04508,0.03644,0.03963,0.06651
Time,s,106,0.04357,0.0373,0.03912,0.0697
Time,s,107,0.03659,0.03708,0.03924,0.05488
Time,s,108,0.03574,0.03624,0.0396,0.04722
Time,s,109,0.03677,0.03587,0.03917,0.04445
Time,s,110,0.0396,0.03725,0.03949,0.04276
Time,s,111,0.04231,0.03884,0.04078,0.04357
Time,s,112,0.03672,0.05181,0.04088,0.04488
Time,s,113,0.03477,0.06768,0.03993,0.04724
Time,s,114,0.03582,0.06599,0.05873,0.04656
Time,s,115,0.03431,0.07098,0.05481,0.04429
Time,s,116,0.03422,0.06465,0.04999,0.04548
Time,s,117,0.03444,0.06543,0.05101,0.04451
Time,s,118,0.03443,0.06924,0.04284,0.04349
Time,s,119,0.03409,0.06753,0.04948,0.04362
Time,s,120,0.04711,0.06326,0.05137,0.04351
Time,s,121,0.04348,0.0536,0.04606,0.04724
Time,s,122,0.03728,0.04237,0.04294,0.04426
Time,s,123,0.03565,0.04074,0.04314,0.0435
Time,s,124,0.03497,0.03746,0.0399,0.04332
Time,s,125,0.03981,0.03639,0.03959,0.04439
Time,s,126,0.05203,0.03661,0.05369,0.0455
Time,s,127,0.06393,0.03713,0.08267,0.04847
Time,s,128,0.05537,0.03696,0.08481,0.05087
Time,s,129,0.05952,0.03649,0.08584,0.06892
Time,s,130,0.05837,0.03626,0.06617,0.05818
Time,s,131,0.05901,0.0372,0.05362,0.04841
Time,s,132,0.05974,0.03738,0.04452,0.04513
Time,s,133,0.05074,0.03671,0.04408,0.04425
Time,s,134,0.04211,0.03682,0.05531,0.04361
Time,s,135,0.03863,0.03904,0.04939,0.04343
