Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Ingestion,s,call_center,0.00862,0.02654,0.02113,0.07812,0.02508,0.06203,0.10436
Ingestion,s,catalog_page,0.03121,0.17573,0.09467,0.10089,0.11449,0.07466,0.05649
Ingestion,s,catalog_returns,14.10753,60.89373,29.65273,27.19381,54.75089,29.11861,25.69567
Ingestion,s,catalog_sales,188.74573,489.51944,225.23532,233.94202,523.9208,242.62822,210.56384
Ingestion,s,customer,4.75612,7.77486,7.54528,6.5535,10.60346,7.01794,5.64643
Ingestion,s,customer_address,2.56564,4.37773,3.33499,3.5147,4.26766,3.63926,2.88768
Ingestion,s,customer_demographics,1.63668,2.47103,1.94774,2.17698,2.82779,2.48601,2.09604
Ingestion,s,date_dim,0.71306,0.82858,0.86218,0.80891,1.01945,1.13787,0.87023
Ingestion,s,household_demographics,0.0096,0.01832,0.00877,0.01196,0.00927,0.00907,0.00922
Ingestion,s,income_band,0.00247,0.01454,0.00245,0.00247,0.00263,0.00265,0.00293
Ingestion,s,inventory,82.93768,107.90074,85.9983,79.73714,125.92142,77.50764,79.01085
Ingestion,s,item,1.59698,1.88296,1.84009,1.69437,2.20135,1.8605,1.78482
Ingestion,s,promotion,0.00996,0.00762,0.00892,0.0146,0.00902,0.00911,0.02252
Ingestion,s,reason,0.00312,0.00249,0.00288,0.00649,0.00291,0.00326,0.01316
Ingestion,s,ship_mode,0.0033,0.00245,0.00259,0.00511,0.00387,0.00254,0.01127
Ingestion,s,store,0.00714,0.00671,0.00766,0.01054,0.00895,0.0073,0.01418
Ingestion,s,store_returns,27.14792,68.61937,31.46828,30.50701,74.79735,32.75565,31.34517
Ingestion,s,store_sales,272.18658,640.89484,285.92365,276.33633,678.3129,297.27896,298.5684
Ingestion,s,time_dim,0.10998,0.18055,0.12466,0.11815,0.15762,0.12431,0.1095
Ingestion,s,warehouse,0.00595,0.00546,0.00571,0.0078,0.005,0.00585,0.00323
Ingestion,s,web_page,0.04721,0.05005,0.04942,0.04607,0.04993,0.04614,0.0432
Ingestion,s,web_returns,8.32867,21.75493,9.30359,8.96067,22.17969,9.19034,8.92087
Ingestion,s,web_sales,89.44008,236.05418,101.09472,91.65764,244.05315,99.55669,94.89922
Ingestion,s,web_site,0.01642,0.00925,0.00491,0.00899,0.01411,0.00723,0.00729
