Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,943,943,943,943,943,943,943
Partitions scanned,,2,6594,6594,6594,6594,6594,6594,6594
Partitions scanned,,3,8799,8799,8799,8799,8799,8799,8799
Partitions scanned,,4,12799,12799,12799,12799,12799,12799,12799
Partitions scanned,,5,12195,12195,12195,12195,12195,12195,12195
Partitions scanned,,6,8890,8890,8890,8890,8890,8890,8890
Partitions scanned,,7,8857,8857,8857,8857,8857,8857,8857
Partitions scanned,,8,8884,8884,8884,8884,8884,8884,8884
Partitions scanned,,9,8790,8790,8790,8790,8790,8790,8790
Partitions scanned,,10,11306,11306,11306,11306,11306,11306,11306
Partitions scanned,,11,11050,11050,11050,11050,11050,11050,11050
Partitions scanned,,12,2206,2206,2206,2206,2206,2206,2206
Partitions scanned,,13,8882,8882,8882,8882,8882,8882,8882
Partitions scanned,,14,13623,13623,13623,13623,13623,13623,13623
Partitions scanned,,15,222,222,222,222,222,222,222
Partitions scanned,,16,483,483,483,483,483,483,483
Partitions scanned,,17,10166,10166,10166,10166,10166,10166,10166
Partitions scanned,,18,1035,1035,1035,1035,1035,1035,1035
Partitions scanned,,19,8891,8891,8891,8891,8891,8891,8891
Partitions scanned,,20,51,51,51,51,51,51,51
Partitions scanned,,21,430,430,430,430,430,430,430
Partitions scanned,,22,2437,2437,2437,2437,2437,2437,2437
Partitions scanned,,23,11098,11098,11098,11098,11098,11098,11098
Partitions scanned,,24,9769,9769,9769,9769,9769,9769,9769
Partitions scanned,,25,10136,10136,10136,10136,10136,10136,10136
Partitions scanned,,26,948,948,948,948,948,948,948
Partitions scanned,,27,8857,8857,8857,8857,8857,8857,8857
Partitions scanned,,28,8789,8789,8789,8789,8789,8789,8789
Partitions scanned,,29,12305,12305,12305,12305,12305,12305,12305
Partitions scanned,,30,314,314,314,314,314,314,314
Partitions scanned,,31,11019,11019,11019,11019,11019,11019,11019
Partitions scanned,,32,135,135,135,135,135,135,135
Partitions scanned,,33,11070,11070,11070,11070,11070,11070,11070
Partitions scanned,,34,8854,8854,8854,8854,8854,8854,8854
Partitions scanned,,35,11629,11629,11629,11629,11629,11629,11629
