Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,18312,18312,18312,73247,18312,18312,73247
Partitions scanned,,2,3086,3086,3086,12333,3086,3086,12333
Partitions scanned,,3,23348,23348,23348,93390,23348,23348,93390
Partitions scanned,,4,22890,22890,22890,91558,22890,22890,91558
Partitions scanned,,5,23381,23381,23381,93515,23381,23381,93515
Partitions scanned,,6,18312,18312,18312,73247,18312,18312,73247
Partitions scanned,,7,23380,23380,23380,93514,23380,23380,93514
Partitions scanned,,8,23992,23992,23992,95957,23992,23992,95957
Partitions scanned,,9,25975,25975,25975,103890,25975,25975,103890
Partitions scanned,,10,23349,23349,23349,93391,23349,23349,93391
Partitions scanned,,11,2474,2474,2474,9890,2474,2474,9890
Partitions scanned,,12,22890,22890,22890,91558,22890,22890,91558
Partitions scanned,,13,5036,5036,5036,20143,5036,5036,20143
Partitions scanned,,14,18923,18923,18923,75689,18923,18923,75689
Partitions scanned,,15,18313,18313,18313,73248,18313,18313,73248
Partitions scanned,,16,3084,3084,3084,12331,3084,3084,12331
Partitions scanned,,17,18923,18923,18923,75689,18923,18923,75689
Partitions scanned,,18,23348,23348,23348,93390,23348,23348,93390
Partitions scanned,,19,18923,18923,18923,75689,18923,18923,75689
Partitions scanned,,20,21397,21397,21397,85579,21397,21397,85579
Partitions scanned,,21,22922,22922,22922,91682,22922,22922,91682
Partitions scanned,,22,5036,5036,5036,20143,5036,5036,20143
