Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,customer,760448,17296536,6610048,5134124,162074136,59256448,5134124
Max Size,B,customer,208,8256,1808,596,80256,16208,596
Size,B,lineitem,60939008,428623888,529700608,489283280,3197247088,4748555008,489283280
Max Size,B,lineitem,208,8256,1808,1136,80256,16208,1136
Size,B,nation,0,0,0,0,0,0,0
Max Size,B,nation,0,0,0,0,0,0,0
Size,B,orders,8568144,112374504,74476944,55735640,1002143304,667656144,55735640
Max Size,B,orders,208,8256,1808,528,80256,16208,528
Size,B,part,1141920,21657440,9925920,15075616,129505440,88981920,31772056
Max Size,B,part,208,8256,1808,2016,80256,16208,7120
Size,B,partsupp,2538640,38274880,22066640,13671000,354628480,197818640,13671000
Max Size,B,partsupp,208,8256,1808,280,80256,16208,280
Size,B,region,0,0,0,0,0,0,0
Max Size,B,region,0,0,0,0,0,0,0
Size,B,supplier,43680,1115760,379680,277672,10619760,3403680,277672
Max Size,B,supplier,208,8256,1808,596,80256,16208,596
