Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,2.93001,3.12542,3.03474,3.46131
Time,s,2,2.13344,2.09802,2.13209,2.13143
Time,s,3,2.03255,2.08505,2.03884,2.0432
Time,s,4,2.01202,2.13371,2.03501,2.19745
Time,s,5,1.98796,2.16106,2.44218,2.07578
Time,s,6,2.22806,2.08929,2.02631,2.0619
Time,s,7,1.9895,2.08424,2.07058,2.04656
Time,s,8,2.25634,2.08399,2.01091,2.02439
Time,s,9,2.12583,2.2504,2.0342,2.06118
Time,s,10,2.16185,2.10348,2.01607,2.05085
Time,s,11,2.07029,2.07641,2.33705,2.04365
Time,s,12,2.02307,2.08382,2.03491,2.18206
Time,s,13,1.99771,2.07498,2.0129,2.04773
Time,s,14,1.99425,2.07957,2.17969,2.05555
Time,s,15,2.01078,2.13161,2.07272,2.08721
Time,s,16,2.14642,2.84897,2.24611,2.04681
Time,s,17,1.99606,2.14818,2.19771,2.09617
Time,s,18,1.98799,2.05603,2.06438,2.03729
Time,s,19,2.00435,2.06475,2.04751,2.06152
Time,s,20,2.08436,2.08743,2.06278,2.01474
Time,s,21,2.03898,2.07813,2.0544,2.0657
Time,s,22,2.04017,2.05222,2.0657,2.05975
Time,s,23,2.00358,2.06537,2.0036,2.09184
Time,s,24,2.00802,2.08777,1.99711,2.21012
Time,s,25,2.02847,2.39288,2.01564,2.03267
Time,s,26,1.99766,2.10506,1.99987,2.0413
Time,s,27,2.02358,2.16953,2.0178,2.07966
Time,s,28,2.03894,2.06932,2.041,2.1116
Time,s,29,2.01647,2.06284,2.05124,2.05706
Time,s,30,2.04673,2.08755,2.09559,2.02208
Time,s,31,1.99595,2.23076,2.06667,2.02564
Time,s,32,1.98626,2.09928,2.05391,2.0501
Time,s,33,2.01865,2.07344,2.03635,2.04271
Time,s,34,1.97465,2.09017,2.04724,2.05044
Time,s,35,1.9733,2.10685,2.1991,2.05487
Time,s,36,2.09915,2.08249,2.00741,2.05961
Time,s,37,2.36622,2.09644,2.00705,2.08413
Time,s,38,1.98357,2.09836,2.15301,2.29482
Time,s,39,2.01619,2.38604,2.00011,2.0717
Time,s,40,2.33141,2.05603,2.09372,2.05677
Time,s,41,2.1888,2.06974,2.04418,2.0521
Time,s,42,2.02671,2.06178,2.01891,2.02977
Time,s,43,2.26096,2.07879,1.99953,2.03687
Time,s,44,2.02522,2.13101,2.04174,2.03708
Time,s,45,2.03583,2.07711,2.10009,2.04117
Time,s,46,2.04253,2.09877,2.07458,2.08297
Time,s,47,2.04465,2.09358,2.06702,2.24376
Time,s,48,2.0028,2.06982,2.10943,2.0319
Time,s,49,1.99877,2.06935,2.0403,2.14183
Time,s,50,2.01154,2.13131,2.03278,2.0716
Time,s,51,2.06151,2.18455,2.02389,2.05062
Time,s,52,2.07594,2.15225,2.01308,2.06086
Time,s,53,2.00947,2.14693,2.00828,2.02298
Time,s,54,2.39982,2.13496,2.03785,2.14541
Time,s,55,1.98817,2.08721,2.0416,2.33572
Time,s,56,1.95812,2.08385,2.00776,2.17738
Time,s,57,2.01966,2.47419,2.00999,2.08831
Time,s,58,2.04152,2.08599,2.04259,2.3357
Time,s,59,2.1288,2.05693,2.0226,2.09548
Time,s,60,2.005,2.08012,2.10744,2.23092
Time,s,61,2.03875,2.09781,2.01624,2.06912
Time,s,62,1.99243,2.07622,2.04349,2.05215
Time,s,63,2.06077,2.07955,2.06347,2.08398
Time,s,64,1.96647,2.07644,2.03393,2.06626
Time,s,65,1.9954,2.43599,2.03449,2.07259
Time,s,66,2.01846,2.09087,2.02405,2.08446
Time,s,67,1.9878,2.07412,2.01877,2.06593
Time,s,68,1.99889,2.0694,2.20445,2.08454
Time,s,69,1.99245,2.07022,2.0301,2.05576
Time,s,70,2.04749,2.09517,2.03004,2.09112
Time,s,71,1.9805,2.06566,2.00355,2.03029
Time,s,72,2.00785,2.0643,2.01509,2.03547
Time,s,73,2.00262,2.06739,2.12326,2.06692
Time,s,74,2.01626,2.07757,2.0271,2.06921
Time,s,75,2.00565,2.05886,2.09034,2.07374
Time,s,76,2.09384,2.16522,2.14149,2.05096
Time,s,77,2.01433,2.12342,2.10812,2.03394
Time,s,78,1.9931,2.19719,2.0912,2.04779
Time,s,79,1.98588,2.35659,2.01214,2.23317
Time,s,80,1.97824,2.05909,2.1276,2.05323
Time,s,81,1.98086,2.07741,2.00847,2.29852
Time,s,82,1.97494,2.12205,2.23908,2.01605
Time,s,83,2.191,2.29438,2.16609,2.09223
Time,s,84,1.96202,2.05556,2.02493,2.15575
Time,s,85,2.00571,2.05861,2.00652,2.09268
Time,s,86,2.02077,2.1746,2.01828,2.07958
Time,s,87,1.99589,2.05329,2.01215,2.06651
Time,s,88,2.02323,2.07279,1.98403,2.09063
Time,s,89,2.03195,2.07651,2.6869,2.07528
Time,s,90,2.27832,2.07356,2.02961,2.06967
Time,s,91,2.01157,2.11885,2.08528,2.05252
Time,s,92,2.05047,2.06326,2.0355,2.05192
Time,s,93,2.00549,2.23302,2.04558,2.27942
Time,s,94,1.97826,2.05315,2.1671,2.02128
Time,s,95,2.03356,2.10812,2.0434,2.05036
Time,s,96,2.00162,2.06149,2.01859,2.01833
Time,s,97,1.99349,2.07479,2.0073,2.0099
Time,s,98,1.99804,2.33833,2.01994,2.02488
Time,s,99,2.00137,2.07311,2.04478,2.03796
Time,s,100,2.0017,2.07539,2.01794,2.01918
Time,s,101,2.01379,2.09941,2.02622,2.03025
Time,s,102,2.02735,2.08015,2.28918,2.05598
Time,s,103,1.98486,2.08088,2.09247,2.05502
Time,s,104,2.01487,2.08064,2.01001,2.22435
Time,s,105,2.0435,2.10595,2.02176,2.0872
Time,s,106,2.09815,2.07371,2.36789,2.11733
Time,s,107,2.01112,2.07737,2.03428,2.07813
Time,s,108,2.0314,2.09089,2.05452,2.04523
Time,s,109,2.00748,2.08279,2.02238,2.16687
Time,s,110,2.04017,2.07861,2.02231,2.05749
Time,s,111,2.37423,2.15047,2.1134,2.27912
Time,s,112,1.99169,2.08869,2.03285,2.05302
Time,s,113,2.01018,2.12068,2.01858,2.05791
Time,s,114,2.00595,2.07741,2.59009,2.02902
Time,s,115,1.9901,2.18482,2.11317,2.04433
Time,s,116,2.35455,2.15517,2.01862,2.03404
Time,s,117,1.98138,2.08441,1.9982,2.01688
Time,s,118,1.99629,2.07235,1.98241,2.01152
Time,s,119,2.01444,2.10608,2.02982,2.01124
Time,s,120,2.25804,2.09704,2.01337,2.04728
Time,s,121,2.12901,2.10724,2.02894,2.04853
Time,s,122,2.01527,2.0758,2.06235,2.03433
Time,s,123,2.01515,2.29289,2.05291,2.04491
Time,s,124,2.025,2.11954,2.08382,2.07515
Time,s,125,2.05686,2.07719,2.06437,2.02731
Time,s,126,2.02109,2.09825,2.04118,2.16919
Time,s,127,1.99767,2.14374,2.02822,2.0445
Time,s,128,1.99282,2.09597,1.99916,2.0591
Time,s,129,1.98733,2.07816,2.00027,2.02825
Time,s,130,2.03243,2.14181,2.05333,2.24318
Time,s,131,2.04423,2.09395,1.99815,2.06634
Time,s,132,2.01191,2.10437,2.00086,2.19194
Time,s,133,1.99554,2.21947,2.10805,2.03847
Time,s,134,2.00439,2.11293,2.05393,2.0776
Time,s,135,2.02339,2.07515,2.02181,2.08069
Time,s,136,2.00588,2.84642,2.08278,2.07579
Time,s,137,2.02873,2.07907,2.04373,2.08571
Time,s,138,2.001,2.35579,2.04606,2.03845
Time,s,139,2.03415,2.09189,2.05382,2.02633
Time,s,140,2.04305,2.1021,2.06486,2.03388
Time,s,141,2.00587,2.06367,2.07929,2.03769
Time,s,142,1.97932,2.06454,2.08417,2.07235
Time,s,143,2.0639,2.08932,2.10473,2.07924
Time,s,144,2.31005,2.08609,2.02798,2.08002
Time,s,145,1.99323,2.09355,2.00911,2.05928
Time,s,146,2.07427,2.36314,2.00004,2.29638
Time,s,147,2.00952,2.20095,2.1489,2.05845
Time,s,148,2.00224,2.11024,2.02996,2.05926
Time,s,149,1.97004,2.06128,1.99979,2.09577
Time,s,150,1.99435,2.08452,2.03944,2.0731
Time,s,151,2.04691,2.0812,1.99173,2.08133
Time,s,152,2.07522,2.08171,2.04398,2.04921
Time,s,153,2.06994,2.08629,2.04054,2.0758
Time,s,154,2.01867,2.22257,2.06641,2.28564
Time,s,155,2.03119,2.28228,2.14845,2.0347
Time,s,156,2.02727,2.08478,2.0409,2.06176
Time,s,157,2.02618,2.10047,2.04751,2.06774
Time,s,158,2.02807,2.0856,2.0239,2.03965
Time,s,159,2.00272,2.31642,2.05195,2.25285
Time,s,160,2.01325,2.11207,2.0125,2.05673
Time,s,161,2.00139,2.11,2.00189,2.03526
Time,s,162,1.98279,2.0855,2.00805,2.01805
Time,s,163,2.01503,2.0876,2.12111,2.03343
Time,s,164,2.03232,2.11553,2.01158,2.07835
Time,s,165,1.97984,2.33927,2.0029,2.07709
Time,s,166,2.00851,2.0974,2.01526,2.31157
Time,s,167,2.02511,2.09408,2.06214,2.07887
Time,s,168,2.05908,2.09089,2.19621,2.04778
Time,s,169,2.01743,2.28038,2.02412,2.00441
Time,s,170,2.03049,2.08695,2.00821,2.08853
Time,s,171,2.10346,2.07287,2.06432,2.02573
Time,s,172,2.38365,2.244,2.08546,2.04325
Time,s,173,2.06991,2.06433,2.05024,2.04267
Time,s,174,2.03228,2.07719,2.03658,2.02627
Time,s,175,1.98408,2.0812,2.01924,2.09551
Time,s,176,2.00363,2.09647,2.06514,2.12281
Time,s,177,2.51706,2.09997,2.02416,2.07301
Time,s,178,1.99905,2.10779,2.04008,2.09751
Time,s,179,1.98343,2.09975,2.01428,2.02848
Time,s,180,1.99669,2.07622,2.02421,2.08562
Time,s,181,1.97174,2.07635,1.99936,2.07059
Time,s,182,2.01711,2.07067,2.03008,2.05453
Time,s,183,1.98177,2.09679,1.99971,2.08618
Time,s,184,2.01767,2.08651,2.04744,2.0995
Time,s,185,2.33078,2.07623,2.0645,2.13934
Time,s,186,2.02812,2.08391,2.10012,2.00761
Time,s,187,1.99982,2.09386,2.19577,2.02997
Time,s,188,2.06686,2.07647,2.03514,2.02355
Time,s,189,2.0025,2.07321,2.0044,2.03932
Time,s,190,1.96452,2.07262,2.0135,2.0284
Time,s,191,1.97078,2.2952,2.05988,2.04563
Time,s,192,2.01099,2.10779,2.03766,2.03771
Time,s,193,2.0151,2.07249,2.00756,2.04271
Time,s,194,1.97111,2.09552,2.03966,2.03232
Time,s,195,2.00157,2.10653,2.00136,2.10341
Time,s,196,1.96732,2.07838,2.00031,2.08182
Time,s,197,2.33701,2.08103,1.99902,2.09532
Time,s,198,2.27786,2.10004,2.02954,2.1219
Time,s,199,2.2678,2.09786,2.32117,2.07213
Time,s,200,2.04846,2.08054,2.00882,2.53798
Time,s,201,2.0014,2.07559,2.03487,2.2265
