Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,122071,114421,78588
Partitions scanned,,2,122071,114267,78448
Partitions scanned,,3,122071,114432,78438
Partitions scanned,,4,122071,114307,78577
Partitions scanned,,5,122071,114372,78815
Partitions scanned,,6,122071,114318,78638
Partitions scanned,,7,122071,114288,78601
Partitions scanned,,8,122071,114375,78849
Partitions scanned,,9,122071,114210,78595
Partitions scanned,,10,122071,114340,78617
Partitions scanned,,11,122071,114375,79120
Partitions scanned,,12,122071,114306,78530
Partitions scanned,,13,122071,114452,78833
Partitions scanned,,14,122071,114478,78695
Partitions scanned,,15,122071,114389,78552
Partitions scanned,,16,122071,114402,78797
Partitions scanned,,17,122071,114311,78699
Partitions scanned,,18,122071,114242,78412
Partitions scanned,,19,122071,114351,78654
Partitions scanned,,20,122071,114367,78582
Partitions scanned,,21,122071,114299,78440
Partitions scanned,,22,122071,114338,78897
Partitions scanned,,23,122071,114397,78622
Partitions scanned,,24,122071,114400,78799
Partitions scanned,,25,122071,114541,78671
Partitions scanned,,26,122071,114395,78777
Partitions scanned,,27,122071,114430,78780
Partitions scanned,,28,122071,114473,78571
Partitions scanned,,29,122071,114396,78621
Partitions scanned,,30,122071,114279,78756
Partitions scanned,,31,122071,114279,78301
Partitions scanned,,32,122071,114376,78703
Partitions scanned,,33,122071,114327,78737
Partitions scanned,,34,122071,114434,78778
Partitions scanned,,35,122071,114371,78636
Partitions scanned,,36,122071,114320,78641
Partitions scanned,,37,122071,114311,78745
Partitions scanned,,38,122071,114235,78574
Partitions scanned,,39,122071,114429,78595
Partitions scanned,,40,122071,114343,78797
Partitions scanned,,41,122071,114421,78674
Partitions scanned,,42,122071,114224,78680
Partitions scanned,,43,122071,114333,78808
Partitions scanned,,44,122071,114322,78909
Partitions scanned,,45,122071,114477,78618
Partitions scanned,,46,122071,114336,78782
Partitions scanned,,47,122071,114302,78698
Partitions scanned,,48,122071,114548,78720
Partitions scanned,,49,122071,114397,78444
Partitions scanned,,50,122071,114426,78424
Partitions scanned,,51,122071,114566,78488
Partitions scanned,,52,122071,114374,78720
Partitions scanned,,53,122071,114452,78631
Partitions scanned,,54,122071,114467,78669
Partitions scanned,,55,122071,114327,78639
Partitions scanned,,56,122071,114375,78651
Partitions scanned,,57,122071,114332,78527
Partitions scanned,,58,122071,114360,78645
Partitions scanned,,59,122071,114387,78509
Partitions scanned,,60,122071,114198,78666
Partitions scanned,,61,122071,114375,78505
Partitions scanned,,62,122071,114320,78663
Partitions scanned,,63,122071,114387,78514
Partitions scanned,,64,122071,114356,78464
Partitions scanned,,65,122071,114376,78557
Partitions scanned,,66,122071,114272,78912
Partitions scanned,,67,122071,114301,78560
Partitions scanned,,68,122071,114378,78562
Partitions scanned,,69,122071,114350,78580
Partitions scanned,,70,122071,114417,78655
Partitions scanned,,71,122071,114347,78603
Partitions scanned,,72,122071,114310,78637
Partitions scanned,,73,122071,114460,78382
Partitions scanned,,74,122071,114410,78609
Partitions scanned,,75,122071,114370,78662
Partitions scanned,,76,122071,114349,78556
Partitions scanned,,77,122071,114442,78803
Partitions scanned,,78,122071,114580,78949
Partitions scanned,,79,122071,114493,78910
Partitions scanned,,80,122071,114543,78910
Partitions scanned,,81,122071,114317,78574
Partitions scanned,,82,122071,114353,78610
Partitions scanned,,83,122071,114467,78949
Partitions scanned,,84,122071,114187,78590
Partitions scanned,,85,122071,114325,78604
Partitions scanned,,86,122071,114320,78411
Partitions scanned,,87,122071,114177,78364
Partitions scanned,,88,122071,114387,78757
Partitions scanned,,89,122071,114377,78695
Partitions scanned,,90,122071,114383,78700
Partitions scanned,,91,122071,114420,78585
Partitions scanned,,92,122071,114230,78640
Partitions scanned,,93,122071,114344,78291
Partitions scanned,,94,122071,114374,78957
Partitions scanned,,95,122071,114255,78603
Partitions scanned,,96,122071,114297,78525
Partitions scanned,,97,122071,114469,78899
Partitions scanned,,98,122071,114384,78890
Partitions scanned,,99,122071,114350,78792
Partitions scanned,,100,122071,114351,78800
Partitions scanned,,101,122071,114349,78817
Partitions scanned,,102,122071,114419,79121
Partitions scanned,,103,122071,114501,78964
Partitions scanned,,104,122071,114453,78690
Partitions scanned,,105,122071,114467,78656
Partitions scanned,,106,122071,114534,78590
Partitions scanned,,107,122071,114297,78534
Partitions scanned,,108,122071,114278,78693
Partitions scanned,,109,122071,114273,78717
Partitions scanned,,110,122071,114376,78716
Partitions scanned,,111,122071,114411,78921
Partitions scanned,,112,122071,114338,78885
Partitions scanned,,113,122071,114544,78833
Partitions scanned,,114,122071,114404,78604
Partitions scanned,,115,122071,114388,78584
Partitions scanned,,116,122071,114172,78719
Partitions scanned,,117,122071,114335,78324
Partitions scanned,,118,122071,114307,78671
Partitions scanned,,119,122071,114445,78903
Partitions scanned,,120,122071,114485,78966
Partitions scanned,,121,122071,114453,78814
Partitions scanned,,122,122071,114274,78798
Partitions scanned,,123,122071,114276,78591
Partitions scanned,,124,122071,114433,78939
Partitions scanned,,125,122071,114282,78657
Partitions scanned,,126,122071,114410,78751
Partitions scanned,,127,122071,114329,78710
Partitions scanned,,128,122071,114336,78772
Partitions scanned,,129,122071,114271,78560
Partitions scanned,,130,122071,114375,78622
Partitions scanned,,131,122071,114390,78329
Partitions scanned,,132,122071,114427,78366
Partitions scanned,,133,122071,114365,78547
Partitions scanned,,134,122071,114282,78532
Partitions scanned,,135,122071,114373,78736
Partitions scanned,,136,122071,114382,78992
Partitions scanned,,137,122071,114449,78565
Partitions scanned,,138,122071,114440,78743
Partitions scanned,,139,122071,114275,78882
Partitions scanned,,140,122071,114384,78972
Partitions scanned,,141,122071,114311,78663
Partitions scanned,,142,122071,114292,78528
Partitions scanned,,143,122071,114349,78636
Partitions scanned,,144,122071,114244,78786
Partitions scanned,,145,122071,114250,78760
Partitions scanned,,146,122071,114179,78636
Partitions scanned,,147,122071,114384,78958
Partitions scanned,,148,122071,114410,79062
Partitions scanned,,149,122071,114369,78711
Partitions scanned,,150,122071,114278,78614
Partitions scanned,,151,122071,114560,79087
Partitions scanned,,152,122071,114361,78530
Partitions scanned,,153,122071,114418,78645
Partitions scanned,,154,122071,114324,78215
Partitions scanned,,155,122071,114438,78810
Partitions scanned,,156,122071,114414,78659
Partitions scanned,,157,122071,114469,78991
Partitions scanned,,158,122071,114304,78651
Partitions scanned,,159,122071,114271,78711
Partitions scanned,,160,122071,114295,78374
Partitions scanned,,161,122071,114399,78649
Partitions scanned,,162,122071,114344,78728
Partitions scanned,,163,122071,114403,78851
Partitions scanned,,164,122071,114455,78732
Partitions scanned,,165,122071,114237,78985
Partitions scanned,,166,122071,114275,78718
Partitions scanned,,167,122071,114348,78586
Partitions scanned,,168,122071,114379,78722
Partitions scanned,,169,122071,114377,78690
Partitions scanned,,170,122071,114405,78687
Partitions scanned,,171,122071,114173,78670
Partitions scanned,,172,122071,114426,78827
Partitions scanned,,173,122071,114481,79100
Partitions scanned,,174,122071,114288,78410
Partitions scanned,,175,122071,114301,78617
Partitions scanned,,176,122071,114282,78655
Partitions scanned,,177,122071,114288,78744
Partitions scanned,,178,122071,114446,78790
Partitions scanned,,179,122071,114384,78539
Partitions scanned,,180,122071,114397,78510
Partitions scanned,,181,122071,114352,78474
Partitions scanned,,182,122071,114444,79301
Partitions scanned,,183,122071,114331,78554
Partitions scanned,,184,122071,114329,78621
Partitions scanned,,185,122071,114539,78524
Partitions scanned,,186,122071,114340,78815
Partitions scanned,,187,122071,114244,78598
Partitions scanned,,188,122071,114423,78463
Partitions scanned,,189,122071,114293,78687
Partitions scanned,,190,122071,114336,78630
Partitions scanned,,191,122071,114531,78780
Partitions scanned,,192,122071,114362,78531
Partitions scanned,,193,122071,114311,79011
Partitions scanned,,194,122071,114315,78614
Partitions scanned,,195,122071,114333,78578
Partitions scanned,,196,122071,114287,78904
Partitions scanned,,197,122071,114303,78920
Partitions scanned,,198,122071,114244,78520
Partitions scanned,,199,122071,114469,78995
Partitions scanned,,200,122071,114559,78991
Partitions scanned,,201,122071,114210,78860
Partitions scanned,,202,122071,114362,78599
Partitions scanned,,203,122071,114349,78360
Partitions scanned,,204,122071,114220,78397
Partitions scanned,,205,122071,114279,78448
Partitions scanned,,206,122071,114407,78764
Partitions scanned,,207,122071,114381,78539
Partitions scanned,,208,122071,114416,78734
Partitions scanned,,209,122071,114351,78758
Partitions scanned,,210,122071,114229,78445
Partitions scanned,,211,122071,114108,78248
Partitions scanned,,212,122071,114375,78812
Partitions scanned,,213,122071,114379,78912
Partitions scanned,,214,122071,114183,78790
Partitions scanned,,215,122071,114141,78303
Partitions scanned,,216,122071,114334,78897
Partitions scanned,,217,122071,114409,78508
Partitions scanned,,218,122071,114270,78808
Partitions scanned,,219,122071,114397,78556
Partitions scanned,,220,122071,114287,78622
Partitions scanned,,221,122071,114313,78617
Partitions scanned,,222,122071,114327,78431
Partitions scanned,,223,122071,114490,78642
Partitions scanned,,224,122071,114366,78686
Partitions scanned,,225,122071,114374,78627
Partitions scanned,,226,122071,114350,78653
Partitions scanned,,227,122071,114348,78597
Partitions scanned,,228,122071,114555,78733
Partitions scanned,,229,122071,114388,78673
Partitions scanned,,230,122071,114250,78781
Partitions scanned,,231,122071,114332,78577
Partitions scanned,,232,122071,114356,78608
Partitions scanned,,233,122071,114401,78742
Partitions scanned,,234,122071,114302,78320
Partitions scanned,,235,122071,114349,78711
Partitions scanned,,236,122071,114422,78720
Partitions scanned,,237,122071,114343,78743
Partitions scanned,,238,122071,114358,78717
Partitions scanned,,239,122071,114349,78594
Partitions scanned,,240,122071,114320,78697
Partitions scanned,,241,122071,114177,78483
Partitions scanned,,242,122071,114362,78807
Partitions scanned,,243,122071,114164,78300
Partitions scanned,,244,122071,114376,78964
Partitions scanned,,245,122071,114318,78622
Partitions scanned,,246,122071,114499,78932
Partitions scanned,,247,122071,114609,78927
Partitions scanned,,248,122071,114406,78569
Partitions scanned,,249,122071,114327,78680
Partitions scanned,,250,122071,114344,78580
Partitions scanned,,251,122071,114238,78753
Partitions scanned,,252,122071,114527,78897
Partitions scanned,,253,122071,114248,78245
Partitions scanned,,254,122071,114381,78735
Partitions scanned,,255,122071,114320,78546
Partitions scanned,,256,122071,114228,78517
Partitions scanned,,257,122071,114422,78682
Partitions scanned,,258,122071,114410,79216
Partitions scanned,,259,122071,114394,78613
Partitions scanned,,260,122071,114470,78617
Partitions scanned,,261,122071,114367,78550
Partitions scanned,,262,122071,114266,78218
Partitions scanned,,263,122071,114266,78518
Partitions scanned,,264,122071,114351,78653
Partitions scanned,,265,122071,114339,79000
Partitions scanned,,266,122071,114437,78927
Partitions scanned,,267,122071,114227,78323
Partitions scanned,,268,122071,114339,78484
Partitions scanned,,269,122071,114386,78559
Partitions scanned,,270,122071,114236,78683
Partitions scanned,,271,122071,114334,78292
Partitions scanned,,272,122071,114467,78634
Partitions scanned,,273,122071,114285,78574
Partitions scanned,,274,122071,114425,78557
Partitions scanned,,275,122071,114454,78685
Partitions scanned,,276,122071,114418,78584
Partitions scanned,,277,122071,114418,78784
Partitions scanned,,278,122071,114316,78856
Partitions scanned,,279,122071,114510,78688
Partitions scanned,,280,122071,114398,78677
Partitions scanned,,281,122071,114406,78820
Partitions scanned,,282,122071,114379,78874
Partitions scanned,,283,122071,114398,78703
Partitions scanned,,284,122071,114280,78571
Partitions scanned,,285,122071,114372,78638
Partitions scanned,,286,122071,114405,78613
Partitions scanned,,287,122071,114308,78754
Partitions scanned,,288,122071,114400,78704
Partitions scanned,,289,122071,114331,78901
Partitions scanned,,290,122071,114225,78323
Partitions scanned,,291,122071,114383,78569
Partitions scanned,,292,122071,114397,78831
Partitions scanned,,293,122071,114368,78537
Partitions scanned,,294,122071,114356,78809
Partitions scanned,,295,122071,114295,78691
Partitions scanned,,296,122071,114300,78689
Partitions scanned,,297,122071,114348,78615
Partitions scanned,,298,122071,114335,78693
Partitions scanned,,299,122071,114382,78926
Partitions scanned,,300,122071,114316,78549
Partitions scanned,,301,122071,114468,78872
Partitions scanned,,302,122071,114170,78365
Partitions scanned,,303,122071,114414,78656
Partitions scanned,,304,122071,114215,78538
Partitions scanned,,305,122071,114572,78834
Partitions scanned,,306,122071,114427,78673
Partitions scanned,,307,122071,114347,78514
Partitions scanned,,308,122071,114387,78829
Partitions scanned,,309,122071,114393,78514
Partitions scanned,,310,122071,114366,78620
Partitions scanned,,311,122071,114177,78440
Partitions scanned,,312,122071,114271,78700
Partitions scanned,,313,122071,114470,78833
Partitions scanned,,314,122071,114398,78566
Partitions scanned,,315,122071,114297,79001
Partitions scanned,,316,122071,114381,78594
Partitions scanned,,317,122071,114403,78745
Partitions scanned,,318,122071,114465,78698
Partitions scanned,,319,122071,114292,78887
Partitions scanned,,320,122071,114390,78432
Partitions scanned,,321,122071,114306,78644
Partitions scanned,,322,122071,114314,78457
Partitions scanned,,323,122071,114375,78821
Partitions scanned,,324,122071,114431,78771
Partitions scanned,,325,122071,114356,78724
Partitions scanned,,326,122071,114455,78945
Partitions scanned,,327,122071,114331,78648
Partitions scanned,,328,122071,114305,78799
Partitions scanned,,329,122071,114415,78654
Partitions scanned,,330,122071,114534,78706
Partitions scanned,,331,122071,114320,78640
Partitions scanned,,332,122071,114322,78717
Partitions scanned,,333,122071,114236,78500
Partitions scanned,,334,122071,114448,78896
Partitions scanned,,335,122071,114370,78684
Partitions scanned,,336,122071,114352,79068
Partitions scanned,,337,122071,114431,78457
Partitions scanned,,338,122071,114259,78569
Partitions scanned,,339,122071,114510,78926
Partitions scanned,,340,122071,114370,78929
Partitions scanned,,341,122071,114336,78642
Partitions scanned,,342,122071,114283,78494
Partitions scanned,,343,122071,114359,78577
Partitions scanned,,344,122071,114517,78606
Partitions scanned,,345,122071,114345,78718
Partitions scanned,,346,122071,114297,78646
Partitions scanned,,347,122071,114272,78538
Partitions scanned,,348,122071,114472,78521
Partitions scanned,,349,122071,114432,78752
Partitions scanned,,350,122071,114399,78770
Partitions scanned,,351,122071,114419,78656
Partitions scanned,,352,122071,114156,78735
Partitions scanned,,353,122071,114309,78714
Partitions scanned,,354,122071,114343,78641
Partitions scanned,,355,122071,114231,78675
Partitions scanned,,356,122071,114475,78616
Partitions scanned,,357,122071,114308,78613
Partitions scanned,,358,122071,114432,78797
Partitions scanned,,359,122071,114312,78297
Partitions scanned,,360,122071,114505,79017
Partitions scanned,,361,122071,114385,78641
Partitions scanned,,362,122071,114453,78912
Partitions scanned,,363,122071,114464,78430
Partitions scanned,,364,122071,114346,78766
Partitions scanned,,365,122071,114364,78890
Partitions scanned,,366,122071,114309,78656
Partitions scanned,,367,122071,114427,78525
Partitions scanned,,368,122071,114321,78704
Partitions scanned,,369,122071,114358,78454
Partitions scanned,,370,122071,114315,78555
Partitions scanned,,371,122071,114429,78757
Partitions scanned,,372,122071,114414,78676
Partitions scanned,,373,122071,114471,78950
Partitions scanned,,374,122071,114488,79172
Partitions scanned,,375,122071,114313,78598
Partitions scanned,,376,122071,114401,78753
Partitions scanned,,377,122071,114424,78877
Partitions scanned,,378,122071,114259,78231
Partitions scanned,,379,122071,114344,78495
Partitions scanned,,380,122071,114180,78552
Partitions scanned,,381,122071,114326,78317
Partitions scanned,,382,122071,114337,78599
Partitions scanned,,383,122071,114398,78669
Partitions scanned,,384,122071,114406,78781
Partitions scanned,,385,122071,114482,78501
Partitions scanned,,386,122071,114416,78550
Partitions scanned,,387,122071,114431,78602
Partitions scanned,,388,122071,114349,78522
Partitions scanned,,389,122071,114274,78780
Partitions scanned,,390,122071,114361,78681
Partitions scanned,,391,122071,114233,78558
Partitions scanned,,392,122071,114378,78678
Partitions scanned,,393,122071,114328,78901
Partitions scanned,,394,122071,114361,78737
Partitions scanned,,395,122071,114559,78672
Partitions scanned,,396,122071,114311,78950
Partitions scanned,,397,122071,114427,78923
Partitions scanned,,398,122071,114370,78788
Partitions scanned,,399,122071,114373,78731
Partitions scanned,,400,122071,114363,78912
Partitions scanned,,401,122071,114373,78749
Partitions scanned,,402,122071,114409,78752
Partitions scanned,,403,122071,114583,79106
Partitions scanned,,404,122071,114403,78963
Partitions scanned,,405,122071,114190,78662
Partitions scanned,,406,122071,114352,78418
Partitions scanned,,407,122071,114433,78524
Partitions scanned,,408,122071,114315,78644
Partitions scanned,,409,122071,114412,78878
Partitions scanned,,410,122071,114378,78636
Partitions scanned,,411,122071,114611,78999
Partitions scanned,,412,122071,114387,78586
Partitions scanned,,413,122071,114373,78598
Partitions scanned,,414,122071,114407,78854
Partitions scanned,,415,122071,114334,78538
Partitions scanned,,416,122071,114420,78728
Partitions scanned,,417,122071,114389,78620
Partitions scanned,,418,122071,114421,78749
Partitions scanned,,419,122071,114326,78584
Partitions scanned,,420,122071,114361,78755
Partitions scanned,,421,122071,114272,78492
Partitions scanned,,422,122071,114347,78760
Partitions scanned,,423,122071,114453,78631
Partitions scanned,,424,122071,114388,78690
Partitions scanned,,425,122071,114528,78449
Partitions scanned,,426,122071,114465,78972
Partitions scanned,,427,122071,114332,78649
Partitions scanned,,428,122071,114275,78551
Partitions scanned,,429,122071,114170,78431
Partitions scanned,,430,122071,114422,78511
Partitions scanned,,431,122071,114372,78767
Partitions scanned,,432,122071,114342,78603
Partitions scanned,,433,122071,114415,78643
Partitions scanned,,434,122071,114334,78633
Partitions scanned,,435,122071,114314,78605
Partitions scanned,,436,122071,114394,78486
Partitions scanned,,437,122071,114264,78731
Partitions scanned,,438,122071,114232,78272
Partitions scanned,,439,122071,114309,78446
Partitions scanned,,440,122071,114310,78650
Partitions scanned,,441,122071,114435,78781
Partitions scanned,,442,122071,114305,78352
Partitions scanned,,443,122071,114426,78739
Partitions scanned,,444,122071,114432,78664
Partitions scanned,,445,122071,114224,78816
Partitions scanned,,446,122071,114310,78652
Partitions scanned,,447,122071,114218,78417
Partitions scanned,,448,122071,114355,78499
Partitions scanned,,449,122071,114383,78700
Partitions scanned,,450,122071,114397,78780
Partitions scanned,,451,122071,114474,78872
Partitions scanned,,452,122071,114541,78722
Partitions scanned,,453,122071,114204,78633
Partitions scanned,,454,122071,114383,78692
Partitions scanned,,455,122071,114295,78595
Partitions scanned,,456,122071,114275,78651
Partitions scanned,,457,122071,114464,78904
Partitions scanned,,458,122071,114357,78829
Partitions scanned,,459,122071,114354,78853
Partitions scanned,,460,122071,114399,78521
Partitions scanned,,461,122071,114279,78782
Partitions scanned,,462,122071,114378,78768
Partitions scanned,,463,122071,114430,78514
Partitions scanned,,464,122071,114383,78820
Partitions scanned,,465,122071,114332,78696
Partitions scanned,,466,122071,114362,78662
Partitions scanned,,467,122071,114539,78807
Partitions scanned,,468,122071,114333,78538
Partitions scanned,,469,122071,114343,78852
Partitions scanned,,470,122071,114302,78659
Partitions scanned,,471,122071,114464,78601
Partitions scanned,,472,122071,114396,78604
Partitions scanned,,473,122071,114371,78748
Partitions scanned,,474,122071,114479,78874
Partitions scanned,,475,122071,114230,78556
Partitions scanned,,476,122071,114282,78927
Partitions scanned,,477,122071,114404,78782
Partitions scanned,,478,122071,114345,78493
Partitions scanned,,479,122071,114432,78670
Partitions scanned,,480,122071,114305,78818
Partitions scanned,,481,122071,114289,78635
Partitions scanned,,482,122071,114436,78685
Partitions scanned,,483,122071,114420,78873
Partitions scanned,,484,122071,114370,78652
Partitions scanned,,485,122071,114529,78808
Partitions scanned,,486,122071,114372,78807
Partitions scanned,,487,122071,114353,78558
Partitions scanned,,488,122071,114321,78681
Partitions scanned,,489,122071,114266,78901
Partitions scanned,,490,122071,114390,78702
Partitions scanned,,491,122071,114227,78733
Partitions scanned,,492,122071,114442,78757
Partitions scanned,,493,122071,114315,78723
Partitions scanned,,494,122071,114350,78646
Partitions scanned,,495,122071,114439,78515
Partitions scanned,,496,122071,114527,78712
Partitions scanned,,497,122071,114074,78504
Partitions scanned,,498,122071,114358,78647
Partitions scanned,,499,122071,114352,78505
Partitions scanned,,500,122071,114416,78680
Partitions scanned,,501,122071,114445,79038
Partitions scanned,,502,122071,114304,78825
Partitions scanned,,503,122071,114410,78782
Partitions scanned,,504,122071,114369,78534
Partitions scanned,,505,122071,114311,78528
Partitions scanned,,506,122071,114455,79337
Partitions scanned,,507,122071,114347,79077
Partitions scanned,,508,122071,114348,78461
Partitions scanned,,509,122071,114347,78596
Partitions scanned,,510,122071,114425,78629
Partitions scanned,,511,122071,114340,78818
Partitions scanned,,512,122071,114472,78618
Partitions scanned,,513,122071,114231,78624
Partitions scanned,,514,122071,114534,78598
Partitions scanned,,515,122071,114396,78836
Partitions scanned,,516,122071,114360,78496
Partitions scanned,,517,122071,114401,78898
Partitions scanned,,518,122071,114278,78811
Partitions scanned,,519,122071,114440,78477
Partitions scanned,,520,122071,114439,78599
Partitions scanned,,521,122071,114390,78614
Partitions scanned,,522,122071,114347,78846
Partitions scanned,,523,122071,114347,78615
Partitions scanned,,524,122071,114380,78461
Partitions scanned,,525,122071,114461,78776
Partitions scanned,,526,122071,114276,78746
Partitions scanned,,527,122071,114304,78735
Partitions scanned,,528,122071,114209,78541
Partitions scanned,,529,122071,114266,78679
Partitions scanned,,530,122071,114415,79073
Partitions scanned,,531,122071,114180,78584
Partitions scanned,,532,122071,114277,78640
Partitions scanned,,533,122071,114448,78516
Partitions scanned,,534,122071,114379,78868
Partitions scanned,,535,122071,114426,78631
Partitions scanned,,536,122071,114565,79077
Partitions scanned,,537,122071,114355,78767
Partitions scanned,,538,122071,114538,78774
Partitions scanned,,539,122071,114377,78501
Partitions scanned,,540,122071,114353,78965
Partitions scanned,,541,122071,114361,78605
Partitions scanned,,542,122071,114410,78557
Partitions scanned,,543,122071,114291,78744
Partitions scanned,,544,122071,114222,78651
Partitions scanned,,545,122071,114542,78935
Partitions scanned,,546,122071,114214,78528
Partitions scanned,,547,122071,114362,78639
Partitions scanned,,548,122071,114292,78533
Partitions scanned,,549,122071,114221,78496
Partitions scanned,,550,122071,114305,78427
Partitions scanned,,551,122071,114283,78749
Partitions scanned,,552,122071,114415,78570
Partitions scanned,,553,122071,114372,78570
Partitions scanned,,554,122071,114492,78756
Partitions scanned,,555,122071,114350,79033
Partitions scanned,,556,122071,114290,78545
Partitions scanned,,557,122071,114406,78734
Partitions scanned,,558,122071,114477,78747
Partitions scanned,,559,122071,114516,78795
Partitions scanned,,560,122071,114328,78606
Partitions scanned,,561,122071,114343,78518
Partitions scanned,,562,122071,114384,78837
Partitions scanned,,563,122071,114269,78598
Partitions scanned,,564,122071,114315,78656
Partitions scanned,,565,122071,114283,78398
Partitions scanned,,566,122071,114363,78482
Partitions scanned,,567,122071,114448,78577
Partitions scanned,,568,122071,114268,78582
Partitions scanned,,569,122071,114375,78402
Partitions scanned,,570,122071,114482,78609
Partitions scanned,,571,122071,114376,78597
Partitions scanned,,572,122071,114394,78686
Partitions scanned,,573,122071,114345,78636
Partitions scanned,,574,122071,114367,78926
Partitions scanned,,575,122071,114332,78617
Partitions scanned,,576,122071,114302,78469
Partitions scanned,,577,122071,114318,78661
Partitions scanned,,578,122071,114412,78669
Partitions scanned,,579,122071,114280,78648
Partitions scanned,,580,122071,114363,79131
Partitions scanned,,581,122071,114404,78672
Partitions scanned,,582,122071,114334,78500
Partitions scanned,,583,122071,114390,78989
Partitions scanned,,584,122071,114413,78931
Partitions scanned,,585,122071,114430,78759
Partitions scanned,,586,122071,114302,79043
Partitions scanned,,587,122071,114383,78691
Partitions scanned,,588,122071,114375,78775
Partitions scanned,,589,122071,114398,78930
Partitions scanned,,590,122071,114373,78648
Partitions scanned,,591,122071,114351,78941
Partitions scanned,,592,122071,114510,78670
Partitions scanned,,593,122071,114532,78955
Partitions scanned,,594,122071,114389,78860
Partitions scanned,,595,122071,114394,78675
Partitions scanned,,596,122071,114380,78656
Partitions scanned,,597,122071,114433,78668
Partitions scanned,,598,122071,114286,78531
Partitions scanned,,599,122071,114381,78772
Partitions scanned,,600,122071,114325,78753
Partitions scanned,,601,122071,114280,78526
Partitions scanned,,602,122071,114491,78851
Partitions scanned,,603,122071,114288,78525
Partitions scanned,,604,122071,114323,78480
Partitions scanned,,605,122071,114393,78762
Partitions scanned,,606,122071,114424,78408
Partitions scanned,,607,122071,114143,78468
Partitions scanned,,608,122071,114387,78541
Partitions scanned,,609,122071,114319,78441
Partitions scanned,,610,122071,114417,78797
Partitions scanned,,611,122071,114176,78406
Partitions scanned,,612,122071,114349,78610
Partitions scanned,,613,122071,114342,78622
Partitions scanned,,614,122071,114306,78660
Partitions scanned,,615,122071,114309,78650
Partitions scanned,,616,122071,114447,78805
Partitions scanned,,617,122071,114286,78584
Partitions scanned,,618,122071,114325,78775
Partitions scanned,,619,122071,114478,78379
Partitions scanned,,620,122071,114510,78652
Partitions scanned,,621,122071,114440,78939
Partitions scanned,,622,122071,114437,78766
Partitions scanned,,623,122071,114274,78568
Partitions scanned,,624,122071,114281,78936
Partitions scanned,,625,122071,114410,78528
Partitions scanned,,626,122071,114366,78486
Partitions scanned,,627,122071,114301,78563
Partitions scanned,,628,122071,114315,78561
