Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.43327,0.37018,0.52729,0.3765
Time,s,2,0.26385,0.22295,0.26561,0.28037
Time,s,3,0.25812,0.23361,0.26484,0.26337
Time,s,4,0.24849,0.22868,0.275,0.27788
Time,s,5,0.22928,0.2249,0.2544,0.24327
Time,s,6,0.21741,0.21768,0.23375,0.2367
Time,s,7,0.2169,0.22684,0.2151,0.22767
Time,s,8,0.2239,0.22184,0.21704,0.20494
Time,s,9,0.25105,0.22657,0.22637,0.20479
Time,s,10,0.2392,0.2291,0.24403,0.20398
Time,s,11,0.24744,0.25471,0.2531,0.2143
Time,s,12,0.24444,0.32055,0.24934,0.20751
Time,s,13,0.23839,0.21755,0.23327,0.20473
Time,s,14,0.23228,0.21577,0.2159,0.21251
Time,s,15,0.2328,0.22369,0.22068,0.20818
Time,s,16,0.21042,0.22678,0.22156,0.22955
Time,s,17,0.21544,0.22089,0.2833,0.22708
Time,s,18,0.22771,0.22544,0.23211,0.22215
Time,s,19,0.24249,0.2329,0.24782,0.21609
Time,s,20,0.22909,0.24013,0.23008,0.20469
Time,s,21,0.24585,0.25096,0.25177,0.2213
Time,s,22,0.23304,0.21698,0.22103,0.20781
Time,s,23,0.24412,0.22045,0.21286,0.21262
Time,s,24,0.24906,0.23463,0.22747,0.20974
Time,s,25,0.22878,0.25544,0.24781,0.21151
Time,s,26,0.21794,0.22503,0.21398,0.24255
Time,s,27,0.23575,0.21954,0.21586,0.22613
Time,s,28,0.25105,0.23092,0.24289,0.2105
Time,s,29,0.24067,0.24961,0.2422,0.20849
Time,s,30,0.25484,0.26538,0.25157,0.2039
Time,s,31,0.23829,0.2295,0.22892,0.21315
Time,s,32,0.22261,0.23408,0.21923,0.20449
Time,s,33,0.22428,0.22838,0.21632,0.22549
Time,s,34,0.23334,0.24686,0.23016,0.21488
Time,s,35,0.20941,0.21818,0.21339,0.21098
Time,s,36,0.23817,0.22251,0.21535,0.2331
Time,s,37,0.25554,0.22965,0.24671,0.20333
Time,s,38,0.2576,0.24196,0.24988,0.20284
Time,s,39,0.25116,0.27064,0.25833,0.20583
Time,s,40,0.20987,0.23662,0.22645,0.20806
Time,s,41,0.20948,0.21647,0.21565,0.21554
Time,s,42,0.22003,0.21684,0.20838,0.20701
Time,s,43,0.23718,0.23053,0.21686,0.21455
Time,s,44,0.21968,0.233,0.23945,0.20664
Time,s,45,0.23715,0.27569,0.2218,0.20933
Time,s,46,0.24102,0.27414,0.24289,0.23154
Time,s,47,0.24717,0.28467,0.23431,0.23072
Time,s,48,0.23609,0.25707,0.23572,0.20907
Time,s,49,0.24837,0.27534,0.24425,0.21737
Time,s,50,0.23146,0.28808,0.24544,0.20669
Time,s,51,0.20381,0.24045,0.21235,0.21518
Time,s,52,0.23815,0.24275,0.22216,0.20594
Time,s,53,0.204,0.22068,0.22823,0.21091
Time,s,54,0.21175,0.23723,0.20481,0.20412
Time,s,55,0.24888,0.22831,0.22961,0.21268
Time,s,56,0.22879,0.23826,0.2278,0.25464
Time,s,57,0.22231,0.24202,0.22463,0.22527
Time,s,58,0.22988,0.30295,0.24892,0.2085
Time,s,59,0.20448,0.2926,0.21643,0.20331
Time,s,60,0.21437,0.28677,0.21636,0.20752
Time,s,61,0.22345,0.23542,0.21745,0.20492
Time,s,62,0.23747,0.22172,0.20959,0.2103
Time,s,63,0.22083,0.22771,0.24201,0.20496
Time,s,64,0.23364,0.23541,0.21281,0.20836
