Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,122071,114152,75752
Partitions scanned,,2,122071,113993,75676
Partitions scanned,,3,122071,114135,75699
Partitions scanned,,4,122071,114011,75722
Partitions scanned,,5,122071,114078,76018
Partitions scanned,,6,122071,114027,75757
Partitions scanned,,7,122071,113979,75802
Partitions scanned,,8,122071,114090,76068
Partitions scanned,,9,122071,113940,75863
Partitions scanned,,10,122071,114078,75839
Partitions scanned,,11,122071,114091,76327
Partitions scanned,,12,122071,114011,75711
Partitions scanned,,13,122071,114160,76025
Partitions scanned,,14,122071,114186,75859
Partitions scanned,,15,122071,114116,75698
Partitions scanned,,16,122071,114144,76081
Partitions scanned,,17,122071,114022,75851
Partitions scanned,,18,122071,113967,75663
Partitions scanned,,19,122071,114079,75846
Partitions scanned,,20,122071,114100,75900
Partitions scanned,,21,122071,114028,75715
Partitions scanned,,22,122071,114102,76135
Partitions scanned,,23,122071,114106,75773
Partitions scanned,,24,122071,114142,76003
Partitions scanned,,25,122071,114253,75813
Partitions scanned,,26,122071,114139,76030
Partitions scanned,,27,122071,114173,75983
Partitions scanned,,28,122071,114189,75810
Partitions scanned,,29,122071,114138,75867
Partitions scanned,,30,122071,114018,75919
Partitions scanned,,31,122071,114020,75548
Partitions scanned,,32,122071,114103,75873
Partitions scanned,,33,122071,114017,75861
Partitions scanned,,34,122071,114135,75912
Partitions scanned,,35,122071,114091,75807
Partitions scanned,,36,122071,114052,75909
Partitions scanned,,37,122071,114059,76087
Partitions scanned,,38,122071,113983,75779
Partitions scanned,,39,122071,114147,75792
Partitions scanned,,40,122071,114036,76008
Partitions scanned,,41,122071,114136,75915
Partitions scanned,,42,122071,113935,76020
Partitions scanned,,43,122071,114068,76011
Partitions scanned,,44,122071,114036,76181
Partitions scanned,,45,122071,114190,75851
Partitions scanned,,46,122071,114085,75991
Partitions scanned,,47,122071,114036,76000
Partitions scanned,,48,122071,114275,75938
Partitions scanned,,49,122071,114121,75626
Partitions scanned,,50,122071,114147,75664
Partitions scanned,,51,122071,114302,75665
Partitions scanned,,52,122071,114096,75973
Partitions scanned,,53,122071,114177,75904
Partitions scanned,,54,122071,114169,75825
Partitions scanned,,55,122071,114036,75823
Partitions scanned,,56,122071,114096,75829
Partitions scanned,,57,122071,114051,75707
Partitions scanned,,58,122071,114093,75935
Partitions scanned,,59,122071,114107,75713
Partitions scanned,,60,122071,113922,75914
Partitions scanned,,61,122071,114099,75741
Partitions scanned,,62,122071,114047,75822
Partitions scanned,,63,122071,114122,75711
Partitions scanned,,64,122071,114078,75730
Partitions scanned,,65,122071,114115,75819
Partitions scanned,,66,122071,113986,76093
Partitions scanned,,67,122071,114009,75717
Partitions scanned,,68,122071,114114,75760
Partitions scanned,,69,122071,114084,75937
Partitions scanned,,70,122071,114148,75799
Partitions scanned,,71,122071,114075,75840
Partitions scanned,,72,122071,114055,75842
Partitions scanned,,73,122071,114225,75615
Partitions scanned,,74,122071,114116,75841
Partitions scanned,,75,122071,114096,75919
Partitions scanned,,76,122071,114051,75800
Partitions scanned,,77,122071,114175,75978
Partitions scanned,,78,122071,114308,76160
Partitions scanned,,79,122071,114207,76101
Partitions scanned,,80,122071,114283,76135
Partitions scanned,,81,122071,114049,75780
Partitions scanned,,82,122071,114067,75828
Partitions scanned,,83,122071,114180,76238
Partitions scanned,,84,122071,113912,75879
Partitions scanned,,85,122071,114034,75810
Partitions scanned,,86,122071,114035,75684
Partitions scanned,,87,122071,113889,75678
Partitions scanned,,88,122071,114119,75997
Partitions scanned,,89,122071,114108,75980
Partitions scanned,,90,122071,114100,75979
Partitions scanned,,91,122071,114141,75857
Partitions scanned,,92,122071,113982,75879
Partitions scanned,,93,122071,114041,75555
Partitions scanned,,94,122071,114114,76165
Partitions scanned,,95,122071,113985,75868
Partitions scanned,,96,122071,114027,75763
Partitions scanned,,97,122071,114209,76025
Partitions scanned,,98,122071,114080,76166
Partitions scanned,,99,122071,114047,75924
Partitions scanned,,100,122071,114111,76016
Partitions scanned,,101,122071,114050,76012
Partitions scanned,,102,122071,114184,76305
Partitions scanned,,103,122071,114247,76260
Partitions scanned,,104,122071,114208,75889
Partitions scanned,,105,122071,114190,75902
Partitions scanned,,106,122071,114249,75842
Partitions scanned,,107,122071,114039,75744
Partitions scanned,,108,122071,113996,76018
Partitions scanned,,109,122071,114002,76006
Partitions scanned,,110,122071,114122,75951
Partitions scanned,,111,122071,114140,76147
Partitions scanned,,112,122071,114068,76061
Partitions scanned,,113,122071,114246,76087
Partitions scanned,,114,122071,114116,75828
Partitions scanned,,115,122071,114109,75718
Partitions scanned,,116,122071,113892,75923
Partitions scanned,,117,122071,114063,75588
Partitions scanned,,118,122071,114027,75927
Partitions scanned,,119,122071,114169,76125
Partitions scanned,,120,122071,114179,76183
Partitions scanned,,121,122071,114188,75950
Partitions scanned,,122,122071,113974,75948
Partitions scanned,,123,122071,113979,75801
Partitions scanned,,124,122071,114166,76239
Partitions scanned,,125,122071,114034,75944
Partitions scanned,,126,122071,114126,75985
Partitions scanned,,127,122071,114059,75939
Partitions scanned,,128,122071,114075,75964
Partitions scanned,,129,122071,113985,75751
Partitions scanned,,130,122071,114129,75774
Partitions scanned,,131,122071,114129,75492
Partitions scanned,,132,122071,114170,75555
Partitions scanned,,133,122071,114098,75787
Partitions scanned,,134,122071,114025,75729
Partitions scanned,,135,122071,114084,75944
Partitions scanned,,136,122071,114084,76179
Partitions scanned,,137,122071,114181,75826
Partitions scanned,,138,122071,114161,75991
Partitions scanned,,139,122071,113967,76067
Partitions scanned,,140,122071,114111,76202
Partitions scanned,,141,122071,114056,75871
Partitions scanned,,142,122071,114014,75793
Partitions scanned,,143,122071,114077,75856
Partitions scanned,,144,122071,113958,76012
Partitions scanned,,145,122071,113965,76012
Partitions scanned,,146,122071,113889,75844
Partitions scanned,,147,122071,114109,76192
Partitions scanned,,148,122071,114116,76291
Partitions scanned,,149,122071,114100,75886
Partitions scanned,,150,122071,114019,75830
Partitions scanned,,151,122071,114278,76363
Partitions scanned,,152,122071,114046,75649
Partitions scanned,,153,122071,114155,75944
Partitions scanned,,154,122071,114066,75563
Partitions scanned,,155,122071,114144,76032
Partitions scanned,,156,122071,114135,75888
Partitions scanned,,157,122071,114193,76162
Partitions scanned,,158,122071,114025,75880
Partitions scanned,,159,122071,113990,75855
Partitions scanned,,160,122071,114023,75574
Partitions scanned,,161,122071,114114,75904
Partitions scanned,,162,122071,114054,75869
Partitions scanned,,163,122071,114121,75999
Partitions scanned,,164,122071,114164,75988
Partitions scanned,,165,122071,113985,76091
Partitions scanned,,166,122071,114019,75934
Partitions scanned,,167,122071,114105,75943
Partitions scanned,,168,122071,114094,75882
Partitions scanned,,169,122071,114109,75954
Partitions scanned,,170,122071,114102,75863
Partitions scanned,,171,122071,113880,75925
Partitions scanned,,172,122071,114182,76130
Partitions scanned,,173,122071,114236,76336
Partitions scanned,,174,122071,113998,75589
Partitions scanned,,175,122071,114041,75894
Partitions scanned,,176,122071,113987,75927
Partitions scanned,,177,122071,114021,75980
Partitions scanned,,178,122071,114178,76080
Partitions scanned,,179,122071,114133,75812
Partitions scanned,,180,122071,114142,75819
Partitions scanned,,181,122071,114088,75668
Partitions scanned,,182,122071,114158,76527
Partitions scanned,,183,122071,114067,75773
Partitions scanned,,184,122071,114061,75794
Partitions scanned,,185,122071,114250,75814
Partitions scanned,,186,122071,114076,76103
Partitions scanned,,187,122071,113973,75799
Partitions scanned,,188,122071,114151,75795
Partitions scanned,,189,122071,114024,75995
Partitions scanned,,190,122071,114088,76005
Partitions scanned,,191,122071,114256,76024
Partitions scanned,,192,122071,114072,75781
Partitions scanned,,193,122071,114044,76195
Partitions scanned,,194,122071,114025,75778
Partitions scanned,,195,122071,114070,75879
Partitions scanned,,196,122071,114006,76122
Partitions scanned,,197,122071,113999,76097
Partitions scanned,,198,122071,113967,75818
Partitions scanned,,199,122071,114186,76206
Partitions scanned,,200,122071,114300,76212
Partitions scanned,,201,122071,113938,75967
Partitions scanned,,202,122071,114091,75856
Partitions scanned,,203,122071,114091,75509
Partitions scanned,,204,122071,113950,75660
Partitions scanned,,205,122071,113982,75745
Partitions scanned,,206,122071,114172,75961
Partitions scanned,,207,122071,114060,75736
Partitions scanned,,208,122071,114120,75953
Partitions scanned,,209,122071,114081,75939
Partitions scanned,,210,122071,113945,75720
Partitions scanned,,211,122071,113823,75483
Partitions scanned,,212,122071,114072,76075
Partitions scanned,,213,122071,114098,76144
Partitions scanned,,214,122071,113889,76015
Partitions scanned,,215,122071,113855,75495
Partitions scanned,,216,122071,114050,76126
Partitions scanned,,217,122071,114119,75742
Partitions scanned,,218,122071,113958,76048
Partitions scanned,,219,122071,114085,75654
Partitions scanned,,220,122071,114035,75861
Partitions scanned,,221,122071,114050,75784
Partitions scanned,,222,122071,114057,75623
Partitions scanned,,223,122071,114233,75907
Partitions scanned,,224,122071,114120,76025
Partitions scanned,,225,122071,114102,75883
Partitions scanned,,226,122071,114074,75821
Partitions scanned,,227,122071,114058,75801
Partitions scanned,,228,122071,114265,75907
Partitions scanned,,229,122071,114128,75914
Partitions scanned,,230,122071,113966,76046
Partitions scanned,,231,122071,114054,75826
Partitions scanned,,232,122071,114081,75863
Partitions scanned,,233,122071,114131,75967
Partitions scanned,,234,122071,114036,75584
Partitions scanned,,235,122071,114078,75866
Partitions scanned,,236,122071,114160,76016
Partitions scanned,,237,122071,114051,75907
Partitions scanned,,238,122071,114082,75912
Partitions scanned,,239,122071,114048,75766
Partitions scanned,,240,122071,114057,76006
Partitions scanned,,241,122071,113866,75638
Partitions scanned,,242,122071,114076,75963
Partitions scanned,,243,122071,113885,75627
Partitions scanned,,244,122071,114064,76156
Partitions scanned,,245,122071,114063,75927
Partitions scanned,,246,122071,114229,76103
Partitions scanned,,247,122071,114337,76165
Partitions scanned,,248,122071,114115,75785
Partitions scanned,,249,122071,114048,75889
Partitions scanned,,250,122071,114045,75730
Partitions scanned,,251,122071,113974,75936
Partitions scanned,,252,122071,114213,76056
Partitions scanned,,253,122071,113959,75470
Partitions scanned,,254,122071,114096,75939
Partitions scanned,,255,122071,114033,75742
Partitions scanned,,256,122071,113927,75805
Partitions scanned,,257,122071,114152,75921
Partitions scanned,,258,122071,114146,76362
Partitions scanned,,259,122071,114120,75803
Partitions scanned,,260,122071,114187,75819
Partitions scanned,,261,122071,114090,75796
Partitions scanned,,262,122071,114004,75453
Partitions scanned,,263,122071,113970,75669
Partitions scanned,,264,122071,114095,75850
Partitions scanned,,265,122071,114085,76218
Partitions scanned,,266,122071,114170,76122
Partitions scanned,,267,122071,113942,75540
Partitions scanned,,268,122071,114069,75692
Partitions scanned,,269,122071,114111,75826
Partitions scanned,,270,122071,113938,75920
Partitions scanned,,271,122071,114050,75468
Partitions scanned,,272,122071,114181,75837
