Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,1,0.23824,0.25892,0.21477,0.24957
Time,s,2,0.14522,0.14876,0.16778,0.16624
Time,s,3,0.15624,0.14865,0.18022,0.1486
Time,s,4,0.15743,0.1479,0.17479,0.12341
Time,s,5,0.15372,0.14143,0.16195,0.1266
Time,s,6,0.14651,0.1434,0.16835,0.13188
Time,s,7,0.15546,0.1463,0.13416,0.13854
Time,s,8,0.15562,0.13692,0.13581,0.12967
Time,s,9,0.1549,0.14998,0.13411,0.12585
Time,s,10,0.14785,0.1442,0.13812,0.15168
Time,s,11,0.16816,0.15182,0.13252,0.15291
Time,s,12,0.15954,0.14694,0.15034,0.14606
Time,s,13,0.15721,0.14467,0.15379,0.15192
Time,s,14,0.1612,0.13487,0.15406,0.14905
Time,s,15,0.15767,0.1414,0.15759,0.13762
Time,s,16,0.15031,0.14431,0.14962,0.12195
Time,s,17,0.14289,0.14859,0.15135,0.13065
Time,s,18,0.15194,0.16406,0.1473,0.12407
Time,s,19,0.1694,0.16575,0.16586,0.12494
Time,s,20,0.14361,0.15424,0.15289,0.13066
Time,s,21,0.16298,0.15454,0.17877,0.12546
Time,s,22,0.1438,0.1327,0.15195,0.13273
Time,s,23,0.1517,0.14144,0.15491,0.13794
Time,s,24,0.16804,0.16141,0.16518,0.12499
Time,s,25,0.16929,0.15111,0.16612,0.13703
Time,s,26,0.1576,0.15504,0.14969,0.14465
Time,s,27,0.15161,0.13521,0.14647,0.14438
Time,s,28,0.17537,0.15076,0.16256,0.13922
Time,s,29,0.15873,0.15675,0.15219,0.14798
Time,s,30,0.17173,0.15176,0.14168,0.14194
Time,s,31,0.14393,0.16173,0.13547,0.13245
Time,s,32,0.16314,0.17929,0.14406,0.12859
Time,s,33,0.15376,0.16565,0.15048,0.12707
Time,s,34,0.17346,0.17391,0.14029,0.13373
Time,s,35,0.13966,0.1352,0.13236,0.13386
Time,s,36,0.13249,0.14679,0.1572,0.12801
Time,s,37,0.1449,0.14815,0.14141,0.13425
Time,s,38,0.14333,0.16127,0.14188,0.13388
Time,s,39,0.15329,0.15919,0.14546,0.12618
Time,s,40,0.13579,0.15574,0.14866,0.12867
Time,s,41,0.12995,0.13431,0.15328,0.13725
Time,s,42,0.12964,0.1457,0.14762,0.14559
Time,s,43,0.12989,0.13965,0.15171,0.14038
