Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,114104,60915,122071,75712,7576,122071
Partitions scanned,,2,122071,113948,57365,122071,75748,8841,122071
Partitions scanned,,3,122071,114178,59402,122071,75882,10351,122071
Partitions scanned,,4,122071,114045,56968,122071,75636,8919,122071
Partitions scanned,,5,122071,114125,61794,122071,76168,7365,122071
Partitions scanned,,6,122071,114032,56338,122071,75915,8131,122071
Partitions scanned,,7,122071,114063,55043,122071,75752,9949,122071
Partitions scanned,,8,122071,114103,56789,122071,76113,9527,122071
Partitions scanned,,9,122071,114076,54360,122071,75786,8773,122071
Partitions scanned,,10,122071,114013,56020,122071,75979,7564,122071
Partitions scanned,,11,122071,114133,61257,122071,76316,9202,122071
Partitions scanned,,12,122071,114048,53356,122071,75614,5228,122071
Partitions scanned,,13,122071,114155,57785,122071,76042,6420,122071
Partitions scanned,,14,122071,114212,59298,122071,75915,9570,122071
Partitions scanned,,15,122071,114117,57034,122071,75646,7384,122071
Partitions scanned,,16,122071,114032,57777,122071,76067,4551,122071
Partitions scanned,,17,122071,114104,55253,122071,75835,7399,122071
Partitions scanned,,18,122071,114054,52120,122071,75677,7103,122071
Partitions scanned,,19,122071,114034,56880,122071,75911,10805,122071
Partitions scanned,,20,122071,114044,61960,122071,75854,8720,122071
Partitions scanned,,21,122071,113906,58340,122071,75796,8010,122071
Partitions scanned,,22,122071,114129,51370,122071,76143,7016,122071
Partitions scanned,,23,122071,114271,58487,122071,75888,7579,122071
Partitions scanned,,24,122071,114143,61144,122071,76091,8393,122071
Partitions scanned,,25,122071,114232,56079,122071,75906,7993,122071
Partitions scanned,,26,122071,114126,58177,122071,75842,7911,122071
Partitions scanned,,27,122071,114174,51354,122071,75966,6477,122071
Partitions scanned,,28,122071,114118,56926,122071,75704,7440,122071
Partitions scanned,,29,122071,114234,54114,122071,75814,9443,122071
Partitions scanned,,30,122071,114040,58502,122071,75931,8265,122071
Partitions scanned,,31,122071,114007,63882,122071,75575,10195,122071
Partitions scanned,,32,122071,114096,54271,122071,75819,7692,122071
Partitions scanned,,33,122071,113977,57560,122071,75726,8936,122071
Partitions scanned,,34,122071,114194,55862,122071,75895,7307,122071
Partitions scanned,,35,122071,114132,56998,122071,75767,6366,122071
Partitions scanned,,36,122071,114035,56761,122071,75819,8958,122071
Partitions scanned,,37,122071,114100,61227,122071,76053,10826,122071
Partitions scanned,,38,122071,114036,63466,122071,75771,9675,122071
Partitions scanned,,39,122071,114077,50818,122071,75901,7812,122071
Partitions scanned,,40,122071,114101,53939,122071,76149,6406,122071
Partitions scanned,,41,122071,114126,57199,122071,75943,6912,122071
Partitions scanned,,42,122071,114095,60373,122071,75822,8811,122071
Partitions scanned,,43,122071,114112,58489,122071,76030,6864,122071
Partitions scanned,,44,122071,113991,55630,122071,76171,6866,122071
Partitions scanned,,45,122071,114175,57784,122071,75882,11322,122071
Partitions scanned,,46,122071,114161,59171,122071,76100,6669,122071
Partitions scanned,,47,122071,114024,59204,122071,76044,7173,122071
